All Second Basemen   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Mark Mathias 2B | MIL ,197,27,52,34,11,1,6,24,17,46,4,1,.264,.327,.421,672
W ,Robel Garcia 2B | CHC ,191,26,49,30,10,2,7,25,17,49,3,1,.257,.319,.440,683
W ,Edmundo Sosa 2B | STL,190,27,49,32,10,1,6,23,17,46,4,1,.258,.324,.416,692
W ,Sam Haggerty 2B | SEA,192,26,49,31,10,2,6,23,17,47,4,1,.255,.321,.422,699
W ,Andrew Velazquez 2B | BAL ,197,24,51,33,11,1,6,21,14,47,5,2,.259,.313,.416,706
W ,Harold Castro CF | DET,196,21,55,40,8,2,5,25,11,49,3,1,.281,.318,.418,708
W ,Ildemaro Vargas 2B | ARI,197,26,49,32,10,1,6,23,15,39,3,1,.249,.306,.401,726
Orange-a-Tangs,Brendan Rodgers 2B | COL ,174,25,45,30,9,1,5,22,13,42,3,1,.259,.316,.408,735
W ,Breyvic Valera 2B | TOR,188,24,48,32,9,2,5,23,16,43,3,1,.255,.313,.404,749
W ,Kean Wong 2B | SF,195,22,50,33,10,2,5,20,14,46,3,1,.256,.311,.405,775
W ,Gordon Beckham 2B | SD,197,25,48,30,11,1,6,17,12,53,3,1,.244,.296,.401,780
W ,Pat Valaika 2B | BAL,164,20,43,28,9,1,5,18,11,39,3,1,.262,.315,.421,790
W ,Chris Owings 2B | COL,194,22,42,27,10,1,4,21,14,61,6,2,.216,.275,.340,811
W ,Logan Forsythe 1B | PHI,118,14,28,18,6,1,3,15,15,32,1,0,.237,.328,.381,933
W ,L.J. Mazzilli 2B | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jeremias Pineda 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Corey Jones 2B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,D.J. Burt 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Connor Kopach 2B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,J.C. Rodriguez 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luke Dykstra 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jamie Westbrook 2B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Logan Warmoth 2B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carlos Garcia 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chase d'Arnaud 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Friis 2B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Vinny Siena 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Sherman Johnson 2B | CIN ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dixon Machado 2B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wendell Rijo 2B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Randy Ventura 2B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Bryan Mejia 2B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kristian Trompiz 2B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Seth Spivey 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ramon Urias 2B | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Silva 2B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Angelo Mora 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kody Clemens 2B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Buck Britton 2B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ty Kelly 2B | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Clayton Daniel 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chad De La Guerra 2B | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gavin Cecchini 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Khayyan Norfork 2B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ji-Hwan Bae 2B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chesny Young 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
