All Outfielders   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Dwight Smith LF  BAL "	328	41	83	51	16	3	13	44	25	75	4	1	.253	.308	.439	511
"Derek Dietrich 2B  CIN "	233	44	61	31	13	2	15	36	25	62	1	1	.262	.362	.528	514
"Roman Quinn CF  PHI "	302	49	68	47	13	3	5	43	31	89	13	4	.225	.306	.338	517
"Harold Ramirez LF  MIA"	320	43	89	60	16	3	10	38	18	77	2	1	.278	.324	.441	519
"Dylan Moore SS  SEA "	321	41	75	43	17	4	11	38	25	93	10	6	.234	.301	.414	520
"Robbie Grossman LF  OAK"	366	50	95	65	21	2	7	37	49	83	6	2	.260	.348	.385	522
"Braden Bishop CF  SEA"	318	43	77	48	15	2	12	43	30	93	4	1	.242	.312	.415	523
"Austin Riley LF  ATL "	319	43	73	43	13	3	14	48	22	108	2	0	.229	.288	.420	525
"Bubba Starling CF  KC"	321	45	79	50	15	2	12	36	22	91	4	1	.246	.299	.417	531
"Michael Taylor CF  WAS"	292	37	72	46	16	2	8	27	22	94	15	3	.247	.302	.397	532
"Brandon Dixon 1B  DET"	322	37	81	49	17	3	12	41	26	99	4	1	.252	.310	.435	533
"Dustin Fowler CF  OAK"	312	41	73	50	13	3	7	43	25	85	9	4	.234	.294	.362	538
"Marwin Gonzalez RF  MIN "	309	37	83	56	16	1	10	42	26	82	1	1	.269	.330	.424	542
"Jaylin Davis RF  SF "	318	38	78	50	15	2	11	38	28	84	5	2	.245	.314	.409	545
"Brent Rooker LF  MIN"	192	34	54	30	12	1	11	32	21	48	3	1	.281	.356	.526	547
"Luke Raley LF  LAD "	192	34	54	30	12	1	11	32	21	48	3	1	.281	.356	.526	547
"Rosell Herrera CF  NYY"	419	44	99	64	26	3	6	45	34	103	8	4	.236	.303	.356	550
"Travis Demeritte RF  DET"	313	42	76	47	17	2	10	32	32	94	6	1	.243	.318	.406	553
"Brett Phillips CF  KC"	314	41	69	40	15	3	11	37	31	102	7	1	.220	.291	.392	557
"LaMonte Wade CF  MIN"	190	33	52	28	11	2	11	31	23	46	3	1	.274	.359	.526	559
