All Outfielders 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Yasiel Puig RF  LAD "	282	30	72	46	12	3	11	38	26	66	3	3	0.255	0.322	0.436	383
"Wil Myers CF  SD "	225	40	57	35	13	1	8	29	27	55	5	2	0.253	0.336	0.427	386
"Alex Rios RF  KC"	385	40	98	70	22	2	4	32	15	67	9	0	0.255	0.287	0.353	390
"Joey Butler LF  CLE "	257	30	71	51	12	0	8	30	16	82	5	2	0.276	0.326	0.416	393
"Preston Tucker LF  HOU"	300	35	73	41	19	0	13	33	20	68	0	2	0.243	0.297	0.437	405
"Michael Bourn CF  ATL"	425	39	101	84	15	2	0	30	46	107	17	7	0.238	0.310	0.282	409
"Darin Ruf 1B  PHI "	268	30	63	39	12	0	12	39	21	69	1	0	0.235	0.300	0.414	412
"Derek Dietrich LF  MIA"	250	38	64	37	14	3	10	24	23	65	0	2	0.256	0.346	0.456	434
"Abraham Almonte CF  CLE "	232	36	58	36	12	5	5	24	21	52	7	1	0.250	0.310	0.409	436
"Rusney Castillo RF  BOS "	273	35	69	52	10	2	5	29	13	54	4	5	0.253	0.288	0.359	450
"Alex Guerrero LF  LAD "	219	25	51	30	9	1	11	36	7	57	1	0	0.233	0.261	0.434	451
"Michael Conforto LF  NYM "	174	30	47	24	14	0	9	26	17	39	0	1	0.270	0.335	0.506	455
"Ryan Raburn LF  CLE"	173	22	52	27	16	1	8	29	23	44	0	0	0.301	0.393	0.543	456
"Mikie Mahtook LF  TB"	105	22	31	16	5	1	9	19	6	31	4	3	0.295	0.351	0.619	460
"Matt Holliday LF  STL "	229	24	64	43	16	1	4	35	39	49	2	1	0.280	0.394	0.410	467
"Paulo Orlando CF  KC"	241	31	60	33	14	6	7	27	5	53	3	3	0.249	0.269	0.444	471
"Leonys Martin CF  SEA "	288	26	63	46	12	0	5	25	16	69	14	5	0.219	0.264	0.312	472
"Dustin Ackley LF  NYY "	238	28	55	31	11	3	10	30	18	45	2	2	0.231	0.283	0.429	473
"Enrique Hernandez CF  LAD "	202	24	62	41	12	2	7	22	11	46	0	2	0.307	0.346	0.490	479
"Adonis Garcia 3B  ATL"	191	20	53	31	12	0	10	26	5	35	0	0	0.278	0.293	0.497	487
"Ichiro Suzuki RF  MIA"	398	45	91	79	5	6	1	21	31	51	11	5	0.229	0.282	0.279	489
"Grady Sizemore CF  TB "	273	24	69	46	17	0	6	33	20	60	3	3	0.253	0.307	0.381	491
"Melvin Upton CF  SD"	205	23	53	32	12	4	5	17	21	62	9	3	0.259	0.327	0.429	500
"Domingo Santana RF  MIL "	160	20	38	23	7	0	8	26	20	63	4	1	0.237	0.337	0.431	517
"Aaron Altherr LF  PHI "	137	25	33	13	11	4	5	22	16	41	6	2	0.241	0.338	0.489	519
"Carl Crawford LF  LAD"	181	19	48	33	9	2	4	16	10	41	10	2	0.265	0.304	0.403	523
"Ezequiel Carrera LF  TOR"	172	27	47	36	8	0	3	26	11	45	2	1	0.273	0.321	0.372	525
"John Jaso DH  PIT "	185	23	53	31	17	0	5	22	28	39	1	2	0.286	0.380	0.460	533
"Thomas Pham CF  STL"	153	28	41	24	7	5	5	18	19	41	2	0	0.268	0.347	0.477	535
"Josh Hamilton RF  TEX "	170	22	43	27	8	0	8	25	10	52	0	0	0.253	0.291	0.441	536
"Ryan Flaherty 2B  BAL "	267	34	54	34	8	3	9	31	26	81	0	0	0.202	0.281	0.356	537
"David DeJesus LF  LAA"	288	27	67	51	9	2	5	30	21	52	3	2	0.233	0.296	0.330	543
"Scott Van Slyke RF  LAD "	222	19	53	33	14	0	6	30	23	62	3	1	0.239	0.318	0.383	545
"Mike Aviles LF  DET"	290	37	67	52	10	0	5	17	20	38	3	1	0.231	0.282	0.317	556
