All Starting Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Adam Conley SP  MIA"	67.0	11	5	0	4	1	0	0	59	21	65	3.76	1.28	558
"Nick Martinez SP  TEX"	125.0	21	13	0	7	7	0	0	77	46	135	3.96	1.45	564
"Tim Lincecum SP  SF"	76.3	15	5	0	7	4	0	0	60	38	75	4.13	1.48	567
"Scott Feldman SP  HOU"	108.3	18	12	0	5	5	0	0	61	27	115	3.91	1.31	568
"Tyler Lyons SP  STL "	60.0	8	2	0	3	1	0	0	60	15	59	3.75	1.23	569
"Kendall Graveman SP  OAK"	115.7	21	10	1	6	9	0	0	77	38	126	4.05	1.42	574
"Steven Wright SP  BOS"	72.7	9	4	0	5	4	0	0	52	27	67	4.09	1.29	575
"CC Sabathia SP  NYY"	167.3	29	11	1	6	10	0	0	137	50	188	4.73	1.42	577
"Tim Hudson SP  SF"	123.7	22	10	0	8	9	0	0	64	37	134	4.44	1.38	579
"John Danks SP  CHW"	177.7	30	15	2	7	15	0	0	124	56	195	4.71	1.41	585
"Vidal Nuno RP  SEA"	89.0	10	3	0	1	5	0	0	81	22	90	3.74	1.26	594
"Daniel Norris SP  DET "	60.0	13	3	0	3	2	0	0	45	19	53	3.75	1.20	606
"Adam Morgan SP  PHI "	84.3	15	8	0	5	7	0	0	49	17	88	4.48	1.25	609
"Matt Wisler SP  ATL "	109.0	19	8	0	8	8	0	0	72	40	119	4.71	1.46	610
"Mat Latos SP  CHW "	116.3	21	9	0	4	10	0	0	100	32	120	4.95	1.31	614
"Tanner Roark RP  WAS "	111.0	12	4	0	4	7	1	1	70	26	119	4.38	1.31	617
"Adam Wainwright SP  STL "	28.0	4	3	0	2	1	0	0	20	4	25	1.61	1.04	625
"Doug Fister SP  HOU "	103.0	15	7	0	5	7	1	0	63	24	120	4.19	1.40	628
"Chris Bassitt SP  OAK "	86.0	13	8	0	1	8	0	0	64	30	78	3.56	1.26	629
"Chi Chi Gonzalez SP  TEX"	67.0	10	5	1	4	6	0	0	30	32	49	3.90	1.21	631
"Matt Andriese RP  TB"	65.7	8	1	0	3	5	2	0	49	18	69	4.11	1.32	640
"Jason Vargas SP  KC "	43.0	9	4	0	5	2	0	0	27	12	46	3.98	1.35	641
"Justin Nicolino SP  MIA"	74.0	12	8	0	5	4	0	0	23	20	72	4.01	1.24	651
"Brandon Morrow SP  SD "	33.0	5	4	0	2	0	0	0	23	7	29	2.73	1.09	662
"David Phelps SP  MIA "	112.0	19	10	0	4	8	0	0	77	33	119	4.50	1.36	672
"Nick Tropeano SP  LAA "	37.7	7	2	0	3	2	0	0	38	10	40	3.82	1.33	675
"Zach Davies SP  MIL"	34.0	6	4	0	3	2	0	0	24	15	26	3.71	1.21	687
"Henry Owens SP  BOS "	63.0	11	3	0	4	4	0	0	50	24	62	4.57	1.37	689
"Vance Worley RP  BAL "	71.7	8	2	0	4	6	0	1	49	21	81	4.02	1.42	690
"James Paxton SP  SEA "	67.0	13	6	0	3	4	0	0	56	29	67	3.90	1.43	692
"Aaron Harang SP  PHI"	172.3	29	13	0	6	15	0	0	108	51	189	4.86	1.39	694
"Erik Johnson SP  CHW "	35.0	6	4	0	3	1	0	0	30	17	32	3.34	1.40	700
"Ivan Nova SP  NYY "	94.0	17	6	0	6	11	0	0	63	33	99	5.07	1.40	701
"Carlos Frias SP  LAD"	77.7	13	5	0	5	5	0	0	43	26	88	4.06	1.47	705
"Derek Holland SP  TEX "	58.7	10	4	1	4	3	0	0	41	17	59	4.91	1.30	709
"Vincent Velasquez RP  PHI "	55.7	7	3	0	1	1	0	0	58	21	50	4.37	1.28	719
"Wandy Rodriguez SP  HOU "	86.3	15	5	0	6	4	0	0	72	36	99	4.90	1.56	722
"Mike Pelfrey SP  DET "	164.7	30	12	0	6	11	0	0	86	45	198	4.26	1.48	731
"Tim Cooney SP  STL"	31.3	6	2	0	1	0	0	0	29	10	28	3.16	1.21	736
"Brandon McCarthy SP  LAD "	23.0	4	1	0	3	0	0	0	29	4	24	5.87	1.22	737
"Mike Montgomery SP  SEA"	90.0	16	9	2	4	6	0	0	64	37	92	4.60	1.43	738
"Williams Perez SP  ATL"	116.7	20	9	1	7	6	1	0	73	51	130	4.78	1.55	744
"Jhoulys Chacin SP  ATL "	26.7	4	2	0	2	1	0	0	21	10	24	3.38	1.27	745
"Shaun Marcum SP  CLE "	35.0	6	3	0	3	2	0	0	30	11	32	5.40	1.23	750
"Tsuyoshi Wada SP  CHC"	32.3	7	1	0	1	1	0	0	31	11	30	3.62	1.27	756
"Colin Rea SP  SD"	31.7	6	1	0	2	2	0	0	26	11	29	4.26	1.26	757
"Ariel Pena SP  MIL"	27.3	5	0	0	2	1	0	0	27	14	24	4.28	1.39	770
"Roberto Hernandez SP  TOR"	84.7	11	5	0	3	5	0	0	42	26	90	4.36	1.37	786
"Martin Perez SP  TEX"	78.7	14	9	0	3	6	0	0	48	24	88	4.46	1.42	795
"Jarred Cosart SP  MIA "	69.7	13	4	0	2	5	0	0	47	33	63	4.52	1.38	811
"Tyler Wilson SP  BAL"	36.0	5	3	0	2	2	0	0	13	11	39	3.50	1.39	820
"Yohan Flande SP  COL "	68.3	10	1	0	3	3	0	0	43	25	73	4.74	1.43	834
"Chase Whitley SP  TB "	19.3	4	1	0	1	2	0	0	16	5	20	4.19	1.29	847
"Robbie Erlin SP  SD "	17.0	3	2	0	1	2	0	0	10	2	16	4.76	1.06	854
"Casey Sadler SP  PIT "	5.0	1	0	0	1	0	0	0	5	1	4	3.60	1.00	865
"David Hale SP  COL"	78.3	12	2	0	5	5	0	0	61	20	95	6.09	1.47	877
"Ricky Nolasco SP  MIN "	37.3	8	1	0	5	2	0	0	35	14	50	6.75	1.71	880
"Wily Peralta SP  MIL "	108.7	20	10	0	5	10	0	0	60	37	130	4.72	1.54	886
"Kyle Ryan RP  DET"	56.3	6	2	0	2	4	0	0	30	20	60	4.47	1.42	887
"Ryan Weber SP  ATL"	28.3	5	3	0	0	3	0	0	19	6	25	4.76	1.09	895
"Brad Hand RP  MIA"	93.3	12	4	0	4	7	0	0	67	32	107	5.30	1.49	903
"Justin Masterson SP  BOS"	59.3	9	3	0	4	2	0	0	49	27	68	5.61	1.60	910
"Brett Oberholtzer SP  PHI "	38.3	8	2	0	2	2	0	0	27	17	44	4.46	1.59	911
"Jon Moscot SP  CIN"	11.7	3	1	0	1	1	0	0	6	5	11	4.63	1.37	924
"Tyler Matzek SP  COL"	22.0	5	1	0	2	1	0	0	15	19	21	4.09	1.82	932
"Felix Doubront SP  OAK "	75.3	12	3	0	3	3	1	0	56	26	87	5.50	1.50	948
"Matt Moore SP  TB "	63.0	12	4	0	3	4	0	0	46	23	74	5.43	1.54	989
"Jordan Lyles SP  COL "	49.0	10	3	0	2	5	0	0	30	19	54	5.14	1.49	1005
"Jorge Lopez SP  MIL"	10.0	2	0	0	1	1	0	0	10	5	14	5.40	1.90	1007
"John Lamb SP  CIN "	49.7	10	2	0	1	5	0	0	58	19	58	5.80	1.55	1021
"Eric Stults SP  LAD"	47.7	8	3	0	1	5	0	0	31	13	48	5.85	1.28	1028
"Kyle Lohse SP  MIL"	152.3	22	5	0	5	13	2	0	108	43	180	5.85	1.46	1031
"Odrisamer Despaigne SP  BAL "	125.7	18	8	0	5	9	0	0	69	32	142	5.80	1.38	1042
"Scott Baker SP  LAD"	11.0	2	1	0	0	1	0	0	8	3	11	5.73	1.27	1045
"Brad Peacock SP  HOU"	5.0	1	0	0	0	1	0	0	3	2	5	5.40	1.40	1048
"Manny Banuelos SP  ATL "	26.3	6	0	0	1	4	0	0	19	12	30	5.13	1.59	1054
"Jose Valdez SP  DET"	9.0	0	0	0	0	1	0	1	4	4	10	4.00	1.56	1060
"Mike Foltynewicz SP  ATL "	86.7	15	4	0	4	6	0	0	77	29	112	5.71	1.63	1063
"Dan Straily SP  HOU"	16.7	3	1	0	0	1	0	0	14	8	16	5.40	1.44	1067
"Brad Mills SP  SEA"	5.0	1	0	0	0	0	0	0	1	1	7	5.40	1.60	1091
"Mike Wright SP  BAL"	44.7	9	2	0	3	5	0	0	26	18	52	6.04	1.57	1100
"Brian Johnson SP  BOS "	4.3	1	0	0	0	1	0	0	3	4	3	8.31	1.62	1110
"Chris Rusin SP  COL"	131.7	22	13	2	6	10	0	0	86	41	170	5.33	1.60	1121
"Archie Bradley SP  ARI "	35.7	8	3	0	2	3	0	0	23	22	36	5.80	1.63	1129
"Domingo German SP  NYY "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Matt Magill SP  CIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Tyler Chatwood SP  COL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jacob Turner SP  CHW "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Johnny Hellweg SP  MIL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Daniel Corcino SP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Gabriel Ynoa SP  NYM"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Nick Tepesch SP  TEX "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Danny Hultzen SP  SEA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Tyrell Jenkins SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Alex Cobb SP  TB "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Logan Darnell SP  MIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jesse Biddle SP  PIT "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Mike Minor SP  KC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Zack Wheeler SP  NYM "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Mike Strong SP  MIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Brandon Cumpton SP  PIT "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Brandon Workman SP  BOS "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Wilfredo Boscan SP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
