All Second Basemen 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Munenori Kawasaki 2B  CHC "	28	6	6	4	2	0	0	2	4	6	0	1	0.214	0.312	0.286	1053
"Gregorio Petit 2B  LAA "	42	7	7	4	3	0	0	5	3	16	0	0	0.167	0.217	0.238	1055
"Emmanuel Burriss 2B  PHI"	3	2	2	2	0	0	0	0	2	0	0	0	0.667	0.800	0.667	1096
"Jemile Weeks 2B  BOS "	9	1	3	3	0	0	0	1	0	2	0	0	0.333	0.333	0.333	1112
"Donovan Solano SS  NYY "	90	6	17	13	3	1	0	7	1	18	0	0	0.189	0.215	0.244	1117
"Ronald Torreyes 2B  NYY "	6	1	2	1	1	0	0	1	1	1	0	0	0.333	0.429	0.500	1119
"Doug Bernier 2B  MIN "	5	1	1	0	1	0	0	2	1	3	0	0	0.200	0.333	0.400	1122
"Luis Sardinas 2B  SEA"	97	8	19	18	0	1	0	4	6	25	0	0	0.196	0.240	0.216	1135
"Ryan Brett 2B  TB"	3	0	2	1	1	0	0	0	1	0	0	0	0.667	0.750	1.000	1236
"Arismendy Alcantara 2B  CHC"	26	5	2	2	0	0	0	1	5	11	1	0	0.077	0.226	0.077	1249
"Jurickson Profar 2B  TEX "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Sean Coyle 2B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Alen Hanson 2B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Justin Sellers 2B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Taylor Lindsey 2B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Maicer Izturis 2B  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Emilio Bonifacio 2B  ATL"	78	5	13	11	2	0	0	4	2	27	1	4	0.167	0.198	0.192	1338
"Wilmer Difo 2B  WAS"	11	1	2	2	0	0	0	0	0	2	0	0	0.182	0.182	0.182	1346
"Willie Bloomquist 2B  SEA"	69	2	11	10	1	0	0	4	2	13	1	1	0.159	0.194	0.174	1403
"Steve Lombardozzi 2B  CHW"	10	1	0	0	0	0	0	0	1	4	0	0	0.000	0.091	0.000	1405
"Ryan Jackson 2B  PHI"	9	0	0	0	0	0	0	0	1	5	0	0	0.000	0.100	0.000	1415
"Yadiel Rivera 2B  MIL"	14	0	1	1	0	0	0	0	0	4	0	0	0.071	0.071	0.071	1419
"Kris Negron LF  CHC "	93	5	13	11	2	0	0	2	9	23	2	0	0.140	0.238	0.161	1435
"Breyvic Valera 2B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Luis Mateo 2B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Mike Folli 2B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Jeremias Pineda 2B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Corey Jones 2B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
"Alden Carrithers 2B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	9999
