All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Jake McGee RP  COL "	37.3	0	0	0	1	2	6	4	48	8	27	2.41	0.94	475
"Chasen Shreve RP  NYY"	58.3	0	0	0	6	2	0	1	64	33	49	3.09	1.41	476
"Xavier Cedeno RP  TB "	46.0	0	0	0	4	1	1	2	47	14	40	2.35	1.17	481
"Josh Fields RP  HOU "	50.7	0	0	0	4	1	0	2	67	19	39	3.55	1.14	484
"Carter Capps RP  MIA "	31.0	0	0	0	1	0	0	2	58	7	18	1.16	0.81	485
"Shawn Kelley RP  WAS"	51.3	0	0	0	2	2	0	0	63	15	41	2.45	1.09	488
"Pedro Baez RP  LAD"	51.0	0	0	0	4	2	0	3	60	11	47	3.35	1.14	490
"Daniel Hudson RP  ARI "	67.7	1	0	0	4	3	4	2	71	25	64	3.86	1.32	495
"Jeff Manship RP  CLE "	39.3	0	0	0	1	0	0	0	33	10	20	0.92	0.76	497
"Fernando Rodriguez RP  OAK "	58.7	0	0	0	4	2	0	2	65	24	43	3.83	1.14	499
"Felipe Rivero RP  WAS"	48.3	0	0	0	2	1	2	1	43	11	35	2.79	0.95	506
"Bryan Shaw RP  CLE "	64.0	0	0	0	3	3	2	4	54	19	59	2.95	1.22	507
"Steven Geltz RP  TB"	67.3	2	0	0	2	6	2	3	61	26	45	3.74	1.05	513
"Sean Gilmartin RP  NYM "	57.3	1	0	0	3	2	0	1	54	18	50	2.67	1.19	515
"Sergio Romo RP  SF "	57.3	0	0	0	0	5	2	2	71	10	51	2.98	1.06	520
"Jose Alvarez RP  LAA"	67.0	0	0	0	4	3	0	1	59	23	58	3.49	1.21	521
"Blaine Hardy RP  DET "	61.3	0	0	0	5	3	0	4	55	22	61	3.08	1.35	524
"Edwin Jackson RP  MIA "	55.7	0	0	0	4	3	1	1	40	21	44	3.07	1.17	526
"Ryan Vogelsong SP  SF"	135.0	22	9	0	9	11	0	1	108	58	140	4.67	1.47	528
"Brandon Finnegan RP  CIN "	48.0	4	1	0	5	2	0	1	45	21	37	3.56	1.21	529
"Franklin Morales RP  KC"	62.3	0	0	0	4	2	0	1	41	14	58	3.18	1.16	531
"Casey Fien RP  MIN "	63.3	0	0	0	4	6	0	4	41	8	61	3.55	1.09	532
"Pat Neshek RP  HOU "	54.7	0	0	0	3	6	1	3	51	12	49	3.62	1.12	540
"Mychal Givens RP  BAL"	30.0	0	0	0	2	0	0	0	38	6	20	1.80	0.87	541
"Zach Duke RP  CHW"	60.7	0	0	0	3	6	1	2	66	32	47	3.41	1.30	542
"Josh Collmenter RP  ARI"	121.0	12	3	1	4	6	1	0	63	24	129	3.79	1.26	546
"Chris Hatcher RP  LAD "	39.0	0	0	0	3	5	4	2	45	13	35	3.69	1.23	548
"Chad Qualls RP  COL"	49.3	0	0	0	3	5	4	2	46	9	46	4.38	1.11	551
"Kris Medlen SP  KC "	58.3	8	4	0	6	2	0	0	40	18	56	4.01	1.27	552
"Blaine Boyer RP  MIL "	65.0	0	0	0	3	6	1	2	33	19	62	2.49	1.25	554
"Miguel Socolovich RP  STL"	29.7	0	0	0	4	1	0	0	27	10	25	1.82	1.18	555
"Matt Albers RP  CHW "	37.3	0	0	0	2	0	0	0	28	9	31	1.21	1.07	559
"Evan Scribner RP  SEA "	60.0	0	0	0	2	2	0	4	64	4	58	4.35	1.03	561
