All Third Basemen 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Jake Elmore 1B  MIL"	141	10	29	22	5	0	2	16	12	25	1	1	0.206	0.263	0.284	835
"Richie Shaffer 1B  TB "	74	11	14	7	3	0	4	6	10	32	0	1	0.189	0.307	0.392	845
"Hector Olivera 3B  ATL "	79	4	20	13	4	1	2	11	5	12	0	0	0.253	0.310	0.405	859
"Casey McGehee 3B  MIA"	237	14	47	33	12	0	2	20	21	50	1	1	0.198	0.264	0.274	864
"Deven Marrero 3B  BOS"	53	8	12	11	0	0	1	3	3	19	2	1	0.226	0.268	0.283	898
"Javier Baez 2B  CHC "	76	4	22	15	6	0	1	4	4	24	1	2	0.289	0.325	0.408	900
"Cheslor Cuthbert 3B  KC"	46	6	10	6	2	1	1	8	4	9	0	0	0.217	0.280	0.370	920
"Brendan Ryan 2B  WAS "	96	10	22	14	6	2	0	8	5	29	0	0	0.229	0.275	0.333	930
"Hanser Alberto 2B  TEX"	99	12	22	19	2	1	0	4	2	17	1	0	0.222	0.238	0.263	936
"Mike Olt 3B  CHW"	94	7	18	14	0	0	4	5	7	35	0	1	0.192	0.255	0.319	937
"Brandon Drury 3B  ARI"	56	3	12	7	3	0	2	8	2	8	0	0	0.214	0.254	0.375	946
"Josh Wilson 2B  DET"	38	4	12	9	3	0	0	5	0	15	0	0	0.316	0.350	0.395	950
"Kaleb Cowart 3B  LAA "	46	8	8	5	2	0	1	4	5	19	1	1	0.174	0.255	0.283	965
"Hector Gomez 2B  MIL"	127	15	23	9	11	2	1	7	3	40	0	0	0.181	0.212	0.323	995
"Joaquin Arias 3B  ARI"	58	5	12	10	1	0	1	4	0	12	1	0	0.207	0.207	0.276	1001
"Pete Kozma SS  NYY"	99	15	15	15	0	0	0	2	10	21	3	1	0.151	0.236	0.151	1015
"Matt Duffy 3B  HOU"	8	0	3	2	1	0	0	3	1	2	0	0	0.375	0.444	0.500	1090
"Kyle Kubitza 3B  LAA "	36	6	7	7	0	0	0	1	3	15	0	0	0.194	0.256	0.194	1102
"Donovan Solano SS  NYY "	90	6	17	13	3	1	0	7	1	18	0	0	0.189	0.215	0.244	1117
"Brent Morel 3B  PIT"	7	1	2	1	1	0	0	1	0	3	0	0	0.286	0.286	0.429	1130
"Cole Figueroa 3B  PIT"	8	2	2	0	2	0	0	0	0	0	0	0	0.250	0.250	0.500	1234
"Ty Kelly 3B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Matt Davidson 3B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Christian Villanueva 3B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Charlie Culberson 3B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Renato Nunez 3B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Matt Dominguez 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1275
"Danny Muno 3B  NYM"	27	2	4	3	1	0	0	0	4	11	1	0	0.148	0.258	0.185	1345
"Don Kelly 3B  MIA "	1	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1349
"Jeff Bianchi 3B  BOS"	2	0	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	1354
"Andy Parrino SS  CHW"	6	1	0	0	0	0	0	0	2	5	0	0	0.000	0.250	0.000	1370
