Free Agent Starting Pitchers  Season   Projections Standard Stats
INN,GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
""Tanner Rainey SP  CIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Cody Ponce SP  MIL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Chris Paddack SP  SD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Eddie Butler SP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Eric Lauer SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Domingo German SP  NYY"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Nick Neidert SP  SEA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Lay Batista SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Matt Crouse SP  DET"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Jacob Pettit SP  BAL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Antonio Santillan SP  CIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Dinelson Lamet SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Drew Granier SP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Marcus Walden SP  BOS "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Greg Reynolds SP  CIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Will Roberts SP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Luis Mendoza SP  KC"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Kyle Funkhouser SP  DET"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Jon Harris SP  TOR"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Chris Kohler SP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Jon Moscot SP  CIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Jordan Johnson SP  SF"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Tyler Pill SP  NYM"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Miles Mikolas SP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Nick Martinez SP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Mitch Brown SP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Raymond Hernandez SP  ARI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Red Patterson SP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Justin Hancock SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""C.J. Wilson SP  LAA "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Josh Sborz SP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Antonio Senzatela SP  COL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Zach Jemiola SP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""A.J. Puk SP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Fernando Nieve SP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Brian Mazone SP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Joe Wieland SP  SEA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Aaron Civale SP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Johnny Hellweg SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Brandon Mann SP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Kyle Winkler SP  ARI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""David Holmberg SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Marco Duarte SP  BOS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Daniel Corcino SP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
""Greg Nappo SP  MIA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
