All Outfielders  Season   Projections Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Mikie Mahtook LF  DET "	364	36	74	47	16	1	10	27	13	127	4	2	0.203	0.239	0.335	611
"Chris Coghlan LF  CHC"	221	32	48	29	11	2	6	24	29	55	4	1	0.217	0.314	0.366	620
"Mallex Smith CF  TB "	134	21	33	22	6	1	4	17	14	38	9	2	0.246	0.322	0.396	621
"Kirk Nieuwenhuis CF  MIL "	216	26	45	22	14	1	8	27	26	87	4	2	0.208	0.299	0.394	624
"Blake Swihart LF  BOS "	220	34	58	43	9	4	2	21	19	66	2	1	0.264	0.325	0.368	626
"Brandon Guyer LF  CLE "	176	28	48	32	11	1	4	19	13	31	2	1	0.273	0.360	0.415	627
"Harold Ramirez CF  TOR"	150	22	37	23	7	1	6	20	14	41	2	0	0.247	0.315	0.427	648
"Billy Burns CF  KC"	180	24	46	37	6	3	0	10	6	27	11	3	0.256	0.295	0.322	653
"Anthony Garcia RF  STL"	150	20	37	23	7	1	6	18	13	40	2	0	0.247	0.315	0.427	664
"Wuilmer Becerra RF  NYM "	150	20	37	23	7	1	6	18	13	41	2	0	0.247	0.311	0.427	664
"Jacob Hannemann CF  CHC"	147	21	37	25	7	1	4	16	14	39	4	0	0.252	0.325	0.395	669
"Ryan Cordell CF  MIL"	140	19	33	22	6	1	4	14	12	44	7	1	0.236	0.301	0.379	671
"Adam Brett Walker LF  BAL "	152	21	38	24	7	1	6	18	11	41	1	0	0.250	0.305	0.428	674
"Anthony Santander LF  BAL"	152	21	38	24	7	1	6	18	11	41	1	0	0.250	0.305	0.428	674
"Brett Phillips CF  MIL"	146	19	35	22	7	1	5	17	13	46	4	0	0.240	0.306	0.404	682
"Jose Martinez LF  STL"	142	22	38	26	7	1	4	15	13	34	2	0	0.268	0.333	0.415	684
"Jorge Bonifacio RF  KC"	153	21	38	26	7	1	4	18	10	38	3	0	0.248	0.299	0.386	686
"Samir Duenez RF  KC"	153	21	38	26	7	1	4	18	10	38	3	0	0.248	0.299	0.386	686
"Bubba Starling CF  KC"	153	21	38	26	7	1	4	18	10	38	3	0	0.248	0.299	0.386	686
