Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Dan Otero RP  CLE "	72.7	0	0	0	3	2	2	0	52	9	73	3.47	1.13	595
"Carson Fulmer RP  CHW "	118.7	24	8	0	8	10	2	0	106	55	118	4.78	1.46	598
"Blake Treinen RP  WAS "	74.7	0	0	0	3	3	1	0	73	35	64	3.13	1.33	600
"Adalberto Mejia RP  MIN"	120.0	18	6	0	6	10	2	0	101	46	128	4.12	1.45	601
"Arodys Vizcaino RP  ATL "	67.0	0	0	0	3	3	2	0	82	37	60	3.09	1.45	602
"Taylor Rogers RP  MIN"	81.0	0	0	0	4	2	0	0	85	21	84	4.00	1.30	604
"Danny Farquhar RP  TB "	86.7	0	0	0	4	6	2	0	94	32	86	4.26	1.36	608
"Bryan Shaw RP  CLE "	67.3	0	0	0	3	4	2	0	66	25	64	3.21	1.32	610
"Zach Putnam RP  CHW "	68.7	0	0	0	3	3	0	0	86	32	61	3.54	1.35	613
"Carter Capps RP  SD "	26.0	0	0	0	1	1	0	0	49	6	15	1.04	0.81	614
"Matt Bowman RP  STL"	75.0	0	0	0	3	5	0	0	58	22	65	3.48	1.16	616
"Andrew Chafin RP  ARI"	69.0	0	0	0	3	2	2	0	61	29	55	3.65	1.22	617
"Justin Wilson RP  DET "	62.0	0	0	0	3	3	1	0	68	20	57	3.63	1.24	618
"Dan Jennings RP  CHW "	73.0	0	0	0	4	6	2	0	58	33	70	2.96	1.41	622
"Miguel Socolovich RP  STL"	33.7	0	0	0	3	1	0	0	31	11	21	1.87	0.95	623
"Zach McAllister RP  CLE "	66.0	0	0	0	3	3	2	0	75	25	67	3.55	1.39	630
"Jake Diekman RP  TEX "	60.7	0	0	0	3	2	2	0	69	30	49	3.86	1.30	632
"Michael Ynoa RP  CHW"	54.3	0	0	0	3	1	1	0	54	31	36	3.31	1.23	633
"Yohander Mendez RP  TEX"	118.7	20	9	0	9	8	2	1	97	49	124	5.23	1.46	637
"Deolis Guerra RP  LAA"	72.0	0	0	0	5	1	0	0	55	10	82	4.00	1.28	638
"Blaine Hardy RP  DET"	71.7	0	0	0	4	3	0	0	62	28	71	3.27	1.38	639
"Jake Barrett RP  ARI"	68.3	0	0	0	2	3	2	0	65	32	54	3.56	1.26	642
"Trevor Gott RP  WAS"	70.0	0	0	0	3	2	0	0	44	25	65	2.70	1.29	645
"Chaz Roe RP  ATL"	70.7	0	0	0	4	3	0	0	76	31	67	3.95	1.39	646
