All Starting Pitchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank
Slowey, Kevin SP MIN	Floaters and Sinkers	155.7	28	9	0	13	6	0	0	116	29	172	4.452	1.2912	262
Westbrook, Jake SP STL 	Free Agent	202.7	33	18	1	10	11	0	0	128	68	203	4.219	1.3372	263
Davis, Wade SP TB	Free Agent	168.0	29	15	0	12	10	0	0	113	62	165	4.071	1.3512	265
Baker, Scott SP MIN	Floaters and Sinkers	170.3	29	12	0	12	9	0	0	148	43	186	4.491	1.3444	267
Bumgarner, Madison SP SF 	Disco Bush Horticulturists	111.0	18	11	0	7	6	0	0	86	26	119	3.000	1.3063	268
Matusz, Brian SP BAL	Whiteness	175.7	32	18	0	10	12	0	0	143	63	173	4.304	1.3435	269
Strasburg, Stephen SP WAS 	Disco Bush Horticulturists	68.0	12	6	0	5	3	0	0	92	17	56	2.912	1.0735	273
Zambrano, Carlos SP CHC	Whiteness	129.7	20	12	0	11	6	0	0	117	69	119	3.332	1.4499	275
Lackey, John SP BOS	Free Agent	215.0	33	21	0	14	11	0	0	156	72	233	4.395	1.4186	276
Jackson, Edwin SP CHW	SA`s	209.3	32	15	1	10	12	0	0	181	78	214	4.471	1.3949	279
Morrow, Brandon SP TOR	Free Agent	146.3	26	15	1	10	7	0	0	178	66	136	4.490	1.3804	283
Padilla, Vicente SP LA 	Free Agent	95.0	16	9	1	6	5	0	0	84	24	79	4.074	1.0842	290
Medlen, Kris RP ATL 	Free Agent	107.7	14	7	0	6	2	0	0	83	21	108	3.678	1.1981	293
Fister, Doug SP SEA	Floaters and Sinkers	171.0	28	13	0	6	14	0	0	93	32	187	4.105	1.2807	299
Figueroa, Nelson RP HOU	SA`s	93.0	11	4	0	7	4	1	0	73	34	84	3.290	1.2688	300
Chen, Bruce SP KC	Want-a-be Ghetto All Stars	140.3	23	8	1	12	7	1	0	98	57	136	4.169	1.3753	303
Buehrle, Mark SP CHW 	Free Agent	210.3	33	19	3	13	13	0	0	99	49	246	4.279	1.4025	319
Wells, Randy SP CHC	Floaters and Sinkers	194.3	32	18	0	8	14	0	0	144	63	209	4.261	1.3997	320
Moyer, Jamie SP PHI 	SA`s	111.7	19	9	2	9	9	0	0	63	20	103	4.836	1.1015	322
De La Rosa, Jorge SP COL 	Disco Bush Horticulturists	121.7	20	12	0	8	7	0	0	113	55	105	4.216	1.3151	323
Silva, Carlos SP CHC 	User Abuser	113.0	21	13	0	10	6	0	0	80	24	120	4.221	1.2743	326
Niese, Jonathon SP NYM	Free Agent	173.7	30	14	2	9	10	0	0	148	62	192	4.198	1.4626	353
Matsuzaka, Daisuke SP BOS	Free Agent	153.7	25	10	0	9	6	0	0	133	74	137	4.686	1.3731	363
Peavy, Jake SP CHW 	User Abuser	107.0	17	8	1	7	6	0	0	93	34	98	4.626	1.2336	364
Narveson, Chris SP MIL	Want-a-be Ghetto All Stars	167.7	28	12	0	12	9	0	1	137	59	172	4.992	1.3777	369
Hammel, Jason SP COL	Want-a-be Ghetto All Stars	177.7	30	14	0	10	9	0	0	141	47	201	4.812	1.3959	380
Garcia, Freddy SP CHW	Free Agent	157.0	28	18	0	12	6	0	0	89	45	171	4.643	1.3758	386
Volstad, Chris SP FLA	Free Agent	175.0	30	15	2	12	9	0	0	102	60	187	4.577	1.4114	389
LeBlanc, Wade SP SD	Free Agent	146.0	25	13	0	8	12	0	0	110	51	157	4.253	1.4247	396
Happ, J.A. SP HOU	Floaters and Sinkers	87.3	16	9	1	6	4	0	0	70	47	73	3.401	1.3740	397
