All Outfielders 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Jose Azocar RF  SD"	202	24	52	40	9	3	0	10	12	44	5	6	.257	.298	.332	697
"Jake Cave LF  PHI"	164	17	35	20	7	3	5	20	11	49	2	0	.213	.260	.384	704
"Stone Garrett LF  WAS"	76	13	21	9	8	0	4	10	3	27	3	1	.276	.309	.539	707
"Tyler Wade 2B  OAK"	147	22	32	26	5	0	1	8	10	33	8	5	.218	.272	.272	709
"Nick Maton RF  DET "	72	13	18	10	2	1	5	17	10	29	0	0	.250	.341	.514	711
"Drew Waters RF  KC "	96	14	23	11	6	1	5	18	12	40	0	0	.240	.324	.479	712
"Corbin Carroll LF  ARI "	104	13	27	12	9	2	4	14	8	31	2	1	.260	.330	.500	715
"Kerry Carpenter LF  DET "	103	16	26	15	4	1	6	10	6	32	0	0	.252	.310	.485	725
"Marwin Gonzalez RF  NYY"	184	20	34	21	7	0	6	18	14	54	3	0	.185	.255	.321	730
"Alex Kirilloff LF  MIN "	144	14	36	26	7	0	3	21	5	36	0	0	.250	.290	.361	731
"Charlie Culberson 3B  TB"	115	19	29	21	6	0	2	12	5	31	2	3	.252	.283	.356	733
"Nomar Mazara RF  BAL"	159	16	42	32	8	0	2	18	10	40	0	0	.264	.316	.352	738
"Joshua Lowe RF  TB"	181	24	40	24	12	2	2	13	15	66	3	0	.221	.284	.343	743
"Ryan McKenna LF  BAL "	156	23	37	25	10	0	2	11	11	55	2	1	.237	.294	.340	744
"Oscar Mercado RF  STL"	121	17	25	14	6	1	4	16	5	29	2	2	.207	.242	.372	745
"Jarred Kelenic CF  SEA"	163	20	23	10	5	1	7	17	16	61	5	2	.141	.221	.313	746
"Nick Pratto 1B  KC "	158	18	29	12	9	1	7	20	19	66	0	0	.183	.271	.386	749
"Sam Hilliard LF  ATL "	174	26	32	23	6	1	2	14	23	57	5	1	.184	.280	.264	755
"Tim Locastro LF  NYM "	43	13	8	5	1	0	2	4	2	7	8	2	.186	.239	.349	761
"Miguel Andujar LF  PIT"	132	13	31	24	5	1	1	17	5	27	4	1	.235	.257	.311	767
"Greg Allen LF  BOS"	118	17	22	16	4	0	2	8	10	42	8	2	.186	.260	.271	769
"Skye Bolt CF  MIL"	106	10	21	15	2	0	4	13	7	30	5	0	.198	.259	.330	777
"Alejo Lopez 2B  CIN"	145	15	38	31	5	1	1	10	9	21	3	1	.262	.314	.331	783
"Josh H. Smith 3B  TEX "	213	23	42	35	5	0	2	16	28	50	4	3	.197	.307	.249	795
"Brett Phillips CF  LAA"	201	22	29	18	6	0	5	15	16	94	7	0	.144	.217	.249	807
"Cooper Hummel LF  SEA "	176	20	31	17	8	3	3	17	23	64	4	1	.176	.274	.307	808
"Conner Capel RF  OAK"	52	7	16	12	0	1	3	11	5	10	1	1	.308	.356	.519	811
"Sean Bouchard LF  COL "	74	9	22	13	6	0	3	11	21	25	0	0	.297	.454	.500	812
"Billy Hamilton LF  CHW"	20	13	1	1	0	0	0	0	2	12	10	1	.050	.136	.050	816
"Stuart Fairchild LF  CIN"	97	14	24	14	4	1	5	6	8	34	0	2	.247	.336	.464	817
"J.J. Bleday CF  OAK "	204	21	34	17	10	2	5	16	30	67	4	1	.167	.277	.309	821
"Taylor Trammell RF  SEA "	102	15	20	7	9	0	4	10	13	33	2	1	.196	.284	.402	823
"Stephen Piscotty RF  SF"	126	12	24	15	4	0	5	14	9	48	2	0	.191	.252	.341	825
"Kyle Stowers LF  BAL "	91	11	23	15	4	1	3	11	5	29	0	0	.253	.306	.418	838
"Terrin Vavra 2B  BAL "	89	14	23	19	2	1	1	12	12	19	0	1	.258	.340	.337	844
