All Third Basemen 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Yu Chang 2B  BOS"	168	19	35	25	6	0	4	15	16	59	0	1	.208	.289	.316	820
"Matt Duffy 3B  KC"	228	14	57	47	8	0	2	16	17	50	0	0	.250	.308	.311	829
"Vimael Machin 3B  PHI"	223	26	49	36	12	0	1	13	25	47	1	1	.220	.300	.287	830
"Tommy La Stella DH  SEA "	180	17	43	27	14	0	2	14	11	30	0	0	.239	.282	.350	832
"Hanser Alberto 2B  CHW"	156	13	38	25	9	2	2	15	3	25	0	1	.244	.258	.365	840
"Kody Clemens 3B  PHI"	117	13	17	8	4	0	5	17	8	33	1	0	.145	.197	.308	873
"Johan Camargo SS  KC"	152	8	36	30	3	0	3	15	13	37	0	0	.237	.297	.316	886
"Andy Ibanez 3B  DET "	119	13	26	21	4	0	1	9	9	21	3	0	.218	.273	.277	892
"Tyler Nevin 3B  DET "	157	17	31	25	4	0	2	16	20	46	0	0	.198	.299	.261	898
"Yairo Munoz 2B  ARI"	57	7	12	7	2	0	3	7	3	10	1	0	.210	.250	.404	924
"Kevin Smith 3B  OAK "	139	9	25	13	9	1	2	13	7	42	4	0	.180	.216	.302	935
"Spencer Steer 3B  CIN"	95	12	20	13	5	0	2	8	11	26	0	1	.210	.306	.326	956
"Hoy Jun Park 2B  ATL"	51	7	11	7	2	0	2	6	4	15	1	0	.216	.276	.372	964
"Gabriel Arias 3B  CLE"	47	9	9	6	1	1	1	5	8	16	1	0	.192	.321	.319	1010
"Jonah Bride 2B  OAK "	162	17	33	28	4	0	1	6	19	32	1	0	.204	.301	.247	1028
"Jordan Groshans 3B  MIA "	61	9	16	15	0	0	1	2	4	13	0	0	.262	.308	.311	1029
"Jonathan Aranda 2B  TB"	78	10	15	9	4	0	2	6	8	23	0	0	.192	.276	.321	1038
"Tyler Freeman 3B  CLE"	77	9	19	16	3	0	0	3	4	11	1	0	.247	.314	.286	1046
"Willians Astudillo 3B  MIA"	54	5	13	12	0	0	1	4	1	3	1	0	.241	.255	.296	1055
"Jack Mayfield 2B  LAA"	70	8	13	10	1	1	1	6	3	17	1	0	.186	.230	.271	1080
"Brett Baty 3B  NYM "	38	4	7	5	0	0	2	5	2	8	0	0	.184	.244	.342	1108
"Ryan Kreidler SS  DET "	73	8	13	11	1	0	1	6	6	22	0	1	.178	.244	.233	1153
"Ernie Clement 3B  OAK "	163	19	30	26	4	0	0	6	11	26	0	1	.184	.243	.209	1176
"Matt Davidson 3B  OAK"	34	3	5	3	0	0	2	3	3	13	0	1	.147	.216	.324	1190
