All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Tittys Warriors,Scott Barlow RP | KC,81,71,0,0,0,1,3,23,4,4,102,30,69,2.56,1.22,174
Whiteness,Drew Rasmussen SP | TB,148,29,29,9,0,10,7,0,0,0,127,38,124,2.86,1.09,183
Disco Bush Horticulturists,Paul Sewald RP | SEA,59,67,0,0,0,2,2,31,9,3,75,18,33,3.20,0.86,185
Whiteness,Jordan Montgomery SP | STL,165,30,30,13,1,9,5,0,0,0,150,46,156,3.55,1.22,188
W ,Kodai Senga SP | NYM ,153,29,29,11,0,10,8,0,0,0,149,43,150,3.82,1.26,190
W ,Andres Munoz RP | SEA ,65,70,0,0,0,2,3,1,0,25,97,17,45,2.63,0.95,192
Orange-a-Tangs,Luis Garcia SP | HOU,158,29,29,10,0,14,8,0,0,0,160,48,140,3.59,1.19,199
W ,Jon Gray SP | TEX ,156,29,29,11,0,11,7,0,0,0,159,51,138,3.46,1.21,201
W ,Jack Flaherty SP | STL ,146,30,30,14,0,12,4,0,0,0,140,55,126,3.45,1.24,202
Orange-a-Tangs,Jose Berrios SP | TOR,165,29,29,17,0,11,7,0,0,0,154,42,169,4.04,1.28,208
Disco Bush Horticulturists,Brady Singer SP | KC,174,30,30,17,0,8,9,0,0,0,166,53,176,3.83,1.32,211
Los Cerveceros,Jose Leclerc RP | TEX ,81,68,0,0,0,1,4,8,2,9,92,36,56,2.89,1.14,212
EVIL EMPIRE ,Grayson Rodriguez SP | BAL,49,25,13,4,0,4,5,0,0,1,52,19,49,4.41,1.39,213
Disco Bush Horticulturists,Alex Cobb SP | SF ,167,30,30,10,0,12,6,0,0,0,167,38,156,3.18,1.16,220
User Abuser,Nathan Eovaldi SP | TEX ,167,29,29,13,2,8,7,0,0,0,161,41,146,3.13,1.12,222
Tittys Warriors,Miles Mikolas SP | STL ,182,29,29,19,1,12,10,0,0,0,134,44,161,3.51,1.13,223
Shits & Giggles,Merrill Kelly SP | ARI ,185,30,30,16,0,11,8,0,0,0,154,51,169,3.60,1.19,225
W ,Lance McCullers SP | HOU ,148,26,26,16,0,11,5,0,0,0,156,58,131,3.47,1.28,226
Los Cerveceros,Andrew Heaney SP | TEX ,148,29,29,8,0,7,10,0,0,0,186,46,130,3.71,1.19,228
Dirty Pujols,Patrick Sandoval SP | LAA,141,24,24,10,1,6,7,0,0,0,141,52,124,2.87,1.25,231
Orange-a-Tangs,Reid Detmers SP | LAA,126,24,24,7,1,9,5,0,0,0,116,46,110,3.43,1.24,233
W ,Kyle Finnegan RP | WAS,68,67,0,0,0,1,3,21,4,3,84,32,70,4.24,1.50,236
W ,Hunter Brown RP | HOU ,51,23,12,5,0,5,3,0,0,0,46,18,41,2.65,1.16,237
W ,Frankie Montas SP | NYY ,21,11,5,3,0,3,1,0,0,0,19,6,17,3.43,1.10,239
W ,Jose Urquidy SP | HOU,165,29,29,16,0,13,7,0,0,0,141,39,146,3.33,1.12,243
Los Cerveceros,Tyler Mahle SP | MIN ,157,29,29,13,0,9,8,0,0,0,163,40,140,3.15,1.15,249
W ,Sonny Gray SP | MIN ,155,30,30,12,0,9,8,0,0,0,155,42,137,3.19,1.15,252
Tittys Warriors,Carlos Carrasco SP | NYM ,149,29,29,11,0,13,8,0,0,0,147,39,144,3.56,1.23,253
Old Dirty Bugg,Craig Kimbrel RP | PHI,59,67,0,0,0,2,2,34,7,3,79,26,44,3.20,1.19,254
Sofa Kings,Trevor Rogers SP | MIA ,149,29,29,8,0,11,8,0,0,0,153,52,135,3.69,1.25,255
Sofa Kings,Marcus Stroman SP | CHC,171,30,30,16,0,10,8,0,0,0,143,49,159,3.63,1.22,256
User Abuser,Martin Perez SP | TEX ,167,29,29,19,1,10,9,0,0,0,138,55,164,3.18,1.31,258
W ,Evan Phillips RP | LAD,67,69,0,0,0,3,2,1,0,21,77,17,33,0.94,0.75,262
W ,Dylan Floro RP | MIA,57,71,0,0,0,2,2,28,9,3,51,18,48,2.84,1.16,264
W ,Seranthony Dominguez RP | PHI,57,67,0,0,0,6,5,9,2,23,78,23,42,3.00,1.14,268
W ,Carlos Estevez RP | LAA ,66,68,0,0,0,2,2,30,9,3,66,26,62,3.95,1.33,270
W ,Tyler Anderson SP | LAA,144,24,24,14,0,8,7,0,0,0,115,43,136,3.56,1.24,272
W ,Kendall Graveman RP | CHW,26,27,0,0,0,2,1,27,8,1,27,10,23,2.77,1.27,275
W ,Alex Lange RP | DET,54,54,0,0,0,2,3,25,8,3,73,28,49,4.33,1.43,277
Tittys Warriors,Jameson Taillon SP | CHC,163,30,30,11,0,8,8,0,0,0,139,47,163,4.31,1.29,278
Orange-a-Tangs,Gregory Soto RP | PHI ,48,57,0,0,0,4,4,9,2,6,52,29,38,3.38,1.40,282
Los Cerveceros,Edward Cabrera SP | MIA,47,25,12,2,0,5,4,0,0,1,47,22,30,3.25,1.11,283
Sofa Kings,Jorge Lopez RP | MIN,68,70,0,0,0,3,5,7,1,7,73,30,64,4.24,1.38,284
User Abuser,Aaron Ashby SP | MIL ,27,13,3,0,0,2,2,0,0,0,31,11,25,4.33,1.33,286
W ,Spencer Turnbull SP | DET ,170,30,30,13,2,11,8,0,0,0,154,43,146,3.33,1.11,296
Whiteness,Zach Eflin SP | TB,168,29,29,14,0,9,8,0,0,0,149,29,144,3.38,1.03,302
Old Dirty Bugg,Michael Lorenzen SP | DET,167,29,29,14,0,13,9,0,0,0,140,52,139,3.45,1.14,303
W ,Noah Syndergaard SP | LAD ,156,29,29,11,1,16,7,0,0,0,121,39,145,3.63,1.18,306
W ,Matthew Boyd RP | DET ,168,29,29,13,0,7,12,0,0,0,149,39,137,3.00,1.05,308
W ,Ross Stripling SP | SF ,150,29,29,11,0,9,7,0,0,0,126,26,133,2.88,1.06,310
Sofa Kings,Eric Lauer SP | MIL,160,29,29,14,0,11,6,0,0,0,152,52,135,3.43,1.17,313
Tittys Warriors,Michael Wacha SP | SD ,157,29,29,10,1,10,4,0,0,0,139,38,137,3.27,1.11,315
W ,Daniel Hudson RP | LAD ,56,65,0,0,0,2,2,33,10,3,72,14,40,2.73,0.96,321
W ,Sean Manaea SP | SF,165,29,29,17,1,10,8,0,0,0,164,40,162,3.38,1.22,324
W ,Ken Waldichuk SP | OAK ,157,30,30,9,0,10,9,0,0,0,150,45,139,3.38,1.17,325
Shits & Giggles,Adam Wainwright SP | STL ,180,29,29,18,2,13,8,0,0,0,135,57,168,3.40,1.25,328
Old Dirty Bugg,Cal Quantrill SP | CLE,167,29,29,16,0,12,5,0,0,0,123,44,158,3.29,1.21,330
Old Dirty Bugg,Steven Matz SP | STL ,146,29,29,8,0,14,7,0,0,0,143,39,149,3.76,1.29,331
Floaters and Sinkers,Ranger Suarez SP | PHI ,154,29,29,12,0,11,6,0,0,0,134,47,144,3.21,1.24,337
Orange-a-Tangs,Kenta Maeda SP | MIN,155,29,29,8,0,11,5,0,0,0,158,39,146,3.95,1.19,338
W ,Yusei Kikuchi SP | TOR ,142,29,29,9,0,10,6,0,0,0,159,49,126,3.61,1.23,339
W ,Brock Burke RP | TEX,92,60,0,0,0,7,5,1,0,11,101,27,71,1.96,1.07,354
