All First Basemen 2022  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Ji-Man Choi 1B | PIT,356,36,83,50,22,0,11,52,58,123,0,0,.233,.341,.388,383
Tittys Warriors,Jared Walsh 1B | LAA ,423,41,91,56,18,2,15,44,27,138,2,1,.215,.269,.373,386
W ,Aledmys Diaz LF | OAK,305,35,74,49,13,0,12,38,18,53,1,1,.243,.287,.403,395
W ,Bobby Dalbec 1B | BOS,317,40,68,45,9,2,12,39,29,118,3,0,.214,.283,.369,404
W ,Wil Myers RF | CIN,261,29,68,46,15,0,7,41,21,86,2,1,.261,.315,.399,421
EVIL EMPIRE ,Vinnie Pasquantino 1B | KC,258,25,76,56,10,0,10,26,35,34,1,0,.295,.383,.450,424
W ,Miguel Rojas SS | LAD,471,34,111,84,19,2,6,36,26,61,9,3,.236,.283,.323,439
W ,Juan Yepez LF | STL,253,27,64,39,13,0,12,30,16,61,0,0,.253,.296,.447,459
W ,Franchy Cordero 1B | BAL,242,36,53,27,17,1,8,29,28,92,4,1,.219,.300,.397,474
Floaters and Sinkers,Joey Votto 1B | CIN ,322,31,66,36,18,1,11,41,44,97,0,0,.205,.319,.370,510
W ,Matt Reynolds 2B | CIN,244,31,60,46,10,1,3,23,26,78,5,0,.246,.320,.332,540
W ,Pavin Smith RF | ARI ,245,24,54,36,9,0,9,33,28,67,1,0,.220,.300,.367,542
W ,Diego Castillo SS | ARI,262,28,54,30,13,0,11,29,14,75,1,1,.206,.251,.382,545
W ,Cavan Biggio 2B | TOR ,257,43,52,27,18,1,6,24,38,85,2,0,.202,.318,.350,549
W ,Frank Schwindel 1B | CHC,271,23,62,43,11,0,8,36,19,58,0,0,.229,.277,.358,552
W ,Donovan Solano 1B | MIN,278,22,79,59,16,0,4,24,19,61,0,0,.284,.339,.385,563
W ,Alfonso Rivas 1B | SD,251,27,59,49,5,2,3,25,29,87,6,1,.235,.322,.307,568
W ,David Villar 3B | SF ,156,21,36,20,6,1,9,24,18,58,0,1,.231,.332,.455,577
W ,LaMonte Wade RF | SF,217,29,45,29,7,1,8,26,26,51,1,0,.207,.305,.359,578
W ,Mike Moustakas DH | COL ,252,30,54,35,12,0,7,25,24,75,2,0,.214,.295,.345,581
W ,P.J. Higgins 1B | ARI,201,23,46,28,11,1,6,30,22,58,0,0,.229,.310,.383,595
W ,Darick Hall DH | PHI,136,19,34,16,8,1,9,16,5,44,0,0,.250,.282,.522,613
W ,Sheldon Neuse 3B | OAK,271,25,58,48,4,2,4,26,20,80,6,1,.214,.273,.288,616
Dirty Pujols,Spencer Torkelson 1B | DET ,360,38,73,48,16,1,8,28,37,99,0,1,.203,.285,.319,617
Shits & Giggles,Brandon Belt 1B | TOR ,254,25,54,36,9,1,8,23,37,81,1,0,.213,.326,.350,638
W ,Elehuris Montero 3B | COL ,176,21,41,19,15,1,6,20,8,60,0,0,.233,.270,.432,660
W ,Charles Leblanc 2B | MIA,156,18,41,27,10,0,4,11,12,53,4,2,.263,.320,.404,661
W ,Andrew Knizner C | STL ,260,28,56,42,10,0,4,25,26,62,0,1,.215,.301,.300,691
W ,Marwin Gonzalez RF | NYY,184,20,34,21,7,0,6,18,14,54,3,0,.185,.255,.321,730
Old Dirty Bugg,Alex Kirilloff LF | MIN ,144,14,36,26,7,0,3,21,5,36,0,0,.250,.290,.361,731
W ,David Bote 2B | CHC,116,15,30,18,8,0,4,12,6,45,1,0,.259,.315,.431,737
W ,Colin Moran 1B | SEA,109,11,23,15,3,0,5,23,16,30,0,0,.211,.305,.376,742
W ,Nick Pratto 1B | KC ,158,18,29,12,9,1,7,20,19,66,0,0,.183,.271,.386,749
W ,Stephen Vogt DH | OAK,168,18,27,15,4,1,7,23,17,46,1,0,.161,.241,.321,763
W ,Dermis Garcia 1B | OAK ,116,13,24,13,6,0,5,20,8,55,0,0,.207,.264,.388,765
Los Cerveceros,Triston Casas 1B | BOS,76,11,15,9,1,0,5,12,19,23,1,0,.197,.358,.408,815
W ,Yu Chang 2B | BOS,168,19,35,25,6,0,4,15,16,59,0,1,.208,.289,.316,820
W ,Matt Duffy 3B | KC,228,14,57,47,8,0,2,16,17,50,0,0,.250,.308,.311,829
W ,Ryan O'Hearn DH | BAL ,134,14,32,24,6,1,1,16,8,35,0,0,.239,.290,.321,848
W ,Sam Huff C | TEX ,121,9,29,21,4,0,4,10,11,42,1,0,.240,.303,.372,851
W ,Yasmani Grandal C | CHW,327,15,66,54,7,0,5,27,45,79,1,0,.202,.300,.269,854
W ,Josh VanMeter 2B | MIL ,171,15,32,22,5,2,3,14,19,45,4,0,.187,.266,.292,856
W ,Kody Clemens 3B | PHI,117,13,17,8,4,0,5,17,8,33,1,0,.145,.197,.308,873
W ,Johan Camargo SS | KC,152,8,36,30,3,0,3,15,13,37,0,0,.237,.297,.316,886
W ,Andy Ibanez 3B | DET ,119,13,26,21,4,0,1,9,9,21,3,0,.218,.273,.277,892
W ,Tyler Nevin 3B | DET ,157,17,31,25,4,0,2,16,20,46,0,0,.198,.299,.261,898
W ,Michael Toglia RF | COL ,111,10,24,12,8,2,2,12,9,44,1,1,.216,.275,.378,903
W ,Matt Thaiss C | LAA,69,9,15,12,1,0,2,8,11,24,1,0,.217,.321,.319,922
W ,Spencer Steer 3B | CIN,95,12,20,13,5,0,2,8,11,26,0,1,.210,.306,.326,956
W ,Lewin Diaz 1B | BAL,160,12,27,18,4,0,5,11,11,54,1,0,.169,.224,.287,985
W ,Mike Ford 1B | SEA,131,9,27,19,5,0,3,10,17,40,0,0,.206,.302,.313,991
W ,Zack Collins C | CLE,97,9,15,7,4,0,4,11,9,41,0,0,.155,.232,.320,1001
W ,J.J. Matijevic DH | HOU,67,7,14,10,2,0,2,5,2,25,1,0,.209,.254,.328,1012
W ,Dominic Smith 1B | WAS ,134,11,26,15,10,1,0,17,12,37,0,0,.194,.276,.284,1027
W ,Jonah Bride 2B | OAK ,162,17,33,28,4,0,1,6,19,32,1,0,.204,.301,.247,1028
W ,Jonathan Aranda 2B | TB,78,10,15,9,4,0,2,6,8,23,0,0,.192,.276,.321,1038
W ,Yoshitomo Tsutsugo 1B | TEX ,170,11,29,23,4,0,2,19,19,50,0,0,.171,.249,.229,1071
W ,Miguel Vargas 1B | LAD ,47,4,8,6,1,0,1,8,2,13,1,0,.170,.200,.255,1095
W ,Bligh Madris RF | HOU,113,10,20,12,7,0,1,7,10,31,2,1,.177,.244,.266,1107
W ,Alec Burleson RF | STL ,48,4,9,7,1,0,1,3,5,9,1,0,.188,.264,.271,1165
W ,Ernie Clement 3B | OAK ,163,19,30,26,4,0,0,6,11,26,0,1,.184,.243,.209,1176
W ,Jared Young 1B | CHC,19,2,5,3,2,0,0,0,3,7,1,0,.263,.364,.368,1212
W ,Aramis Garcia C | PHI,108,6,23,20,2,0,1,4,3,34,0,1,.213,.248,.259,1219
W ,Caleb Hamilton C | BOS,18,5,1,0,0,0,1,1,4,14,0,0,.056,.227,.222,1234
W ,Seth Beer DH | ARI ,111,4,21,17,3,0,1,9,11,31,0,0,.189,.278,.243,1250
W ,Gosuke Katoh 1B | NYM,7,2,1,0,1,0,0,0,3,1,0,0,.143,.400,.286,1399
W ,Evan White 1B | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Matt Mervis 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1425
W ,Taylor Jones 1B | LAA,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,1483
W ,David MacKinnon 1B | OAK,50,2,7,7,0,0,0,6,6,17,0,0,.140,.228,.140,1518
W ,Ronald Guzman 1B | SF ,6,0,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,1547
W ,Bobby Bradley 1B | CLE,17,1,2,2,0,0,0,0,0,9,0,0,.118,.118,.118,1554
