All Starting Pitchers 2022  Season MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Casey Mize SP  DET "	10.0	2	2	0	0	0	1	0	0	0	4	2	13	5.40	1.50	1242
"Jared Koenig SP  OAK"	39.1	10	5	0	0	1	3	0	0	0	22	15	40	5.72	1.40	1259
"Jose Urena SP  COL"	97.0	21	17	7	0	3	8	0	0	0	63	43	109	5.01	1.57	1265
"Spencer Turnbull SP  DET "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Drew Strotman SP  SF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Ricky Vanasco SP  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Peyton Battenfield SP  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Davis Daniel SP  LAA "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Joey Lucchesi SP  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Kenta Maeda SP  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Dylan File SP  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Juan Then SP  SEA "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Alexander Vizcaino SP  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Brent Honeywell SP  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Jay Groome SP  SD "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"James Marinan SP  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"James McArthur SP  PHI "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Osvaldo Bido SP  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Deivi Garcia SP  NYY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Ryan Rolison SP  COL "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Sixto Sanchez SP  MIA "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Helcris Olivarez SP  COL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Hans Crouse SP  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
"Jordan Balazovic SP  MIN "	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1270
