All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Zack Greinke SP  KC"	125.0	23	22	10	0	6	6	0	0	0	87	24	129	3.96	1.22	333
"Ian Anderson SP  ATL "	90.2	17	17	6	0	7	4	0	0	0	87	40	80	3.97	1.32	335
"Yimi Garcia RP  TOR"	44.2	46	0	0	0	4	5	6	3	10	46	13	35	3.22	1.07	338
"Adam Ottavino RP  NYM"	48.2	53	0	0	0	5	3	5	4	15	58	20	41	3.51	1.25	339
"Alex Wood SP  SF"	94.0	20	18	5	0	6	6	0	0	0	99	25	91	4.50	1.23	340
"Tyler Glasnow SP  TB "	50.2	9	9	4	0	3	1	0	0	0	75	17	34	3.20	1.01	342
"Joe Ryan SP  MIN"	58.0	11	11	4	0	5	3	0	0	0	60	17	44	3.57	1.05	344
"A.J. Minter RP  ATL"	48.0	53	0	0	0	3	4	2	3	21	58	15	36	2.44	1.06	345
"Nick Pivetta SP  BOS "	116.2	23	22	7	0	7	7	0	0	0	122	48	110	4.63	1.35	347
"Kyle Gibson SP  BAL"	139.0	25	24	13	0	7	8	0	0	0	119	47	136	4.53	1.32	349
"Andrew Kittredge RP  TB "	33.1	27	2	0	0	4	1	5	1	3	31	6	26	2.16	0.96	350
"Drew Smyly SP  CHC "	86.1	19	17	4	0	6	4	0	0	0	83	25	85	3.96	1.27	351
"James Karinchak RP  CLE"	40.1	42	0	0	0	3	2	5	3	10	64	23	24	3.12	1.17	352
"Andrew Heaney SP  TEX "	89.2	19	16	5	0	5	5	0	0	0	110	26	84	4.72	1.23	354
"Collin McHugh RP  ATL"	44.1	32	2	0	0	3	1	0	2	8	50	9	33	2.03	0.95	357
"Tyler Wells SP  BAL"	80.1	34	12	2	0	4	5	2	1	0	70	20	65	4.26	1.06	358
"Dylan Floro RP  MIA"	47.1	50	0	0	0	3	3	8	3	7	43	15	41	2.85	1.18	360
"Steven Wilson RP  SD"	53.0	50	1	0	0	4	2	1	2	5	53	20	36	3.06	1.06	364
"Joe Barlow RP  TEX"	32.0	33	0	0	0	2	2	12	2	2	28	12	20	2.81	1.00	365
"Carlos Carrasco SP  NYM "	91.1	18	18	7	0	6	5	0	0	0	95	29	92	4.14	1.32	366
"Alex Reyes RP  LAD "	30.2	28	0	0	0	4	3	10	2	2	41	22	20	3.23	1.37	367
"Tyler Rogers RP  SF"	61.2	59	0	0	0	4	3	5	3	18	44	14	59	3.06	1.18	368
"Jon Gray SP  TEX "	105.0	20	20	7	0	6	8	0	0	0	104	36	97	4.63	1.27	369
"David Bednar RP  PIT"	39.2	37	0	0	0	2	2	7	2	6	50	12	31	2.72	1.08	374
"Brent Suter RP  COL"	57.1	44	2	0	0	6	3	0	2	4	53	17	53	3.30	1.22	375
"Kyle Finnegan RP  WAS"	52.1	53	0	0	0	4	4	7	3	10	55	23	46	3.44	1.32	378
"Matt Barnes RP  MIA"	39.0	43	0	0	0	2	4	14	4	3	50	18	32	4.15	1.28	381
"Trevor Stephan RP  CLE"	63.1	54	0	0	0	4	3	2	1	11	78	24	58	3.55	1.29	382
"Jonathan Loaisiga RP  NYY"	47.1	40	1	0	0	5	2	2	2	10	43	14	40	3.04	1.14	385
"Tanner Houck RP  BOS "	48.2	18	7	1	0	3	3	3	0	1	55	17	37	2.96	1.11	388
"Johnny Cueto SP  MIA"	112.0	20	19	8	0	6	7	0	0	0	85	30	116	4.02	1.30	394
"Rafael Montero RP  HOU"	45.0	44	0	0	0	3	2	10	3	9	45	15	39	4.00	1.20	395
"Jake McGee RP  WAS"	39.0	43	0	0	0	2	2	11	3	6	39	8	33	3.92	1.05	397
"Lou Trivino RP  NYY "	50.1	52	0	0	0	3	5	11	3	4	53	23	46	3.75	1.37	398
"Adam Cimber RP  TOR"	51.1	54	0	0	0	4	4	2	1	10	38	10	47	2.63	1.11	399
"Chris Stratton RP  STL"	57.2	52	0	0	0	6	2	3	4	7	62	24	56	3.90	1.39	400
"Cole Irvin SP  BAL"	121.0	22	21	10	0	6	10	0	0	0	86	26	127	4.24	1.26	402
"Anthony Bass RP  TOR"	52.1	56	0	0	0	3	5	2	3	15	51	18	41	2.75	1.13	403
"Andre Pallante RP  STL "	108.0	47	10	3	0	6	5	0	1	9	73	40	113	3.17	1.42	404
"Steven Okert RP  MIA "	43.2	47	0	0	0	4	3	0	2	10	52	20	28	2.88	1.10	405
"Patrick Sandoval SP  LAA"	90.2	18	16	5	0	3	7	0	0	0	93	36	82	3.47	1.30	406
"Kendall Graveman RP  CHW"	46.2	43	1	0	0	3	3	5	4	14	47	18	38	2.89	1.20	407
"Kenta Maeda SP  MIN"	57.2	11	11	4	0	4	2	0	0	0	64	14	49	3.90	1.09	408
"Caleb Thielbar RP  MIN"	47.2	48	0	0	0	4	1	0	0	10	60	16	40	3.21	1.17	409
"Blake Treinen RP  LAD "	34.1	35	0	0	0	3	3	3	2	14	38	11	23	2.36	0.99	410
"John Means SP  BAL "	66.0	13	13	5	0	3	4	0	0	0	61	12	56	3.82	1.03	417
"Jarlin Garcia RP  PIT "	50.2	45	0	0	0	3	3	1	1	7	46	14	40	2.84	1.07	420
"Zach Eflin SP  TB"	80.0	16	14	6	0	4	5	0	0	1	78	15	82	4.05	1.21	422
"Michael Wacha SP  SD "	95.1	20	18	4	0	5	4	0	0	0	87	23	96	4.44	1.25	423
"Richard Rodriguez RP  ATL"	29.1	29	0	0	0	3	2	6	1	3	25	5	22	2.76	0.92	424
"Andrew Chafin RP  ARI "	45.1	50	0	0	0	2	3	3	2	15	48	14	35	2.58	1.08	425
"JT Chargois RP  MIA"	38.0	38	2	0	0	4	0	0	2	9	35	12	27	2.37	1.03	428
"Mark Leiter RP  CHC"	67.2	35	4	0	0	2	7	3	3	4	73	25	52	3.99	1.14	430
"Corey Kluber SP  BOS "	81.2	16	16	6	0	5	4	0	0	0	74	18	84	4.19	1.25	431
"Brad Boxberger RP  CHC "	49.0	55	0	0	0	3	2	2	4	19	56	20	38	3.12	1.18	433
