Free Agent Second Basemen  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Munenori Kawasaki 2B | CHC,67,9,18,13,4,0,1,5,7,16,2,0,0.269,0.347,0.373,961
W ,Jose Pirela 2B | SD ,128,12,27,19,6,0,2,8,6,32,1,1,0.211,0.246,0.305,983
W ,Gregorio Petit 2B | LAA ,164,15,35,25,8,1,1,12,11,52,0,0,0.213,0.267,0.293,985
W ,Marco Hernandez 2B | BOS,44,7,12,9,2,0,1,4,3,9,1,0,0.273,0.319,0.386,988
W ,Phil Gosselin 2B | ARI,59,7,16,12,3,0,1,4,4,12,1,0,0.271,0.318,0.373,989
W ,Cristhian Adames SS | COL,109,11,23,17,3,2,1,8,10,25,1,0,0.211,0.289,0.303,992
W ,Yadiel Rivera 3B | MIL,99,13,20,14,5,0,1,6,5,29,1,0,0.202,0.240,0.283,993
W ,Michael Martinez CF | CLE ,68,11,16,12,3,0,1,3,3,18,0,0,0.235,0.268,0.324,998
W ,Chris Taylor 3B | LAD,85,10,16,11,3,1,1,6,6,24,2,0,0.188,0.242,0.282,999
W ,Deven Marrero 2B | BOS ,58,7,12,9,2,0,1,4,4,17,2,0,0.207,0.258,0.293,1000
W ,Hanser Alberto 3B | TEX,106,10,21,17,3,1,0,10,2,29,1,0,0.198,0.213,0.245,1005
W ,Austin Barnes C | LAD,50,6,10,7,2,0,1,4,6,14,1,0,0.200,0.298,0.300,1011
W ,Tony Renda 2B | CIN ,68,6,14,10,3,0,1,5,5,17,1,0,0.206,0.260,0.294,1012
W ,Miguel Rojas 2B | MIA,81,9,18,14,4,0,0,6,5,12,0,0,0.222,0.267,0.272,1014
W ,Ehire Adrianza SS | SF ,68,5,14,10,3,0,1,6,6,15,1,0,0.206,0.289,0.294,1015
W ,Max Schrock 2B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Luis Mateo 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Mike Folli 2B | TB,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Pedro Florimon 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,L.J. Mazzilli 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jeremias Pineda 2B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Corey Jones 2B | DET,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Alden Carrithers 2B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Robert Hudson 2B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Issmael Salas 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Timothy Moss 2B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Adam Haley 2B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Hector Gomez 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Luke Dykstra 2B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Luis Nieves 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jamie Westbrook 2B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Gregory Picart 2B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Emmanuel Burriss 2B | PHI ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Carlos Garcia 2B | KC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Zeke DeVoss 2B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Ed Lucas 2B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Christopher Kunda 2B | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Johnny Giavotella 2B | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Tom King 2B | SD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Harold Castro 2B | DET,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Sergio Garcia 2B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Adam Rosales 3B | SD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Francisco Soriano 2B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Starlin Rodriguez 2B | STL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Isiah Kiner-Falefa 2B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Tyler Krieger 2B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,David Nick 2B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Tyler Rahmatulla 2B | STL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Rylan Sandoval 2B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
