All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Yohan Ramirez RP  SEA"	51	43	0	0	0	4	3	1	0	5	63	29	30	3.53	1.16	633
"Trevor Richards RP  TOR"	50	25	12	3	0	5	3	0	0	0	55	17	38	3.78	1.10	635
"Ryan Yarbrough SP  TB"	67	25	15	5	0	5	4	0	0	1	47	10	58	4.03	1.01	637
"Jonathan Loaisiga RP  NYY"	31	27	0	0	0	3	1	8	2	10	30	9	25	2.61	1.10	638
"Tyler Duffey RP  MIN"	64	71	0	0	0	3	2	1	0	29	69	28	50	3.09	1.22	640
"J.P. Feyereisen RP  TB"	65	68	0	0	0	3	4	1	0	19	57	34	43	2.77	1.18	641
"Randy Dobnak RP  MIN"	145	26	26	4	0	10	13	0	0	0	80	48	146	4.59	1.34	643
"Lucas Luetge RP  NYY"	55	48	0	0	0	3	2	1	0	5	61	12	52	2.95	1.16	644
"Reynaldo Lopez RP  CHW"	54	25	13	1	0	4	6	0	0	0	46	14	38	3.67	0.96	646
"Drew Smith RP  NYM "	47	41	0	0	0	3	1	1	0	5	45	17	31	2.68	1.02	647
"Nabil Crismatt RP  SD"	83	50	0	0	0	5	1	1	0	8	71	23	86	3.69	1.31	649
"Phil Bickford RP  LAD"	45	58	0	0	0	3	1	1	0	10	51	15	33	2.80	1.07	652
"Steven Okert RP  MIA"	44	48	0	0	0	3	1	1	0	4	50	19	27	2.86	1.05	655
"Jesus Luzardo SP  MIA"	130	26	26	5	0	6	12	0	0	0	118	48	128	4.57	1.35	656
"Connor Brogdon RP  PHI"	53	57	0	0	0	5	2	1	0	12	53	19	45	3.74	1.21	658
"Kendall Graveman RP  CHW"	29	28	0	0	0	2	1	7	1	9	29	10	18	2.17	0.97	659
"Seth Lugo RP  NYM"	56	28	15	4	0	5	5	0	0	2	66	20	51	3.86	1.27	660
"Hunter Strickland RP  MIL"	58	63	0	0	0	2	2	1	0	6	54	20	46	2.48	1.14	661
"Genesis Cabrera RP  STL "	56	28	16	5	0	5	5	0	0	2	66	32	41	3.70	1.30	663
"Greg Holland RP  TEX "	65	71	0	0	0	4	3	7	1	11	67	29	58	4.43	1.34	664
"Adam Ottavino RP  NYM "	50	67	0	0	0	5	1	8	2	25	60	27	47	4.68	1.48	669
"Jeffrey Springs RP  TB "	56	56	0	0	0	4	1	1	0	13	78	18	52	4.34	1.25	671
"Andrew Vasquez RP  TOR "	46	46	0	0	0	3	1	1	0	8	54	13	36	3.33	1.07	672
