All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Tucker Davidson SP  ATL"	125	26	26	9	0	7	4	0	0	0	110	48	107	3.38	1.24	442
"Dallas Keuchel SP  CHW"	159	29	29	10	0	11	7	0	0	0	107	53	159	3.85	1.33	456
"Antonio Senzatela SP  COL"	174	29	29	17	0	6	9	0	0	0	115	38	174	3.57	1.22	463
"Zach Thompson SP  PIT"	129	26	26	7	0	7	9	0	0	0	105	50	108	3.56	1.22	465
"Chris Ellis SP  BAL "	178	32	32	7	0	5	9	0	0	2	177	79	161	3.84	1.35	474
"Adrian Houser SP  MIL"	126	24	24	6	1	7	8	0	0	0	94	45	110	3.43	1.23	476
"Miles Mikolas SP  STL"	147	29	29	7	0	8	9	0	0	0	111	52	136	3.80	1.28	478
"Taylor Hearn RP  TEX"	146	30	30	10	0	10	10	0	0	0	112	42	143	4.38	1.27	479
"Collin McHugh RP  ATL "	55	25	13	2	0	4	3	0	0	1	56	10	38	1.80	0.87	492
"Tyler Gilbert SP  ARI "	141	26	26	9	2	7	7	0	0	0	108	44	129	3.96	1.23	497
"Cristian Javier RP  HOU"	65	28	15	5	0	6	3	0	0	1	78	30	40	3.32	1.08	498
"Zac Lowther SP  BAL"	156	32	32	10	0	9	11	0	0	0	124	52	153	4.27	1.31	501
"A.J. Alexy SP  TEX"	149	29	29	10	0	9	10	0	0	0	118	57	135	4.35	1.29	502
"Bailey Ober SP  MIN"	136	29	29	3	0	4	5	0	0	0	126	28	133	3.90	1.18	503
"Brad Keller SP  KC "	167	30	30	12	0	10	13	0	0	0	133	64	173	4.04	1.42	504
"Madison Bumgarner SP  ARI "	172	30	30	11	1	9	10	0	0	0	129	48	167	4.71	1.25	517
"Patrick Corbin SP  WAS "	179	30	30	14	0	10	13	0	0	0	140	53	192	4.47	1.37	528
"Justin Dunn SP  CIN "	113	24	24	3	0	4	7	0	0	0	113	57	84	3.50	1.25	537
"Reiver Sanmartin SP  CIN"	134	26	26	10	0	7	8	0	0	0	126	51	134	3.90	1.38	540
"Justin Steele RP  CHC "	134	26	26	6	0	7	8	0	0	0	110	51	126	3.90	1.32	544
"Joe Ross SP  WAS "	97	17	17	8	0	7	6	0	0	0	92	32	90	4.08	1.26	549
"Carlos Hernandez RP  KC"	147	29	29	12	0	8	10	0	0	0	114	62	136	4.10	1.35	550
"Elieser Hernandez SP  MIA"	125	26	26	0	0	3	5	0	0	0	123	39	114	3.82	1.22	554
"Reid Detmers SP  LAA"	129	26	26	8	0	7	9	0	0	0	118	48	125	4.33	1.34	573
"Bruce Zimmermann SP  BAL"	144	29	29	6	0	8	9	0	0	0	112	45	152	4.19	1.37	574
"Dane Dunning SP  TEX "	136	29	29	4	0	7	8	0	0	0	113	46	137	4.17	1.35	578
"Dylan Bundy SP  MIN "	128	26	26	11	1	6	10	0	0	0	103	36	120	4.43	1.22	583
"Alec Mills SP  CHC "	158	29	29	8	1	9	9	0	0	0	111	49	161	4.56	1.33	592
"Jose Suarez SP  LAA"	133	26	26	2	2	11	11	0	0	0	117	47	139	5.14	1.40	593
"Matt Manning SP  DET "	159	32	32	8	0	8	11	0	0	0	118	58	152	4.58	1.32	598
"Brady Singer SP  KC "	150	30	30	12	1	8	9	0	0	0	138	57	159	4.44	1.44	601
"Kyle Freeland SP  COL"	160	30	30	17	0	8	10	0	0	0	124	50	176	4.22	1.41	603
"Erick Fedde SP  WAS"	134	26	26	6	0	6	9	0	0	0	113	45	133	4.23	1.33	608
