All Third Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Yu Chang 1B  CLE"	196	28	48	29	10	1	8	30	15	53	1	0	.245	.307	.429	636
"Colton Welker 3B  COL"	191	29	49	32	10	1	6	26	18	44	2	0	.257	.326	.414	650
"Jace Peterson 2B  MIL"	190	26	46	30	9	1	6	26	25	51	5	1	.242	.333	.395	651
"Isaac Paredes 2B  DET"	267	31	64	43	12	2	7	26	21	61	3	1	.240	.297	.378	653
"Sheldon Neuse 2B  OAK "	202	27	50	30	11	1	8	22	16	47	3	1	.247	.311	.431	657
"Max Schrock LF  CIN "	194	27	52	35	10	1	6	22	18	41	2	1	.268	.336	.423	670
"Jose Rojas RF  LAA"	195	27	49	28	13	1	7	21	19	47	3	1	.251	.326	.436	675
"Charlie Culberson 3B  TEX "	199	24	50	32	11	1	6	22	16	49	5	1	.251	.312	.407	676
"Jake Gatewood 3B  LAA"	159	22	42	25	8	1	8	24	17	40	1	0	.264	.341	.478	679
"Harold Castro SS  DET"	201	24	57	42	10	1	4	24	11	45	1	1	.284	.320	.403	695
"Daniel Robertson 3B  MIN "	162	22	40	24	8	1	7	21	17	42	1	0	.247	.328	.438	738
"Owen Miller 2B  CLE "	167	23	41	27	8	1	5	20	10	41	3	1	.245	.294	.395	746
"Isan Diaz 3B  MIA"	188	25	45	30	9	1	5	19	24	47	2	1	.239	.327	.378	768
"Ildemaro Vargas 3B  CHC "	133	18	34	22	8	1	3	15	12	28	2	1	.256	.315	.399	839
"David Bote 2B  CHC "	174	20	37	24	7	1	5	21	17	39	1	0	.213	.292	.351	844
"Josh Jung 3B  TEX "	53	7	13	8	3	0	2	7	5	13	1	0	.245	.322	.415	990
"Kaleb Cowart 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jordan Smith 3B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Williams CF  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Daniel Arribas 3B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Breyvic Valera 3B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chase Simpson 3B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Almanzar 3B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jacob Wilson 3B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Braxton Martinez 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Willians Astudillo 3B  MIA "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anderson Feliz 3B  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Victor Acosta 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jacob Gonzalez 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Marty Herum 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Dominic Ficociello 3B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Joe Panik 3B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Zack Gelof 3B  OAK "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eric Sogard 2B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Curtis Mead 3B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Henry Pujols 3B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Malcom Nunez 3B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brian Hernandez 3B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Blake Tiberi 3B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jared Walker 3B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Angelo Castellano 3B  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brett Langhorne 3B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Charles Leblanc 3B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jairo Perez 3B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wes Kath 3B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Zach Remillard 3B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Metzler 3B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Agustin Murillo 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kaleo Johnson 3B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"John Valente 3B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eric Marinez 3B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anderson Tejeda 3B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Carpenter 2B  TEX "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"T.J. Rivera 3B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tristin English 3B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cristian Santana 3B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andre Lipcius 3B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jake Lamb LF  LAD "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Pablo Reyes 3B  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Reynolds 3B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Danny Diekroeger 3B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ronny Brito 3B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Osik 3B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"David Villar 3B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
