All Players   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Shane Baz SP  TB "	52	25	13	5	0	6	3	0	0	1	51	18	48	4.33	1.27	281
"Erick Fedde SP  CHW"	139	29	29	6	0	7	13	0	0	0	109	59	148	4.66	1.49	282
"James Paxton SP  LAD "	136	26	26	12	0	16	4	0	0	0	140	42	103	3.11	1.07	283
"Zack Littell RP  TB "	148	29	29	10	0	9	7	0	0	0	131	23	134	3.41	1.06	321
"DL Hall RP  MIL "	163	31	31	12	0	9	10	0	0	0	224	56	157	3.98	1.31	328
"J.P. France SP  HOU "	148	26	26	16	0	13	5	0	0	0	116	47	131	3.41	1.20	332
"Sean Manaea RP  NYM "	136	26	26	13	0	11	6	0	0	0	142	42	122	3.44	1.21	335
"Marcus Stroman SP  NYY"	161	29	29	18	1	13	8	0	0	0	137	49	149	3.75	1.23	342
"Keaton Winn SP  SF "	170	32	32	13	0	12	10	0	0	0	154	40	167	3.92	1.22	343
"Patrick Sandoval SP  LAA"	159	29	29	10	0	11	9	0	0	0	146	64	141	3.17	1.29	345
"Cody Bradford RP  TEX "	160	32	32	8	0	14	8	0	0	0	143	51	157	3.83	1.30	352
"John Means SP  BAL "	144	26	26	11	0	9	7	0	0	0	120	36	127	3.12	1.13	355
"Chris Paddack RP  MIN "	147	29	29	9	0	10	8	0	0	0	158	35	147	3.80	1.24	367
"Taijuan Walker SP  PHI"	164	29	29	12	0	13	6	0	0	0	135	48	158	3.95	1.26	369
"Taj Bradley SP  TB "	131	26	26	1	0	8	8	0	0	0	156	39	116	3.64	1.18	370
"Randy Vasquez SP  SD"	142	28	28	8	0	9	7	0	0	0	134	46	125	3.49	1.20	380
"JP Sears SP  OAK"	168	30	30	9	0	7	11	0	0	0	145	46	153	3.48	1.18	388
"Dean Kremer SP  BAL"	161	29	29	13	0	10	8	0	0	0	137	49	153	3.69	1.25	397
"Jose Quintana SP  NYM"	156	28	28	13	0	7	7	0	0	0	131	42	148	3.12	1.22	401
"Kutter Crawford SP  BOS "	142	29	29	7	0	8	8	0	0	0	143	39	126	3.93	1.16	406
