All Second Basemen 2023  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Michael Chavis 2B  SEA"	91	16	22	17	3	0	2	5	5	33	1	0	.242	.281	.341	843
"Oswald Peraza 3B  NYY"	173	15	33	23	8	0	2	14	13	50	4	3	.191	.267	.272	856
"David Fletcher SS  ATL"	89	7	22	19	1	0	2	12	7	9	0	0	.247	.302	.326	892
"David Villar 2B  SF"	124	15	18	7	6	0	5	12	11	45	1	1	.145	.236	.315	900
"Nick Gonzales 2B  PIT"	115	12	24	13	8	1	2	13	6	36	0	1	.209	.268	.348	907
"Luis Guillorme 2B  ATL"	107	12	24	16	6	1	1	9	10	28	0	0	.224	.288	.327	951
"Vidal Brujan 2B  MIA"	76	14	13	11	2	0	0	6	5	21	3	2	.171	.241	.197	958
"Mark Mathias 2B  CIN"	62	6	14	12	2	0	0	6	10	15	3	0	.226	.333	.258	983
"Josh Harrison 3B  CIN "	103	8	21	16	3	0	2	10	3	20	0	0	.204	.263	.291	1012
"Nick Gordon CF  MIA "	91	13	16	8	5	1	2	7	1	11	0	0	.176	.185	.319	1018
"Michael Stefanic 2B  LAA"	62	5	18	15	2	1	0	6	8	8	0	1	.290	.380	.355	1028
"Brett Wisely 2B  SF "	120	10	21	14	5	0	2	8	9	40	2	1	.175	.231	.267	1040
"Jonathan Schoop 2B  DET"	136	15	29	21	8	0	0	7	13	37	0	0	.213	.278	.272	1044
"Jonathan Arauz 3B  LAD"	59	3	8	5	0	0	3	9	5	18	0	0	.136	.203	.288	1116
"Joseph Ortiz 2B  MIL "	33	4	7	6	1	0	0	4	0	9	0	0	.212	.206	.242	1158
"Danny Mendick 2B  CHW "	65	4	12	8	3	0	1	4	4	15	1	0	.185	.232	.277	1163
"Yonny Hernandez 2B  MIL"	22	5	3	2	1	0	0	4	2	8	0	0	.136	.231	.182	1167
"Coco Montes 2B  COL"	38	3	7	4	2	0	1	3	2	12	0	0	.184	.244	.316	1192
"Jose Fermin 2B  STL"	51	2	12	11	1	0	0	4	6	8	0	1	.235	.339	.255	1201
"Grae Kessinger SS  HOU "	40	3	8	5	2	0	1	1	5	12	0	1	.200	.289	.325	1215
"Alejo Lopez 2B  ATL"	2	1	1	0	1	0	0	1	0	1	0	0	.500	.500	1.000	1216
"David Hensley 2B  HOU"	84	12	10	8	1	0	1	3	10	35	1	0	.119	.213	.167	1226
