All Third Basemen 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Mike Brosseau 3B | KC,73,4,15,9,2,0,4,8,4,20,0,0,.205,.256,.397,978
W ,Brayan Rocchio SS | CLE,81,9,20,14,6,0,0,8,4,27,0,0,.247,.279,.321,993
W ,Josh Harrison 3B | CIN ,103,8,21,16,3,0,2,10,3,20,0,0,.204,.263,.291,1012
W ,Michael Busch 3B | CHC,72,9,12,7,3,0,2,7,8,27,1,0,.167,.247,.292,1026
W ,Michael Stefanic 2B | LAA,62,5,18,15,2,1,0,6,8,8,0,1,.290,.380,.355,1028
Shits & Giggles,Junior Caminero 3B | TB ,34,4,8,6,1,0,1,7,2,8,0,0,.235,.278,.353,1039
W ,Jonathan Schoop 2B | DET,136,15,29,21,8,0,0,7,13,37,0,0,.213,.278,.272,1044
W ,Andre Lipcius 3B | DET,35,3,10,8,1,0,1,4,3,8,0,0,.286,.342,.400,1065
W ,Jonathan Arauz 3B | LAD,59,3,8,5,0,0,3,9,5,18,0,0,.136,.203,.288,1116
W ,Danny Mendick 2B | CHW ,65,4,12,8,3,0,1,4,4,15,1,0,.185,.232,.277,1163
W ,Jonah Bride 3B | MIA ,88,9,15,12,3,0,0,7,11,22,0,1,.171,.286,.204,1198
W ,Jose Fermin 2B | STL,51,2,12,11,1,0,0,4,6,8,0,1,.235,.339,.255,1201
W ,Grae Kessinger SS | HOU ,40,3,8,5,2,0,1,1,5,12,0,1,.200,.289,.325,1215
W ,Drew Maggi 3B | PIT,6,1,2,1,1,0,0,1,0,1,0,0,.333,.333,.500,1218
W ,Vinny Capra 3B | MIL,18,3,3,2,1,0,0,1,2,5,0,0,.167,.250,.222,1240
W ,Charlie Culberson 3B | ATL,1,0,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1251
W ,Matt Reynolds 3B | CIN,5,1,1,1,0,0,0,0,0,3,0,0,.200,.200,.200,1269
W ,Edwin Rios DH | CHC,28,3,2,0,1,0,1,2,5,16,0,0,.071,.235,.214,1289
W ,Buddy Kennedy 3B | STL,24,1,4,3,1,0,0,1,4,6,0,0,.167,.310,.208,1314
W ,Juniel Querecuto 3B | STL,20,2,2,1,1,0,0,0,1,6,0,0,.100,.143,.150,1344
W ,Taylor Motter 2B | STL,76,3,13,10,3,0,0,2,5,31,0,0,.171,.232,.210,1377
W ,Joe Perez 3B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Drew Robinson 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Christopher Paciolla 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Drew Mendoza 3B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Krieger 3B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anderson Franco 3B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alay Lago 3B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Zach Shepherd 3B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chase Strumpf 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Sclafani 3B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,BJ Murray 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tim Elko 3B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Connor Panas 3B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Seaver Whalen 3B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Pat Blair 3B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Yunior Severino 3B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Wander Franco 3B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gleider Figuereo 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Eric Bitonti 3B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Hardman 3B | NYY,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Paul Hoenecke 3B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Randy Cesar 3B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Deyvison De Los Santos 3B | CLE ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nick Basto 3B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jacob Berry 3B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Zach Houchins 3B | LAA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Vimael Machin 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Mendez 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cody Asche 3B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chase Meidroth 3B | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nick Quintana 3B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jordan Smith 3B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Matthew Alifano 3B | PHI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,John Aiello 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Osvaldo Tovalin 3B | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Todd Czinege 3B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Armando Alvarez 3B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nash Knight 3B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Damiano Palmegiani 3B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Andy Weber 3B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
