All First Basemen 2023  Season MLB Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Jordan Diaz 3B | OAK,272,20,60,41,9,0,10,27,17,69,0,1,.221,.273,.364,618
W ,Mark Vientos DH | NYM,218,19,46,31,5,1,9,22,10,71,1,0,.211,.253,.367,659
W ,Kole Calhoun 1B | CLE,157,18,34,21,7,0,6,25,13,37,0,1,.217,.282,.376,669
W ,Aledmys Diaz SS | OAK,315,25,72,47,20,1,4,24,17,66,1,0,.229,.280,.337,683
W ,Jake Cave LF | PHI,184,18,39,25,8,1,5,21,15,55,3,0,.212,.272,.348,685
W ,Carlos Perez C | OAK,168,17,38,28,4,0,6,20,13,40,0,0,.226,.293,.357,696
W ,Matt Carpenter DH | STL ,188,18,33,16,12,0,5,31,41,67,1,0,.175,.322,.319,732
W ,Matthew Batten 3B | SD,120,19,31,23,6,0,2,11,17,30,2,2,.258,.355,.358,737
W ,David Fry C | CLE,101,12,24,14,6,0,4,15,8,30,2,0,.238,.319,.416,743
W ,Matt Duffy 3B | TEX ,191,17,48,38,8,0,2,16,12,39,1,0,.251,.306,.325,756
W ,Kody Clemens 1B | PHI,139,15,32,21,7,0,4,13,8,40,0,0,.230,.277,.367,793
W ,Nick Loftin 1B | KC,62,10,20,14,5,1,0,10,4,12,2,0,.323,.368,.435,803
W ,Nolan Schanuel 1B | LAA ,109,19,30,26,3,0,1,6,20,19,0,0,.275,.402,.330,805
W ,Alfonso Rivas 1B | STL ,109,8,25,11,10,1,3,15,9,36,1,0,.229,.303,.422,827
W ,Jonathan Aranda 1B | TB,87,13,20,13,4,1,2,13,13,31,0,0,.230,.340,.368,831
W ,Michael Chavis 2B | SEA,91,16,22,17,3,0,2,5,5,33,1,0,.242,.281,.341,843
W ,Ji-Man Choi DH | SD ,104,12,17,6,5,0,6,13,10,35,0,0,.164,.239,.385,850
Disco Bush Horticulturists,Jesus Aguilar 1B | OAK,104,8,23,16,2,0,5,9,8,31,0,0,.221,.281,.385,871
W ,Eric Hosmer 1B | CHC ,94,7,22,17,3,0,2,14,6,25,0,0,.234,.280,.330,893
W ,Wil Myers RF | CIN,127,11,24,18,3,0,3,12,12,48,2,1,.189,.257,.283,897
W ,Jared Young 1B | STL,43,8,8,3,0,3,2,8,3,13,2,0,.186,.255,.465,898
W ,David Villar 2B | SF,124,15,18,7,6,0,5,12,11,45,1,1,.145,.236,.315,900
W ,Hunter Goodman RF | COL,70,6,14,6,4,3,1,17,5,24,1,0,.200,.247,.386,901
W ,Brandon Dixon 1B | SD,79,10,16,10,4,0,2,9,1,31,1,0,.203,.244,.329,923
W ,Michael Toglia 1B | COL,141,18,23,14,5,0,4,9,10,50,1,1,.163,.224,.284,926
W ,Tyler Nevin 3B | BAL ,95,11,19,13,3,1,2,10,12,25,0,1,.200,.306,.316,953
W ,Luken Baker DH | STL,86,9,18,13,3,0,2,10,13,31,0,0,.209,.313,.314,954
W ,Hunter Dozier 3B | LAA ,82,8,15,10,2,1,2,9,8,29,2,0,.183,.253,.305,957
W ,Jonathan Singleton 1B | HOU ,91,11,15,10,3,0,2,12,13,23,0,0,.165,.267,.264,992
W ,Jason Vosler 1B | CIN,62,6,10,4,2,1,3,10,3,25,0,0,.161,.200,.371,999
W ,Spencer Horwitz DH | TOR ,39,5,10,7,2,0,1,7,4,12,0,0,.256,.341,.385,1001
W ,Matt Mervis 1B | CHC ,90,8,15,10,2,0,3,11,8,32,0,0,.167,.242,.289,1014
W ,Jake Lamb 1B | PIT,51,7,11,8,1,0,2,5,3,15,0,0,.216,.259,.353,1016
W ,Brad Miller DH | TEX,56,8,12,7,4,0,1,6,10,11,0,0,.214,.328,.339,1033
W ,Trey Cabbage RF | HOU ,53,5,11,7,3,0,1,7,2,26,1,1,.207,.232,.321,1035
W ,Drew Ellis 1B | PHI,23,4,5,3,0,0,2,4,6,7,0,1,.217,.379,.478,1046
W ,Jared Walsh 1B | TEX ,104,10,13,5,4,0,4,11,11,45,0,0,.125,.215,.279,1080
W ,Luke Voit 1B | NYM ,68,5,15,12,3,0,0,4,4,27,2,0,.221,.284,.265,1099
W ,Matt Beaty 1B | KC,61,8,14,10,4,0,0,4,6,14,0,0,.230,.347,.295,1105
W ,Bobby Dalbec 1B | BOS ,49,6,10,7,2,0,1,1,4,28,1,0,.204,.264,.306,1125
W ,Tristan Gray 1B | MIA,5,1,2,1,0,0,1,1,0,0,0,0,.400,.400,1.000,1156
Orange-a-Tangs,Tyler Soderstrom C | OAK,125,9,20,16,1,0,3,7,11,43,0,0,.160,.232,.240,1177
W ,Jonah Bride 3B | MIA ,88,9,15,12,3,0,0,7,11,22,0,1,.171,.286,.204,1198
W ,Grae Kessinger SS | HOU ,40,3,8,5,2,0,1,1,5,12,0,1,.200,.289,.325,1215
W ,David Hensley 2B | HOU,84,12,10,8,1,0,1,3,10,35,1,0,.119,.213,.167,1226
W ,Josh Lester 1B | BAL ,22,0,4,4,0,0,0,4,1,7,0,0,.182,.217,.182,1254
W ,Bligh Madris 1B | DET,26,4,4,3,1,0,0,0,4,7,0,0,.154,.267,.192,1280
W ,Darick Hall 1B | PHI,54,2,9,7,1,0,1,3,2,18,0,0,.167,.196,.241,1292
W ,Kevin Padlo 1B | LAD ,8,1,1,0,1,0,0,0,0,0,0,0,.125,.125,.250,1296
W ,Japhet Amador 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Peyton Williams 1B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dennis Raben 1B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,PK Morris 1B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Abimelec Ortiz 1B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ernesto Wilson Martinez 1B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Balbino Fuenmayor 1B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Matt Oberste 1B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Rainer Nunez 1B | TOR,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jaquez Williams 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Christian Marrero 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jeremy Vasquez 1B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dillan Shrum 1B | KC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Lewin Diaz 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Casey Gillaspie 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Logan Davidson 1B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Durna 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Locklear 1B | SEA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jacob Bosiokovic 1B | STL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Marcus Davis 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Pedro Castellanos 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jeff Malm 1B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Damek Tomscha 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Scott Schreiber 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,KJ Harrison 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ewry Espinal 1B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dylan Burdeaux 1B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dexture McCall 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Niko Kavadas 1B | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Lucas Tancas 1B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,David MacKinnon 1B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joe Suozzi 1B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kyle Nevin 1B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Will Frizzell 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Xavier Isaac 1B | TB,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jake Holton 1B | DET,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brad Zunica 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Peter Zimmerman 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nick Longhi 1B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alexander Mojica 1B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Grant Lavigne 1B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,T.J. White 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Nicholas Vizcaino 1B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Anthony Miller 1B | OAK,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Rudy Flores 1B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Keon Barnum 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
Disco Bush Horticulturists,Rhys Hoskins 1B | MIL ,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Moore 1B | NYM,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Erick Meza 1B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Logan Wyatt 1B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jackson Coutts 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brady Whalen 1B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,TT Bowens 1B | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Tyler Alamo 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Leandro Emiliani 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Joey Terdoslavich 1B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Levi Hyams 1B | ATL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trae Santos 1B | SD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Leonardo Seminati 1B | CIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Luis Castro 1B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jose Ruiz 1B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Dalton Kelly 1B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Brock Stassi 1B | SF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Gerald Bautista 1B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jonathan Rodriguez 1B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Mason Martin 1B | PIT,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Kevin Cornelius 1B | CHC,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ryan Ripken 1B | BAL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Chad Christensen 1B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Art Charles 1B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Blaine Crim 1B | TEX,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cole Zabowski 1B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Shawn Pleffner 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Quinton Low 1B | MIL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Matt Rose 1B | CHW,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jake Adams 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Alex Binelas 1B | BOS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Justin Yurchak 1B | LAD,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Andy Wilkins 1B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Collin Ferguson 1B | COL,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Matt Hague 1B | WAS,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,John Silviano 1B | MIA,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Jesus Valdez 1B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Ramon Hernandez 1B | ARI,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Carmen Benedetti 1B | HOU,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Trey Vavra 1B | MIN,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
W ,Cesar Idrogo 1B | CLE,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,9999
