All Shortstops 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Wilson, Josh 3B ATL	-	Free Agent	85	13	19	12	5	0	2	5	4	22	1	0	0.2235	0.2584	0.3529	848
Martinez, Michael 3B PHI	-	Free Agent	209	25	41	31	5	2	3	24	18	35	3	0	0.1962	0.2576	0.2823	894
Field, Thomas SS COL	-	Free Agent	48	4	13	13	0	0	0	3	3	14	0	0	0.2708	0.3137	0.2708	909
Cabrera, Everth SS SD	-	Free Agent	8	1	1	1	0	0	0	0	1	3	2	0	0.1250	0.2222	0.1250	915
Sellers, Justin SS LAD	-	Free Agent	123	20	25	15	9	0	1	13	12	21	1	0	0.2033	0.2826	0.3008	921
Iglesias, Jose SS BOS	-	Free Agent	6	3	2	2	0	0	0	0	0	2	0	0	0.3333	0.3333	0.3333	928
LaRoche, Andy 3B CLE 	-	Free Agent	93	10	23	16	6	1	0	5	8	19	0	0	0.2473	0.3204	0.3333	930
Blanco, Andres SS WAS 	-	Free Agent	76	9	17	12	3	0	2	3	4	14	0	1	0.2237	0.2625	0.3421	936
Crawford, Brandon SS SF	-	Free Agent	196	22	40	30	5	2	3	21	23	31	1	3	0.2041	0.2877	0.2959	944
Gomez, Hector SS COL	-	Free Agent	6	1	2	2	0	0	0	0	1	2	0	0	0.3333	0.4286	0.3333	947
Escobar, Eduardo SS CHW	-	Free Agent	7	0	2	2	0	0	0	0	0	1	0	0	0.2857	0.2857	0.2857	980
Rodriguez, Luis SS SEA	-	Free Agent	117	10	23	11	10	0	2	14	16	21	1	2	0.1966	0.2993	0.3333	1108
Rohlinger, Ryan SS COL	-	Free Agent	1	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1110
Ransom, Cody SS ARI 	-	Free Agent	33	3	5	2	2	0	1	4	3	9	1	0	0.1515	0.2432	0.3030	1115
Nishioka, Tsuyoshi SS MIN	-	Free Agent	221	14	50	45	5	0	0	19	15	43	2	4	0.2262	0.2785	0.2489	1116
Gonzalez, Alberto 2B TEX 	-	Free Agent	247	18	53	40	10	2	1	32	13	37	1	2	0.2146	0.2556	0.2834	1121
Florimon, Pedro SS MIN 	-	Free Agent	8	1	1	0	1	0	0	2	1	6	0	0	0.1250	0.2222	0.2500	1126
Sogard, Eric SS OAK	-	Free Agent	70	7	14	9	3	0	2	4	4	13	0	0	0.2000	0.2432	0.3286	1141
Romine, Andrew SS LAA	-	Free Agent	16	2	2	2	0	0	0	0	1	6	1	0	0.1250	0.1765	0.1250	1146
Izturis, Cesar SS MIL 	-	Free Agent	30	4	6	6	0	0	0	1	2	10	0	0	0.2000	0.2500	0.2000	1165
Cora, Alex 3B WAS	-	Free Agent	156	12	35	28	6	1	0	6	12	23	2	0	0.2244	0.2865	0.2756	1173
Murphy, Donnie SS MIA	-	Free Agent	92	10	17	10	4	1	2	9	4	21	0	0	0.1848	0.2400	0.3152	1198
Rodriguez, Josh SS PIT	-	Free Agent	12	1	1	1	0	0	0	1	1	8	0	0	0.0833	0.2143	0.0833	1200
Martinez, Ozzie SS CHW	-	Free Agent	23	0	3	3	0	0	0	1	0	9	0	0	0.1304	0.1304	0.1304	1252
Janish, Paul SS CIN	-	Free Agent	336	27	72	57	14	1	0	23	18	46	3	2	0.2143	0.2590	0.2619	1291
Tolbert, Matt 2B MIN	-	Free Agent	207	22	41	29	10	2	0	11	11	31	3	2	0.1981	0.2523	0.2657	1295
Lugo, Julio 3B ATL	-	Free Agent	44	3	6	6	0	0	0	3	4	11	0	0	0.1364	0.2083	0.1364	1300
Counsell, Craig 2B MIL	-	Free Agent	157	19	28	24	2	1	1	9	20	21	2	1	0.1783	0.2802	0.2229	1310
Rosales, Adam SS OAK 	-	Free Agent	61	5	6	4	0	0	2	8	4	13	0	0	0.0984	0.1618	0.1967	1328
Brignac, Reid SS TB 	-	Free Agent	249	18	48	43	4	0	1	15	10	63	3	1	0.1928	0.2269	0.2209	1355
Galvis, Freddy SS PHI 	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1406
Martinez, Ramon E. SS NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1408
Benjamin, Casey SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1416
Fernando, Osvaldo SS HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1427
Gonzalez, Andy SS MIA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1435
Marseco, Michael SS MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1449
Kiger, Mark SS SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1468
Younger, Adam SS LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1473
Franklin, Nick SS SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1479
Ringe, Craig SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1497
Santana, Ramoncito SS MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1502
Finegan, Brian SS CLE	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1512
Vazquez, Ramon SS STL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1521
Colvin, Brooks SS DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1544
Noriega, Gabriel SS SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1549
Dlugach, Brent SS BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1564
Brito, Jesus SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
Schaeffer, Warren SS COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1570
McConnell, Christopher SS KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1583
Bocock, Brian SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1593
Hager, Jake SS TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1596
Eigsti, Jacob SS NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1598
Lindsey, Taylor SS LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1601
Myers, Michael SS CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1618
Hechavarria, Adeiny SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1619
George, Carlos SS MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1623
Flores, Wilmer SS NYM	-	Whiteness	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1629
Ahrens, Kevin SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1637
Lopez, Pedro SS WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1642
Mier, Jiovanni SS HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1650
Lambin, Chase SS MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1656
Negron, Kris SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1657
Friday, Brian SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1660
Deschaine, James SS PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1688
Paiml, Gregory SS CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1689
Beckham, Tim SS TB	-	Disco Bush Horticulturists	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1708
Ramos, Kevin SS LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1712
Gonzalez, Daniel SS PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1717
Berroa, Angel SS SF	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1737
Bautista, Rayner R. SS DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1771
Lucas, Edward SS KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1774
Rozema, Michael SS ATL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1780
Gomez, Francis SS OAK	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1801
Gonzalez, Benjamin SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1805
Osuna, Renny SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1807
Cabral, Marcos SS HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1808
Alvarez, Gerardo SS BAL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1816
Rivera, Yadiel SS MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1819
Monzon, Erick SS SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1827
Cates, Chris SS MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1838
Joseph, Onil SS KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1847
Rivera, Juan A. SS LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1872
Machado, Dixon SS DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1881
Goins, Ryan SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1889
Timmons, Wes SS OAK	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1904
Walters, Zachary SS ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1906
Simmons, Andrelton SS ATL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1909
Rojas, Ricardo SS CLE	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1920
Mount, Ryan SS LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1949
Mendez, Victor SS NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1981
Mercer, Jordy SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1983
Tejeda, Ferdin SS NYY	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1989
Armstrong, Jason SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1992
Merchan, Jesus SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1993
Luna, Omar SS TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1996
Michael, Levi SS MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2008
Pirela, Jose SS NYY	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2039
Simokaitis, Joseph SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2061
Ortiz, Wilberto SS LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2065
Triunfel, Carlos SS SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2092
Matulia, Matt SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2125
Freeman, Michael SS ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2132
Vargas, Hancer SS CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2134
Manzella, Tommy SS ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2136
Mayorson, Manny SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2139
Navarro, Rey SS KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2169
Klosterman, Ryan SS MIA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2182
Healey, Jacke SS HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2197
Hamilton, Billy SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2210
Bouchard, Matthew SS NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2212
Dragicevich, Jeff SS COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2216
Barnwell, Chris SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2241
Valido, Robert SS BAL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2247
Castro, Ofilio SS WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2250
Campusano, Jose SS MIA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2251
Macia, Wanell SS PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2261
Burke, Chris SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2269
Jackson, Justin SS TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2290
Singleton, Steve SS MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2295
Ochoa, Ivan SS BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2297
Anderson, Bryan SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2299
Rosa, Jovan SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2345
Dent, Ryan SS BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2347
Samson, Nathan SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2348
Dement, Dan SS WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2352
Rodriguez, Guilder SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2378
Cline, Matthew SS MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2392
Darvill, Wes SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2432
Lizarraga, Francisco SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2436
Ragsdale, Corey SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2438
Lipka, Matthew SS ATL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2444
Lake, Junior SS CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2445
Patino, Lopez SS DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2469
Navarro, Oswaldo SS HOU	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2480
Khoury, Ryan SS BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2489
McClure, Alex SS KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2501
Colmenares, Carlos SS LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2506
Rosario, Jovanny SS LAD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2520
Santana, Julio C. SS TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2523
Horton, Josh SS OAK	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2524
Luis, Diogenes SS TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2535
Azcona, Javier SS DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2540
Duran, Edgar SS PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2542
Eymann, Eric SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2552
Lohman, Devin SS CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2566
Culberson, Charlie SS SF	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2567
Saladino, Tyler SS CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2568
Henson, Tyler SS BAL 	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	2570
