All Outfielders 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Gibbons, Jay LF LAD	-	Free Agent	55	5	14	11	2	0	1	5	5	14	0	0	0.2545	0.3226	0.3455	875
Sappelt, Dave CF CHC 	-	Free Agent	107	14	26	18	8	0	0	5	7	17	1	1	0.2430	0.2895	0.3178	877
Baxter, Mike RF NYM 	-	Free Agent	34	6	8	4	2	1	1	4	5	9	0	0	0.2353	0.3500	0.4412	885
Martinez, Michael 3B PHI	-	Free Agent	209	25	41	31	5	2	3	24	18	35	3	0	0.1962	0.2576	0.2823	894
Montanez, Luis LF PHI 	-	Free Agent	54	6	12	7	4	0	1	9	2	9	0	1	0.2222	0.2632	0.3519	896
Drew, J.D. RF BOS	-	Free Agent	248	23	55	44	6	1	4	22	33	58	0	1	0.2218	0.3147	0.3024	898
Miller, Jai CF BAL 	-	Free Agent	12	2	3	2	0	0	1	2	0	5	0	0	0.2500	0.2500	0.5000	902
Gathright, Joey CF BOS	-	Free Agent	0	1	0	0	0	0	0	0	1	0	1	1	0.0000	1.0000	0.0000	911
Bixler, Brian LF HOU	-	Free Agent	83	9	17	14	1	2	0	2	7	19	4	3	0.2048	0.2667	0.2651	914
Martin, Leonys OF TEX	-	Free Agent	8	2	3	2	1	0	0	0	0	1	0	0	0.3750	0.3750	0.5000	918
Cain, Lorenzo CF KC 	-	Free Agent	22	4	6	5	1	0	0	1	1	4	0	0	0.2727	0.3043	0.3182	923
Martinez, Fernando CF NYM	-	User Abuser	22	3	5	2	2	0	1	2	1	7	0	0	0.2273	0.2609	0.4545	926
Guyer, Brandon RF TB	-	Free Agent	41	7	8	5	1	0	2	3	1	9	0	0	0.1951	0.2143	0.3659	929
Benson, Joe LF MIN	-	Free Agent	71	3	17	10	6	1	0	2	3	21	2	2	0.2394	0.2703	0.3521	931
Garner, Cole RF COL 	-	Free Agent	9	1	2	2	0	0	0	3	1	6	0	0	0.2222	0.3000	0.2222	952
Ramirez, Wilkin LF MIN	-	Free Agent	26	5	6	4	2	0	0	2	4	11	0	2	0.2308	0.3333	0.3077	953
Langerhans, Ryan LF LAA 	-	Free Agent	52	6	9	6	0	0	3	6	11	22	0	1	0.1731	0.3175	0.3462	959
Schafer, Logan CF MIL 	-	Free Agent	3	1	1	1	0	0	0	0	1	1	0	0	0.3333	0.5000	0.3333	961
Golson, Greg CF KC 	-	Free Agent	11	1	2	2	0	0	0	0	1	2	1	0	0.1818	0.2500	0.1818	965
Hermida, Jeremy RF SD 	-	Free Agent	58	5	11	6	2	1	2	9	7	26	0	0	0.1897	0.2879	0.3621	966
Cunningham, Aaron RF CLE 	-	Free Agent	90	12	16	6	6	1	3	9	9	17	1	0	0.1778	0.2574	0.3667	968
Hunter, Cedric CF OAK	-	Free Agent	4	1	1	1	0	0	0	0	1	0	0	1	0.2500	0.4000	0.2500	975
Milledge, Lastings LF CHW 	-	Free Agent	4	1	1	0	1	0	0	0	0	1	0	0	0.2500	0.2500	0.5000	976
Robinson, Trayvon CF SEA	-	Free Agent	143	12	30	16	12	0	2	14	8	61	1	0	0.2098	0.2500	0.3357	982
Loewen, Adam RF TOR	-	Free Agent	32	4	6	4	1	0	1	4	3	13	0	0	0.1875	0.2973	0.3125	983
Pettit, Chris CF LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1010
Taylor, Michael LF OAK	-	Free Agent	30	4	6	5	0	0	1	1	5	11	0	0	0.2000	0.3143	0.3000	1104
Hudson, Kyle LF BAL	-	Free Agent	28	3	4	4	0	0	0	2	0	6	2	0	0.1429	0.1429	0.1429	1107
Pie, Felix LF CLE 	-	Free Agent	164	15	36	27	8	1	0	7	10	32	3	2	0.2195	0.2644	0.2805	1119
Durango, Luis LF ATL	-	Free Agent	6	0	1	1	0	0	0	1	1	1	0	0	0.1667	0.2857	0.1667	1124
Mather, Joe LF ATL	-	Free Agent	75	4	16	11	4	0	1	9	6	23	0	1	0.2133	0.2716	0.3067	1128
Moore, Jeremy RF LAA	-	Free Agent	8	3	1	1	0	0	0	0	0	2	0	0	0.1250	0.1250	0.1250	1130
Hammock, Robby LF ARI	-	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1132
Mastroianni, Darin CF TOR	-	Free Agent	2	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1133
Thames, Marcus LF LAD	-	Free Agent	66	4	13	9	1	1	2	7	4	16	0	0	0.1970	0.2429	0.3333	1134
Tekotte, Blake LF SD	-	Free Agent	34	1	6	4	1	1	0	1	4	21	2	1	0.1765	0.2632	0.2647	1135
Carroll, Brett RF WAS 	-	Free Agent	3	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1150
Brown, Corey RF WAS	-	Free Agent	3	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1151
Rottino, Vinny LF MIA	-	Free Agent	12	1	2	2	0	0	0	0	2	4	0	0	0.1667	0.2857	0.1667	1162
Brown, Andrew RF COL	-	Free Agent	22	1	4	3	1	0	0	3	0	8	0	0	0.1818	0.1818	0.2273	1164
Hoffmann, Jamie LF COL 	-	Free Agent	4	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1166
Snyder, Brad RF HOU	-	Free Agent	9	1	1	1	0	0	0	0	0	6	0	0	0.1111	0.1111	0.1111	1172
Parrino, Andy 3B SD	-	Free Agent	44	3	8	7	1	0	0	4	9	17	1	0	0.1818	0.3273	0.2045	1175
Teahen, Mark 3B TOR	-	Free Agent	160	14	32	24	4	0	4	14	16	45	0	1	0.2000	0.2727	0.3000	1179
Pearce, Steve 1B MIN 	-	Free Agent	94	8	19	16	2	0	1	10	7	21	0	0	0.2021	0.2596	0.2553	1186
Moss, Brandon RF PHI 	-	Free Agent	6	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1194
Head, Jerad RF CLE	-	Free Agent	24	2	3	2	1	0	0	1	0	5	1	0	0.1250	0.1600	0.1667	1196
Robinson, Shane CF STL	-	Free Agent	7	0	0	0	0	0	0	0	1	2	0	0	0.0000	0.1250	0.0000	1204
Reed, Jeremy LF MIL	-	Free Agent	7	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1205
Young, Matt LF ATL	-	Free Agent	48	4	10	9	1	0	0	1	4	6	0	1	0.2083	0.2692	0.2292	1210
Wilson, Mike LF SEA	-	Free Agent	27	0	4	3	1	0	0	3	1	7	0	0	0.1481	0.1786	0.1852	1239
Cousins, Scott CF MIA	-	Free Agent	52	5	7	5	1	0	1	4	6	21	1	1	0.1346	0.2241	0.2115	1250
Almonte, Erick RF MIL	-	Free Agent	29	1	3	2	0	0	1	3	0	4	0	0	0.1034	0.1034	0.2069	1251
Kearns, Austin RF CLE	-	Free Agent	150	18	30	22	5	1	2	7	18	48	0	4	0.2000	0.3023	0.2867	1259
