All Second Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Conrad, Brooks 2B ATL	-	Free Agent	103	11	23	14	5	0	4	13	15	41	2	0	0.2233	0.3250	0.3883	748
Patterson, Eric LF SD 	-	Free Agent	89	8	16	11	2	1	2	8	12	22	8	2	0.1798	0.2718	0.2921	750
Sutton, Drew 3B ATL	-	Free Agent	54	11	17	10	7	0	0	7	3	13	0	0	0.3148	0.3621	0.4444	754
Dinkelman, Brian 2B MIN	-	Free Agent	73	5	22	21	1	0	0	4	4	14	2	0	0.3014	0.3462	0.3151	756
Guillen, Carlos 2B DET 	-	Free Agent	95	8	22	16	2	1	3	13	5	16	1	1	0.2316	0.2647	0.3684	786
Adams, Ryan 2B BAL	-	Free Agent	89	9	25	21	4	0	0	7	6	25	0	0	0.2809	0.3333	0.3258	802
McDonald, John SS ARI	-	Free Agent	227	21	52	39	10	1	2	22	12	27	2	4	0.2291	0.2686	0.3084	803
Davis, Blake 2B BAL	-	Free Agent	59	6	15	10	3	1	1	6	6	13	1	1	0.2542	0.3231	0.3898	813
Vizquel, Omar 3B CHW	-	Free Agent	167	18	42	34	7	1	0	8	9	18	1	2	0.2515	0.2865	0.3054	829
Wilson, Josh 3B ATL	-	Free Agent	85	13	19	12	5	0	2	5	4	22	1	0	0.2235	0.2584	0.3529	848
Hall, Bill 2B SF 	-	Free Agent	185	24	39	26	9	2	2	14	11	63	3	2	0.2108	0.2613	0.3135	859
Worth, Danny 2B DET	-	Free Agent	37	6	10	8	2	0	0	3	2	9	0	0	0.2703	0.3077	0.3243	888
Martinez, Michael 3B PHI	-	Free Agent	209	25	41	31	5	2	3	24	18	35	3	0	0.1962	0.2576	0.2823	894
Velazquez, Gil 2B LAA	-	Free Agent	6	0	3	3	0	0	0	1	0	0	0	0	0.5000	0.4286	0.5000	903
Rhymes, Will 2B DET	-	Free Agent	85	13	20	17	3	0	0	2	11	12	1	0	0.2353	0.3229	0.2706	919
Sellers, Justin SS LAD	-	Free Agent	123	20	25	15	9	0	1	13	12	21	1	0	0.2033	0.2826	0.3008	921
Thurston, Joe 2B HOU	-	Free Agent	4	0	1	1	0	0	0	0	0	1	1	0	0.2500	0.2500	0.2500	927
LaRoche, Andy 3B CLE 	-	Free Agent	93	10	23	16	6	1	0	5	8	19	0	0	0.2473	0.3204	0.3333	930
Castro, Juan 2B LAD	-	Free Agent	14	2	4	4	0	0	0	1	1	4	0	0	0.2857	0.3333	0.2857	934
Blanco, Andres SS WAS 	-	Free Agent	76	9	17	12	3	0	2	3	4	14	0	1	0.2237	0.2625	0.3421	936
Orr, Pete 2B PHI	-	Free Agent	96	7	21	18	3	0	0	4	6	19	3	0	0.2188	0.2788	0.2500	942
