All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Harang, Aaron SP LAD 	-	Shits & Giggles	170.7	28	18	0	14	7	0	0	124	58	175	3.639	1.3652	199
Norris, Bud SP HOU 	-	Free Agent	186.0	31	16	0	6	11	0	0	176	70	177	3.774	1.3280	203
Scherzer, Max SP DET	-	Want-a-be Ghetto All Stars	195.0	33	16	0	15	9	0	0	174	56	207	4.431	1.3487	205
Morrow, Brandon SP TOR	-	Want-a-be Ghetto All Stars	179.3	30	17	0	11	11	0	0	203	69	162	4.718	1.2881	208
Chen, Bruce SP KC	-	Sofa Kings	155.0	25	14	1	12	8	0	0	97	50	152	3.774	1.3032	229
Colon, Bartolo SP NYY	-	Sofa Kings	164.3	26	13	1	8	10	0	0	135	40	172	3.998	1.2901	236
Niemann, Jeff SP TB	-	Blue Crew	135.3	23	12	1	11	7	0	0	105	37	131	4.057	1.2414	239
Jackson, Edwin SP STL 	-	Blue Crew	199.7	31	18	1	12	9	0	0	148	62	225	3.786	1.4374	242
Garcia, Freddy SP NYY	-	Free Agent	146.7	25	16	0	12	8	0	0	96	45	152	3.620	1.3432	243
Vargas, Jason SP SEA	-	Free Agent	201.0	32	18	4	10	13	0	0	131	59	205	4.254	1.3134	244
Kendrick, Kyle SP PHI	-	Disco Bush Horticulturists	114.7	15	6	0	8	6	0	0	59	30	110	3.218	1.2209	252
Myers, Brett SP HOU	-	Free Agent	216.0	33	19	2	7	14	0	0	160	57	226	4.458	1.3102	253
Maholm, Paul SP PIT 	-	Free Agent	162.3	26	13	1	6	14	0	0	97	50	160	3.659	1.2936	257
Capuano, Chris SP LAD 	-	Orange-a-Tangs	186.0	31	14	1	11	12	0	0	168	53	198	4.548	1.3495	258
Bedard, Erik SP PIT 	-	User Abuser	129.3	24	11	0	5	9	0	0	125	48	118	3.619	1.2835	261
Johnson, Josh SP MIA 	-	Blue Crew	60.3	9	7	0	3	1	0	0	56	20	39	1.641	0.9779	267
Hochevar, Luke SP KC	-	Free Agent	198.0	31	16	0	11	11	0	0	128	62	192	4.682	1.2828	268
Cahill, Trevor SP ARI 	-	Want-a-be Ghetto All Stars	207.7	34	21	0	12	14	0	0	147	82	214	4.160	1.4254	276
Guthrie, Jeremy SP BAL 	-	Free Agent	208.0	32	16	2	9	17	0	0	130	66	213	4.327	1.3413	282
Oswalt, Roy SP PHI 	-	Titty`s Warriors	139.0	23	14	0	9	10	0	0	93	33	153	3.691	1.3381	287
Danks, John SP CHW 	-	Free Agent	170.3	27	16	2	8	12	0	0	135	46	182	4.333	1.3386	297
McClellan, Kyle SP STL	-	Disco Bush Horticulturists	141.7	17	9	0	12	7	0	1	76	43	143	4.193	1.3129	300
Gee, Dillon SP NYM	-	Free Agent	160.7	27	12	1	13	6	0	0	114	71	150	4.425	1.3755	303
Billingsley, Chad SP LAD	-	Disco Bush Horticulturists	188.0	32	16	1	11	11	0	0	152	84	189	4.213	1.4521	306
Bailey, Homer SP CIN	-	Shits & Giggles	132.0	22	13	0	9	7	0	0	106	33	136	4.432	1.2803	309
Jimenez, Ubaldo SP CLE 	-	Disco Bush Horticulturists	188.3	32	16	2	10	13	0	0	180	78	186	4.683	1.4018	310
Lannan, John SP WAS 	-	Free Agent	184.7	33	16	0	10	13	0	0	106	76	194	3.704	1.4621	317
Pavano, Carl SP MIN	-	Free Agent	222.0	33	18	3	9	13	0	0	102	40	262	4.297	1.3604	320
Niese, Jonathon SP NYM 	-	Free Agent	157.3	26	15	0	11	11	0	0	138	44	178	4.405	1.4110	331
Narveson, Chris SP MIL 	-	Want-a-be Ghetto All Stars	161.7	28	12	0	11	8	0	0	126	65	160	4.454	1.3918	336
Moseley, Dustin SP SD	-	Floaters and Sinkers	120.0	20	10	0	3	10	0	0	64	36	117	3.300	1.2750	337
Davis, Wade SP TB 	-	Free Agent	184.0	29	15	1	11	10	0	0	105	63	190	4.451	1.3750	345
Nolasco, Ricky SP MIA	-	Free Agent	206.0	33	18	2	10	12	0	0	148	44	244	4.675	1.3981	355
Dempster, Ryan SP CHC	-	Want-a-be Ghetto All Stars	202.3	34	21	0	10	14	0	0	191	82	211	4.804	1.4481	365
Estrada, Marco SP MIL	-	Free Agent	92.7	7	3	0	4	8	0	3	88	29	83	4.079	1.2086	366
Villanueva, Carlos SP TOR	-	Want-a-be Ghetto All Stars	107.0	13	5	0	6	4	0	1	68	32	103	4.037	1.2617	373
Gorzelanny, Tom SP WAS	-	Free Agent	105.0	15	6	0	4	6	0	1	95	33	102	4.029	1.2857	378
