All First Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Cooper, David 1B TOR	-	Free Agent	71	9	15	6	7	0	2	12	7	14	0	0	0.2113	0.2840	0.3944	866
Marrero, Chris 1B WAS 	-	Titty`s Warriors	109	6	27	22	5	0	0	10	4	27	0	0	0.2477	0.2735	0.2936	932
Gload, Ross 1B PHI 	-	Free Agent	113	3	29	21	8	0	0	8	3	23	0	0	0.2566	0.2759	0.3274	945
Snyder, Brandon 1B TEX 	-	Free Agent	13	2	3	2	1	0	0	1	3	4	0	0	0.2308	0.4118	0.3077	978
Navarro, Efren 1B LAA	-	Free Agent	10	1	2	1	1	0	0	0	1	1	0	0	0.2000	0.2727	0.3000	1131
Satin, Josh 1B NYM	-	Free Agent	25	3	5	4	1	0	0	2	1	11	0	0	0.2000	0.2593	0.2400	1140
Hamilton, Mark 1B STL	-	Free Agent	47	5	10	7	3	0	0	4	4	16	0	0	0.2128	0.2745	0.2766	1144
Barton, Daric 1B OAK 	-	Free Agent	236	27	50	37	13	0	0	21	39	47	2	1	0.2119	0.3250	0.2669	1153
Anderson, Lars 1B BOS	-	Free Agent	5	2	0	0	0	0	0	0	0	3	0	0	0.0000	0.0000	0.0000	1155
Lopez, Felipe 3B MIL	-	Free Agent	141	12	29	23	4	0	2	11	8	35	1	1	0.2057	0.2467	0.2766	1169
Cora, Alex 3B WAS	-	Free Agent	156	12	35	28	6	1	0	6	12	23	2	0	0.2244	0.2865	0.2756	1173
Teahen, Mark 3B TOR	-	Free Agent	160	14	32	24	4	0	4	14	16	45	0	1	0.2000	0.2727	0.3000	1179
Pearce, Steve 1B MIN 	-	Free Agent	94	8	19	16	2	0	1	10	7	21	0	0	0.2021	0.2596	0.2553	1186
Ka'aihue, Kila 1B OAK	-	Free Agent	82	6	16	10	4	0	2	6	12	26	0	0	0.1951	0.2947	0.3171	1195
McPherson, Dallas 1B CHW	-	Free Agent	15	1	2	2	0	0	0	0	0	7	0	0	0.1333	0.1333	0.1333	1202
Mitchell, Russ 3B LAD	-	Free Agent	51	5	8	5	1	0	2	3	7	10	0	0	0.1569	0.2586	0.2941	1216
Cantu, Jorge 1B LAA 	-	Free Agent	144	8	28	21	4	0	3	16	7	28	0	0	0.1944	0.2323	0.2847	1242
LaRoche, Adam 1B WAS 	-	Free Agent	151	15	26	19	4	0	3	15	25	37	1	0	0.1722	0.2881	0.2583	1290
Wilson, Bobby C LAA	-	Free Agent	111	5	21	12	8	0	1	8	10	16	0	2	0.1892	0.2520	0.2883	1318
Helms, Wes 3B MIA	-	Free Agent	110	10	21	16	5	0	0	6	11	35	0	0	0.1909	0.2764	0.2364	1319
Carter, Chris 1B OAK	-	Free Agent	44	2	6	6	0	0	0	0	2	20	0	0	0.1364	0.1739	0.1364	1326
Rosales, Adam SS OAK 	-	Free Agent	61	5	6	4	0	0	2	8	4	13	0	0	0.0984	0.1618	0.1967	1328
Stairs, Matt 1B WAS	-	Free Agent	65	4	10	9	1	0	0	2	9	23	0	0	0.1538	0.2568	0.1692	1339
Johnson, Dan 1B TB	-	Free Agent	84	7	10	7	1	0	2	4	6	18	0	0	0.1190	0.1868	0.2024	1363
Rizzo, Anthony 1B CHC 	-	Free Agent	128	9	18	8	8	1	1	9	21	46	2	1	0.1406	0.2810	0.2422	1372
Dunn, Adam 1B CHW 	-	Evil Empire	415	36	66	39	16	0	11	42	75	177	0	1	0.1590	0.2923	0.2771	1395
Botts, Jason 1B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1410
Koshansky, Joe 1B MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1421
Byrne, Bryan 1B ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1428
Murton, Luke 1B NYY	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1529
Tatis, Fernando 1B NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1530
Bladergroen, Ian 1B BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1535
McAnulty, Paul 1B LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1569
Limonta, Johan 1B SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1616
Richard, Chris 1B TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1632
Aubrey, Michael 1B WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1636
Jones, Michael 1B BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1638
