STARTING PITCHERS
Chris Schwinden, SP, $1.00
Henry Sosa, SP, $1.00
Chris Jakubauskas, SP RP, $1.00
Shairon Martis, SP, $1.00
Tim Redding, SP, $1.00
Julio Teheran, SP, $1.00
Matt Chico, SP, $1.00, (R) $10.00
Justin Lehr, SP, $1.00
La Cruz, De La Cruz, RP SP, $1.00, (R) $10.00
Ryan Sadowski, SP, $1.00, (R) $10.00
Chris Waters, SP, $1.00, (R) $10.00
Clayton Mortensen, SP RP, $1.00
Jason Schmidt, SP, $1.00, (R) $10.00
Ryan Rowland-Smith, SP, $1.00
Kelvim Escobar, SP, $1.00, (R) $10.00
Mike Burns, SP, $1.00
Doug Davis, SP, $1.00
Yusmeiro Petit, SP, $1.00
Jeremy Sowers, SP, $1.00
Carlos Martinez, RP SP, $1.00, (R) $10.00
Jeremy Bonderman, SP, $1.00
Scott Lewis, SP, $1.00, (R) $10.00
Chad Reineke, SP, $1.00, (R) $10.00
Vin Mazzaro, SP, $1.00
Tomo Ohka, SP, $1.00
Adalberto Mendez, SP, $1.00, (R) $10.00
Dustin McGowan, SP, $1.00, (R) $10.00
Josh Geer, SP, $1.00
Virgil Vasquez, SP, $1.00, (R) $10.00
Brandon Webb, SP, $1.00, (R) $10.00
Zach Jackson, SP, $1.00, (R) $10.00
Casey Coleman, SP, $1.00
Dellin Betances, SP, $1.00, (R) $10.00
Kyle Davies, SP, $1.00
Bryan Bullington, SP, $1.00, (R) $10.00
Brad Lincoln, SP, $1.00
Anthony Ortega, SP, $1.00, (R) $10.00
David Huff, SP, $1.00
Jacob Turner, SP, $1.00, (R) $10.00
Liam Hendriks, SP, $1.00
Nate Robertson, SP, $1.00
Yunesky Maya, SP RP, $1.00
Paul Byrd, SP, $1.00, (R) $10.00
Chris Tillman, SP, $1.00
Graham Taylor, SP, $1.00, (R) $10.00
John Koronka, SP, $1.00, (R) $10.00
Anthony Reyes, SP, $1.00, (R) $10.00
Alan Johnson, SP, $1.00, (R) $10.00
Scott Olsen, SP, $1.00
Kevin Hart, SP, $1.00
Charlie Haeger, SP, $1.00, (R) $10.00
Anthony Lerew, SP, $1.00, (R) $10.00
Chien-Ming Wang, SP, $1.00
Danny Duffy, SP, $1.00
Ian Snell, SP, $1.00
Garrett Mock, SP, $1.00
Shane Loux, SP, $1.00
Josh Banks, SP, $1.00, (R) $10.00
Yorman Bazardo, SP, $1.00, (R) $10.00
Andrew Oliver, SP, $1.00, (R) $10.00
Eric Surkamp, SP, $1.00
Walter Silva, SP, $1.00, (R) $10.00
Cesar Carrillo, SP, $1.00, (R) $10.00
Scott Diamond, SP, $1.00
Zach McAllister, SP, $1.00
Sean O'Sullivan, SP, $1.00
Adam Ottavino, SP, $1.00, (R) $10.00
Greg Smith, SP, $1.00
Zach Stewart, SP, $1.00
Kyle Drabek, SP, $1.00
Jeff Locke, SP, $1.00
Daniel Cabrera, SP, $1.00
Jo-Jo Reyes, SP, $1.00
Sidney Ponson, SP, $1.00
Adam Eaton, SP, $1.00, (R) $10.00
Todd Wellemeyer, SP, $1.00
Billy Buckner, SP, $1.00
Jeff Suppan, SP, $1.00
Lenny DiNardo, SP, $1.00, (R) $10.00
Elih Villanueva, SP, $1.00, (R) $10.00
Kyle Weiland, SP, $1.00
Dana Eveland, SP, $1.00
Andrew Miller, SP RP, $1.00
Dontrelle Willis, SP, $1.00
Alex White, SP, $1.00
Esmil Rogers, SP RP, $1.00
Anthony Vasquez, SP, $1.00
John Bannister, SP, $1.00, (R) $10.00
Trevor May, SP, $1.00, (R) $10.00
Josh Wall, SP, $1.00, (R) $10.00
Chris Archer, SP, $1.00, (R) $10.00
Will Inman, SP, $1.00, (R) $10.00
Cameron Selik, SP, $1.00, (R) $10.00
Tom Shearn, SP, $1.00, (R) $10.00
Dan Merklinger, SP, $1.00, (R) $10.00
Kyle Denney, SP, $1.00, (R) $10.00
Taylor Jungmann, SP, $1.00, (R) $10.00
Ethan Martin, SP, $1.00, (R) $10.00
Dave Gassner, SP, $1.00, (R) $10.00
Brian Tollberg, SP, $1.00, (R) $10.00
Tanner Scheppers, SP, $1.00, (R) $10.00
Scott Barnes, SP, $1.00, (R) $10.00
Allen Baxter, SP, $1.00, (R) $10.00
Michael Ynoa, SP, $1.00, (R) $10.00
J.D. Durbin, SP, $1.00, (R) $10.00
Manuel Banuelos, SP, $1.00, (R) $10.00
