All Catchers  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Rafael,Lopez C  CHC"	Free Agent	11	0	2	2	0	0	0	1	2	4	0	0	0.1818	0.3077	0.1818	1622
"Chris,Robinson C  SD"	Free Agent	6	0	0	0	0	0	0	2	0	2	0	0	0.0000	0.0000	0.0000	1623
"Guillermo,Quiroz C  SF"	Free Agent	30	2	5	3	2	0	0	2	2	7	0	0	0.1667	0.2188	0.2333	1624
"Steven,Lerud C  WAS"	Free Agent	5	0	1	1	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1626
"Johnny,Monell C  NYM"	Free Agent	4	1	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1628
"Kyle,Skipworth C  CIN"	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1633
"Eddy,Rodriguez C  NYY"	Free Agent	2	0	0	0	0	0	0	0	1	1	0	0	0.0000	0.3333	0.0000	1633
"Luis,Martinez C  LAA"	Free Agent	6	0	1	1	0	0	0	0	0	1	0	0	0.1667	0.1667	0.1667	1641
"Koyie,Hill C  PHI"	Free Agent	39	3	7	6	1	0	0	1	1	10	0	0	0.1795	0.2000	0.2051	1643
"Matt,Pagnozzi C  MIL"	Free Agent	10	0	2	2	0	0	0	0	0	2	0	0	0.2000	0.2000	0.2000	1644
"Ali,Solis C  LAD"	Free Agent	3	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1648
"Omir,Santos C  PIT"	Free Agent	3	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1648
"Carlos,Maldonado C  WAS"	Free Agent	3	0	0	0	0	0	0	0	1	1	0	0	0.0000	0.2500	0.0000	1648
"Luis,Exposito C  DET"	Free Agent	6	1	0	0	0	0	0	0	1	2	0	0	0.0000	0.1429	0.0000	1657
"Cody,Clark C  HOU"	Free Agent	19	0	2	2	0	0	0	0	0	8	0	0	0.1053	0.1053	0.1053	1703
"Aaron,Hathaway C  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ty,Ross C  SF"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Justin,Marra C  CHC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jose,Yepez C  ATL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Martin,Medina C  CHW"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Sean,McCraw C  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Erick,San Pedro C  WAS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Spencer,Kieboom C  WAS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dennis,Anderson C  CHC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Joe,Jackson C  TEX"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Radley,Haddad C  NYY"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Patrick,Perry C  BOS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Andrew,Knapp C  PHI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Kellin,Deglan C  TEX"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Patrick,Leyland C  DET"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Alejandro,Segovia C  TB"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"John,Schneider C  TOR"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Josh,Elander C  ATL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Orlando,Mercado C  LAD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Orlando,Guevara C  PHI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Dom,Nunez C  COL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Joel,Jimenez C  MIA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jose,Ortiz C  CIN"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Brian,Bock C  BAL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ryan,D. Smith C  CHW"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Francisco,Mejia C  CLE"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Brad,Davis C  DET"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Will,Remillard C  CHC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Elias,Diaz C  PIT"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Chris,Kroski C  CIN"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Chase,Vallot C  KC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Casey,Rasmus C  STL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
