All Outfielders  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Bryan,Petersen RF  MIL"	Free Agent	80	10	16	12	3	1	0	6	8	19	3	1	0.2000	0.2727	0.2625	1064
"Dave,Sappelt CF  PHI"	Free Agent	48	5	13	9	3	0	1	4	3	8	1	0	0.2708	0.3137	0.3958	1090
"Efren,Navarro LF  LAA"	Free Agent	82	8	19	14	5	0	0	8	8	14	1	2	0.2317	0.3000	0.2927	1092
"Juan,Perez CF  SF"	Free Agent	94	10	20	13	6	0	1	6	6	23	1	0	0.2128	0.2600	0.3085	1101
"Ryan,Kalish CF  TOR"	Free Agent	72	8	17	14	2	1	0	3	5	18	2	1	0.2361	0.2857	0.2917	1136
"Jason,Bourgeois RF  CIN"	Free Agent	37	6	9	7	1	1	0	3	2	5	2	1	0.2432	0.2821	0.3243	1139
"Trayvon,Robinson CF  LAD"	Free Agent	48	5	10	8	1	0	1	4	5	14	2	1	0.2083	0.2830	0.2917	1148
"Gorkys,Hernandez CF  PIT"	Free Agent	52	6	10	7	1	1	1	4	4	14	2	1	0.1923	0.2500	0.3077	1157
"Derrick,Robinson LF  CIN"	Free Agent	64	7	16	13	2	1	0	3	6	15	1	2	0.2500	0.3143	0.3125	1168
"Tyler,Holt OF  CLE"	Free Agent	71	4	19	17	2	0	0	2	3	25	2	2	0.2676	0.2973	0.2958	1173
"Billy,Burns CF  OAK"	Free Agent	6	4	1	1	0	0	0	0	0	0	3	1	0.1667	0.1667	0.1667	1184
"Fernando,Martinez CF  NYY"	Free Agent	50	4	10	6	2	0	2	6	2	15	0	0	0.2000	0.2308	0.3600	1186
"Matt,McBride LF  COL"	Free Agent	36	5	7	5	1	0	1	6	1	10	0	0	0.1944	0.2162	0.3056	1200
"Chris,Herrmann RF  MIN"	Free Agent	83	8	16	12	3	0	1	8	8	24	0	0	0.1928	0.2637	0.2651	1204
"Jose,Constanza LF  ATL"	Free Agent	37	4	9	8	1	0	0	2	3	9	2	2	0.2432	0.3000	0.2703	1210
"Russ,Canzler LF  PHI"	Free Agent	31	3	8	6	1	0	1	4	1	7	0	0	0.2581	0.2812	0.3871	1219
"Michael,Taylor LF  CHW"	Free Agent	39	5	8	4	3	0	1	5	3	17	0	2	0.2051	0.2619	0.3590	1220
"Michael,Taylor CF  WAS"	Free Agent	39	5	8	4	3	0	1	5	3	17	0	2	0.2051	0.2619	0.3590	1220
"Tyler,Collins RF  DET"	Free Agent	24	3	6	5	0	0	1	4	1	4	0	0	0.2500	0.2800	0.3750	1227
"Bryce,Brentz LF  BOS"	Free Agent	26	5	8	6	2	0	0	2	0	9	0	0	0.3077	0.3077	0.3846	1237
"Jim,Adduci LF  TEX"	Free Agent	66	8	12	10	2	0	0	4	6	18	2	0	0.1818	0.2500	0.2121	1240
"Brian,Bixler LF  NYM"	Free Agent	29	4	6	3	2	0	1	2	2	12	1	0	0.2069	0.2581	0.3793	1244
"Xavier,Avery LF  DET"	Free Agent	31	5	6	4	2	0	0	2	4	8	2	1	0.1935	0.2857	0.2581	1246
"Matt,Carson RF  LAD"	Free Agent	26	3	7	7	0	0	0	2	1	7	1	0	0.2692	0.2963	0.2692	1272
"Shawn,O'Malley LF  SEA"	Free Agent	16	3	3	3	0	0	0	1	0	8	2	0	0.1875	0.1875	0.1875	1288
"Pete,Orr OF  MIL"	Free Agent	25	2	7	5	2	0	0	2	1	9	1	0	0.2800	0.3077	0.3600	1292
"Drew,Sutton LF  BOS"	Free Agent	41	4	10	6	4	0	0	4	2	14	0	0	0.2439	0.2791	0.3415	1303
"Joey,Terdoslavich OF  ATL"	Free Agent	44	6	10	7	3	0	0	3	6	14	0	0	0.2273	0.3200	0.2955	1306
"Cole,Gillespie LF  MIA"	Free Agent	44	5	9	8	1	0	0	3	4	9	1	1	0.2045	0.2708	0.2273	1312
"Xavier,Nady LF  SD"	Free Agent	63	5	10	6	2	0	2	6	6	15	0	0	0.1587	0.2319	0.2857	1319
"Mitch,Maier CF  CHC"	Free Agent	21	3	3	2	0	0	1	2	3	8	1	0	0.1429	0.2500	0.2857	1320
"Rymer,Liriano RF  SD"	Free Agent	36	4	8	7	1	0	0	2	3	13	1	0	0.2222	0.2821	0.2500	1327
"Matt,Szczur CF  CHC"	Free Agent	21	2	5	3	1	0	1	2	1	4	0	0	0.2381	0.2727	0.4286	1342
"Rich,Thompson RF  TB"	Free Agent	7	2	1	1	0	0	0	0	0	2	2	1	0.1429	0.1429	0.1429	1353
"Wilkin,Ramirez LF  MIN"	Free Agent	40	2	11	8	3	0	0	3	2	12	0	0	0.2750	0.3095	0.3500	1360
"Kensuke,Tanaka OF  TEX"	Free Agent	15	2	4	4	0	0	0	1	2	2	1	0	0.2667	0.3529	0.2667	1361
"Eury,Perez CF  ATL"	Free Agent	8	2	1	1	0	0	0	0	0	2	2	0	0.1250	0.1250	0.1250	1370
"Zelous,Wheeler 3B  NYY"	Free Agent	19	2	4	3	0	0	1	2	1	4	0	0	0.2105	0.2500	0.3684	1372
"Corey,Brown RF  TB"	Free Agent	13	2	3	1	1	0	1	1	1	5	0	0	0.2308	0.2857	0.5385	1376
"Donald,Lutz OF  CIN"	Free Agent	36	2	8	6	2	0	0	3	1	11	1	0	0.2222	0.2432	0.2778	1378
"Julio,Borbon CF  BAL"	Free Agent	35	4	6	5	1	0	0	1	4	7	2	0	0.1714	0.2564	0.2000	1382
"Francisco,Peguero LF  BAL"	Free Agent	15	3	2	2	0	0	0	0	0	3	2	0	0.1333	0.1333	0.1333	1383
"Alfredo,Marte LF  LAA"	Free Agent	74	6	13	8	4	0	1	6	5	23	0	0	0.1757	0.2278	0.2703	1386
"Andrew,Lambo RF  PIT"	Free Agent	34	4	8	5	3	0	0	2	2	10	0	0	0.2353	0.2778	0.3235	1390
"Adron,Chambers CF  CHC"	Free Agent	27	3	5	4	0	1	0	2	3	10	1	1	0.1852	0.2667	0.2593	1405
"Gary,Brown CF  SF"	Disco Bush Horticulturists	7	1	3	3	0	0	0	1	0	0	0	0	0.4286	0.4286	0.4286	1416
"Mike,McCoy CF  BOS"	Free Agent	17	3	2	2	0	0	0	2	1	2	1	0	0.1176	0.1667	0.1176	1417
"Brett,Jackson CF  ARI"	Free Agent	41	5	6	3	2	0	1	3	8	20	0	1	0.1463	0.2857	0.2683	1425
"Reymond,Fuentes CF  KC"	Free Agent	16	2	2	2	0	0	0	0	2	8	2	0	0.1250	0.2222	0.1250	1426
"Michael,Martinez OF  CLE"	Free Agent	65	6	11	9	1	0	1	4	3	15	0	0	0.1692	0.2059	0.2308	1429
"Alex,Castellanos RF  NYM"	Free Agent	14	2	2	1	0	0	1	1	0	4	0	0	0.1429	0.1429	0.3571	1437
"Melky,Mesa LF  TOR"	Free Agent	5	1	2	1	1	0	0	1	0	1	0	0	0.4000	0.4000	0.6000	1442
"Carlos,Peguero RF  TEX"	Free Agent	24	1	4	2	1	0	1	3	1	12	0	0	0.1667	0.2000	0.3333	1443
"Engel,Beltre CF  TEX"	Free Agent	13	2	3	3	0	0	0	1	0	2	0	1	0.2308	0.2308	0.2308	1461
"Yorman,Rodriguez CF  CIN"	Free Agent	14	2	3	3	0	0	0	1	0	6	0	0	0.2143	0.2143	0.2143	1469
"Joey,Butler LF  TB"	Free Agent	8	2	2	1	1	0	0	0	2	4	0	0	0.2500	0.4000	0.3750	1502
"Travis,Buck RF  SD"	Free Agent	25	2	5	3	2	0	0	2	2	6	0	0	0.2000	0.2593	0.2800	1510
"Blake,Tekotte LF  CHW"	Free Agent	15	1	2	2	0	0	0	1	1	4	1	1	0.1333	0.1875	0.1333	1516
"Erik,Komatsu RF  WAS"	Free Agent	17	2	4	4	0	0	0	0	2	2	0	0	0.2353	0.3158	0.2353	1521
"Rafael,Ortega CF  STL"	Free Agent	1	0	1	1	0	0	0	0	0	1	0	0	1.0000	1.0000	1.0000	1527
"Todd,Cunningham CF  ATL"	Free Agent	4	1	1	1	0	0	0	0	0	2	0	0	0.2500	0.2500	0.2500	1532
"Justin,Christian LF  TB"	Free Agent	19	2	2	2	0	0	0	1	2	1	1	0	0.1053	0.1905	0.1053	1534
"Denis,Phipps RF  CHW"	Free Agent	3	1	0	0	0	0	0	1	0	1	0	0	0.0000	0.0000	0.0000	1535
"Brett,Carroll RF  TOR"	Free Agent	1	1	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1539
"Josh,Prince OF  MIL"	Free Agent	4	2	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1545
"Felix,Pie LF  PIT"	Free Agent	14	2	2	2	0	0	0	1	1	6	0	1	0.1429	0.2000	0.1429	1546
"Chris,Dominguez LF  SF"	Free Agent	17	1	1	0	0	0	1	2	1	4	0	0	0.0588	0.1111	0.2353	1553
"Jason,Pridie LF  COL"	Free Agent	8	1	1	1	0	0	0	1	0	1	0	0	0.1250	0.1250	0.1250	1556
"Juan,Pierre LF  MIA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Juan,Rivera LF  NYY"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Darnell,McDonald LF  CHC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Rick,Ankiel CF  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Bobby,Abreu RF  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Raul,Ibanez LF  KC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Jeremy,Hermida RF  MIL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Jason,Kubel LF  MIN"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Mark,Kotsay RF  SD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Adam,Dunn 1B  OAK"	Want-a-be Ghetto All Stars	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Che-Hsuan,Lin RF  HOU"	Free Agent	4	0	1	1	0	0	0	0	0	2	0	0	0.2500	0.2500	0.2500	1604
"Lane,Adams RF  KC"	Free Agent	3	1	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1607
"Thomas,Neal LF  CIN"	Free Agent	13	1	2	2	0	0	0	1	0	3	0	0	0.1538	0.1538	0.1538	1609
"Jaff,Decker LF  PIT"	Free Agent	16	2	2	2	0	0	0	1	2	4	0	0	0.1250	0.2222	0.1250	1614
"Jason,Bartlett LF  MIN"	Free Agent	29	4	4	2	2	0	0	1	4	10	0	0	0.1379	0.2424	0.2069	1616
"Nate,Spears LF  CLE"	Free Agent	1	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1617
"Thomas,Pham CF  STL"	Free Agent	2	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1633
"Kevin,Mattison CF  MIL"	Free Agent	2	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1633
"Jermaine,Curtis OF  STL"	Free Agent	2	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1633
"Kyle,Parker RF  COL"	Free Agent	26	1	5	4	1	0	0	1	0	14	0	0	0.1923	0.1923	0.2308	1640
"James,Darnell LF  TB"	Free Agent	6	0	1	1	0	0	0	0	1	1	0	0	0.1667	0.2857	0.1667	1641
"Roger,Kieschnick LF  LAA"	Free Agent	42	3	7	7	0	0	0	2	4	15	0	0	0.1667	0.2391	0.1667	1647
"Lars,Anderson LF  CHC"	Free Agent	3	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1648
"Aaron,Cunningham RF  ARI"	Free Agent	32	2	5	4	1	0	0	2	3	8	0	1	0.1562	0.2286	0.1875	1654
"Steve,Susdorf LF  PHI"	Free Agent	4	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1662
"Alex,Hassan RF  BAL"	Free Agent	4	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1662
