All Second Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Roberts, Brian 2B NYY ",Free Agent,165,18,38,27,6,1,4,21,14,26,3,1,0.2303,0.2873,0.3515,679
"Harrison, Josh OF PIT",Free Agent,177,22,44,31,8,3,2,15,5,24,4,1,0.2486,0.2796,0.3616,683
"Punto, Nick SS OAK",Free Agent,196,25,49,37,10,1,1,17,28,43,3,1,0.2500,0.3407,0.3265,684
"Rendon, Anthony 2B WAS",Free Agent,176,20,46,30,12,0,4,18,16,34,0,0,0.2614,0.3265,0.3977,685
"Sizemore, Scott 2B OAK ",Free Agent,125,17,30,18,8,0,4,19,18,38,2,1,0.2400,0.3403,0.4000,695
"Valbuena, Luis 3B CHC ",Free Agent,213,21,46,28,12,0,6,22,30,42,1,2,0.2160,0.3143,0.3568,703
"Valdespin, Jordany LF NYM ",Free Agent,108,15,24,15,4,1,4,14,6,24,5,2,0.2222,0.2759,0.3889,709
"Sogard, Eric 2B OAK",Free Agent,180,20,43,30,10,1,2,15,12,27,4,2,0.2389,0.2923,0.3389,725
"Inge, Brandon 2B PIT",Free Agent,226,22,46,31,9,1,5,28,17,66,0,1,0.2035,0.2602,0.3186,726
"Santiago, Ramon 2B DET",Free Agent,230,25,53,39,9,2,3,20,19,36,0,0,0.2304,0.2953,0.3261,738
"Gonzalez, Marwin SS HOU",Free Agent,204,22,46,33,10,0,3,13,11,33,4,2,0.2255,0.2651,0.3186,744
"Tejada, Miguel 2B KC",Free Agent,159,14,41,32,7,0,2,15,6,20,2,1,0.2579,0.2857,0.3396,769
"Profar, Jurickson 2B TEX ",Whiteness,152,16,35,25,6,0,4,14,13,34,1,2,0.2303,0.2994,0.3487,792
"DeRosa, Mark 2B TOR",Free Agent,125,15,29,21,6,0,2,18,17,28,1,0,0.2320,0.3241,0.3280,797
"Kawasaki, Munenori SS TOR ",Free Agent,172,20,38,32,4,2,0,16,20,30,4,2,0.2209,0.3061,0.2674,798
"Giavotella, Johnny 2B KC",Free Agent,133,15,32,23,6,2,1,13,6,24,3,1,0.2406,0.2766,0.3383,813
"Abreu, Tony 2B SF ",Free Agent,104,13,28,17,7,2,2,14,4,23,0,1,0.2692,0.3000,0.4327,814
"Green, Grant 2B LAA",Want-a-be Ghetto All Stars,140,16,35,25,8,1,1,17,10,44,0,0,0.2500,0.3007,0.3429,819
"Hernandez, Cesar OF PHI",Free Agent,121,17,35,30,5,0,0,10,9,26,0,3,0.2893,0.3435,0.3306,833
"McDonald, John SS BOS ",Free Agent,164,15,36,26,7,0,3,16,10,25,1,2,0.2195,0.2670,0.3171,846
"Fontenot, Mike 2B TB ",Free Agent,106,12,26,17,6,1,2,9,11,24,2,1,0.2453,0.3193,0.3774,876
"Harris, Brendan SS NYY",Free Agent,107,14,22,14,4,0,4,9,6,29,0,1,0.2056,0.2522,0.3551,922
"Galvis, Freddy 2B PHI",Free Agent,132,9,30,18,7,2,3,14,7,25,0,0,0.2273,0.2662,0.3788,934
"Pastornicky, Tyler 2B ATL ",Free Agent,100,13,25,20,4,0,1,6,6,18,1,0,0.2500,0.2925,0.3200,956
"Goins, Ryan 2B TOR ",Free Agent,119,11,30,23,5,0,2,8,2,28,0,0,0.2521,0.2645,0.3445,958
"Bianchi, Jeff 3B MIL",Free Agent,102,10,23,19,3,0,1,11,5,20,1,1,0.2255,0.2593,0.2843,982
"Escobar, Eduardo SS MIN",Free Agent,101,14,23,18,3,1,1,6,7,22,1,1,0.2277,0.2752,0.3069,985
"Sanchez, Angel 2B CHW",Free Agent,97,12,23,20,3,0,0,9,9,15,1,0,0.2371,0.2991,0.2680,990
"Garcia, Leury 2B CHW",Free Agent,101,10,20,18,1,1,0,2,7,34,7,2,0.1980,0.2477,0.2277,1000
"Burriss, Emmanuel 2B CIN ",Free Agent,91,10,19,18,1,0,0,4,5,14,5,2,0.2088,0.2577,0.2198,1007
"Gonzalez, Alberto 2B SD",Free Agent,119,10,26,19,5,1,1,14,5,19,0,1,0.2185,0.2520,0.3025,1011
"Rosales, Adam SS TEX",Free Agent,102,11,19,13,3,0,3,9,8,24,0,0,0.1863,0.2566,0.3039,1042
"Holt, Brock 3B BOS",Free Agent,62,8,16,14,2,0,0,7,6,9,0,0,0.2581,0.3143,0.2903,1080
"Janish, Paul 3B ATL",Free Agent,181,17,37,29,7,1,0,11,13,29,1,1,0.2044,0.2626,0.2541,1082
"d'Arnaud, Chase 2B PIT",Free Agent,50,6,10,7,2,1,0,2,1,13,4,1,0.2000,0.2157,0.2800,1106
"Izturis, Cesar SS HOU ",Free Agent,108,8,24,17,5,1,1,8,5,12,0,0,0.2222,0.2566,0.3148,1131
"Pena, Ramiro 3B ATL",Free Agent,47,6,11,8,2,0,1,5,3,10,0,1,0.2340,0.2745,0.3404,1135
"Elmore, Jake SS CHW",Free Agent,94,8,21,16,4,0,1,6,9,13,0,3,0.2234,0.2913,0.2979,1147
"Rhymes, Will 2B WAS ",Free Agent,69,8,16,14,2,0,0,3,7,10,1,1,0.2319,0.3117,0.2609,1163
"Noonan, Nick 2B SF",Free Agent,105,12,23,21,2,0,0,5,6,24,0,0,0.2190,0.2613,0.2381,1164
"Navarro, Yamaico 2B BAL ",Free Agent,46,5,10,8,1,0,1,5,4,12,0,1,0.2174,0.2745,0.3043,1182
"Schoop, Jonathan 2B BAL",Free Agent,14,5,4,3,0,0,1,1,1,2,0,0,0.2857,0.3333,0.5000,1184
"Wilson, Josh 2B TEX ",Free Agent,48,7,10,7,2,0,1,3,3,13,0,0,0.2083,0.2549,0.3125,1199
"Tolbert, Matt 2B PHI",Free Agent,69,7,14,10,3,1,0,4,4,10,1,1,0.2029,0.2568,0.2754,2316
"Adams, David 3B CLE ",Free Agent,70,5,14,11,2,0,1,6,4,22,0,0,0.2000,0.2533,0.2714,2328
"Ramirez, Jose 2B CLE",Free Agent,12,5,4,3,0,1,0,0,2,2,0,1,0.3333,0.4286,0.5000,2338
"Dinkelman, Brian 2B MIN",Free Agent,24,2,7,7,0,0,0,1,1,5,1,0,0.2917,0.3200,0.2917,2346
"Perez, Hernan 2B DET",Free Agent,34,7,7,7,0,0,0,2,1,8,0,0,0.2059,0.2286,0.2059,2347
"Phelps, Cord 2B BAL",Free Agent,38,4,6,4,1,0,1,4,3,10,0,0,0.1579,0.2195,0.2632,2406
"Beckham, Tim 2B TB ",Disco Bush Horticulturists,7,1,3,3,0,0,0,1,0,0,0,0,0.4286,0.3750,0.4286,2436
"Parrino, Andy SS OAK",Free Agent,65,5,12,9,3,0,0,4,9,21,1,0,0.1846,0.2895,0.2308,2445
"Davis, Blake 2B MIL",Free Agent,20,2,5,4,1,0,0,2,2,4,0,0,0.2500,0.3182,0.3000,2446
"Valaika, Chris SS MIA",Free Agent,30,2,7,5,2,0,0,3,2,6,0,0,0.2333,0.2812,0.3000,2448
"Wong, Kolten 2B STL ",Free Agent,59,6,9,8,1,0,0,0,3,12,3,0,0.1525,0.1935,0.1695,2454
"Field, Tommy 2B LAA",Free Agent,25,3,6,6,0,0,0,1,2,7,0,0,0.2400,0.2963,0.2400,2460
"Gosselin, Phil 2B ATL ",Free Agent,6,2,2,2,0,0,0,0,1,2,0,0,0.3333,0.4286,0.3333,2469
