All Third Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"Punto, Nick SS OAK",Free Agent,196,25,49,37,10,1,1,17,28,43,3,1,0.2500,0.3407,0.3265,684
"Rendon, Anthony 2B WAS",Free Agent,176,20,46,30,12,0,4,18,16,34,0,0,0.2614,0.3265,0.3977,685
"Valbuena, Luis 3B CHC ",Free Agent,213,21,46,28,12,0,6,22,30,42,1,2,0.2160,0.3143,0.3568,703
"Ransom, Cody 3B CHC",Free Agent,149,18,30,14,9,0,7,22,18,60,0,0,0.2013,0.2959,0.4027,710
"Inge, Brandon 2B PIT",Free Agent,226,22,46,31,9,1,5,28,17,66,0,1,0.2035,0.2602,0.3186,726
"Santiago, Ramon 2B DET",Free Agent,230,25,53,39,9,2,3,20,19,36,0,0,0.2304,0.2953,0.3261,738
"Morel, Brent 3B TOR ",Free Agent,184,20,42,32,7,0,3,16,11,34,3,2,0.2283,0.2755,0.3152,741
"Gillaspie, Conor 3B CHW",Free Agent,149,17,36,25,5,1,5,15,13,27,0,0,0.2416,0.2988,0.3893,748
"Murphy, Donnie 3B CHC ",Free Agent,119,15,27,15,6,1,5,15,7,35,1,0,0.2269,0.2901,0.4202,756
"Tejada, Miguel 2B KC",Free Agent,159,14,41,32,7,0,2,15,6,20,2,1,0.2579,0.2857,0.3396,769
"Iglesias, Jose SS DET ",Free Agent,141,16,39,31,6,1,1,10,6,26,2,1,0.2766,0.3268,0.3546,782
"Profar, Jurickson 2B TEX ",Whiteness,152,16,35,25,6,0,4,14,13,34,1,2,0.2303,0.2994,0.3487,792
"Moore, Scott 3B STL",Free Agent,100,12,26,16,6,0,4,13,8,28,0,0,0.2600,0.3333,0.4400,794
"DeRosa, Mark 2B TOR",Free Agent,125,15,29,21,6,0,2,18,17,28,1,0,0.2320,0.3241,0.3280,797
"Coghlan, Chris LF MIA ",Free Agent,186,18,42,29,10,1,2,14,16,35,3,3,0.2258,0.2913,0.3226,806
"McDonald, John SS BOS ",Free Agent,164,15,36,26,7,0,3,16,10,25,1,2,0.2195,0.2670,0.3171,846
"Davidson, Matt 3B CHW ",Free Agent,76,8,18,9,6,0,3,12,10,24,0,1,0.2368,0.3333,0.4342,917
"Harris, Brendan SS NYY",Free Agent,107,14,22,14,4,0,4,9,6,29,0,1,0.2056,0.2522,0.3551,922
"Semien, Marcus 3B CHW",Free Agent,69,7,18,12,4,0,2,7,1,22,2,2,0.2609,0.2676,0.4058,930
"Galvis, Freddy 2B PHI",Free Agent,132,9,30,18,7,2,3,14,7,25,0,0,0.2273,0.2662,0.3788,934
"Tracy, Chad 3B WAS",Free Agent,111,6,26,16,6,0,4,12,8,20,0,1,0.2342,0.2857,0.3964,935
"Donald, Jason 3B KC ",Free Agent,85,10,22,17,3,1,1,6,4,25,2,1,0.2588,0.3043,0.3529,942
"Kouzmanoff, Kevin 3B TEX ",Free Agent,78,8,18,12,4,0,2,11,4,15,1,0,0.2308,0.2791,0.3590,945
"Bianchi, Jeff 3B MIL",Free Agent,102,10,23,19,3,0,1,11,5,20,1,1,0.2255,0.2593,0.2843,982
"Escobar, Eduardo SS MIN",Free Agent,101,14,23,18,3,1,1,6,7,22,1,1,0.2277,0.2752,0.3069,985
"DeWitt, Blake 3B ATL",Free Agent,87,7,22,15,4,1,2,9,4,11,0,0,0.2529,0.2857,0.3908,988
"Garcia, Leury 2B CHW",Free Agent,101,10,20,18,1,1,0,2,7,34,7,2,0.1980,0.2477,0.2277,1000
"Wood, Brandon 3B KC ",Free Agent,83,9,18,13,3,0,2,10,6,24,0,0,0.2169,0.2697,0.3253,1010
"Gonzalez, Alberto 2B SD",Free Agent,119,10,26,19,5,1,1,14,5,19,0,1,0.2185,0.2520,0.3025,1011
"Satin, Josh 1B NYM",Free Agent,72,9,19,13,5,0,1,6,10,23,0,0,0.2639,0.3537,0.3750,1018
"Bogaerts, Xander 3B BOS ",Floaters and Sinkers,44,7,11,8,2,0,1,5,5,13,1,0,0.2500,0.3200,0.3636,1040
"Falu, Irving 3B MIL",Free Agent,44,7,15,12,3,0,0,4,2,4,0,1,0.3409,0.3696,0.4091,1044
"Bernier, Doug SS MIN",Free Agent,53,9,12,9,3,0,0,5,8,15,2,1,0.2264,0.3387,0.2830,1048
"Snyder, Brandon 3B BOS",Free Agent,43,6,10,6,2,0,2,6,2,15,0,0,0.2326,0.2826,0.4186,1061
"Holt, Brock 3B BOS",Free Agent,62,8,16,14,2,0,0,7,6,9,0,0,0.2581,0.3143,0.2903,1080
"Janish, Paul 3B ATL",Free Agent,181,17,37,29,7,1,0,11,13,29,1,1,0.2044,0.2626,0.2541,1082
"Stewart, Ian 3B CHC ",Free Agent,100,10,18,11,4,1,2,8,12,28,1,2,0.1800,0.2743,0.3000,1100
"Pena, Ramiro 3B ATL",Free Agent,47,6,11,8,2,0,1,5,3,10,0,1,0.2340,0.2745,0.3404,1135
"Jimenez, Luis 3B LAA",Free Agent,52,8,14,11,3,0,0,2,1,14,0,1,0.2692,0.3091,0.3269,1156
"Noonan, Nick 2B SF",Free Agent,105,12,23,21,2,0,0,5,6,24,0,0,0.2190,0.2613,0.2381,1164
"Romine, Andrew 3B LAA",Free Agent,47,4,12,11,1,0,0,4,4,11,1,0,0.2553,0.3137,0.2766,1176
"Teahen, Mark 3B TEX",Free Agent,53,5,11,9,1,0,1,5,5,15,0,0,0.2075,0.2759,0.2830,1215
"Adams, David 3B CLE ",Free Agent,70,5,14,11,2,0,1,6,4,22,0,0,0.2000,0.2533,0.2714,2328
"Flores, Wilmer 3B NYM",Whiteness,48,4,10,8,2,0,0,6,2,12,0,0,0.2083,0.2400,0.2500,2362
"Burroughs, Sean 3B MIN",Free Agent,42,3,11,9,2,0,0,3,1,6,0,0,0.2619,0.2791,0.3095,2366
"Worth, Danny 3B DET ",Free Agent,38,5,9,7,2,0,0,2,5,11,0,0,0.2368,0.3256,0.2895,2375
"Brignac, Reid SS NYY",Free Agent,121,8,22,18,3,0,1,7,5,33,1,0,0.1818,0.2143,0.2314,2389
"LaRoche, Andy 3B TOR",Free Agent,32,3,8,6,2,0,0,2,3,7,0,0,0.2500,0.3333,0.3125,2415
"Olmedo, Ray 3B MIN ",Free Agent,20,4,5,4,1,0,0,0,0,4,0,0,0.2500,0.2500,0.3000,2435
"Valaika, Chris SS MIA",Free Agent,30,2,7,5,2,0,0,3,2,6,0,0,0.2333,0.2812,0.3000,2448
"Tolleson, Steve 3B TOR ",Free Agent,36,2,6,3,2,0,1,3,2,8,0,0,0.1667,0.2105,0.3056,2481
"Velazquez, Gil 3B MIA",Free Agent,21,1,5,5,0,0,0,1,0,4,0,0,0.2381,0.2381,0.2381,2524
"Lutz, Zach 3B NYM",Free Agent,10,1,2,1,1,0,0,1,2,4,0,0,0.2000,0.3333,0.3000,2526
"Diaz, Jonathan 3B TOR",Free Agent,4,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2541
"Vitters, Josh 3B CHC ",Floaters and Sinkers,50,4,6,4,1,0,1,2,4,16,1,0,0.1200,0.2000,0.2000,2547
