All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Revere, Ben CF PHI "	Sofa Kings	330	42	92	81	7	4	0	21	19	33	25	6	0.2788	0.3210	0.3242	253
"Rivera, Juan 1B NYY "	Free Agent	398	43	100	69	19	0	12	58	31	56	3	3	0.2513	0.3059	0.3894	259
"Jennings, Desmond CF TB "	Orange-a-Tangs	258	45	64	42	10	4	8	25	26	61	18	3	0.2481	0.3264	0.4109	263
"Denorfia, Chris CF SD "	Free Agent	313	45	88	62	16	3	7	30	27	51	11	5	0.2812	0.3391	0.4185	265
"Bernadina, Roger CF WAS"	Free Agent	317	39	81	57	14	2	8	33	28	70	16	3	0.2555	0.3200	0.3880	268
"Tabata, Jose LF PIT "	Free Agent	357	52	97	70	20	3	4	24	32	59	14	9	0.2717	0.3376	0.3782	274
"Doumit, Ryan C MIN"	Floaters and Sinkers	369	38	100	63	23	1	13	50	29	73	0	0	0.2710	0.3300	0.4444	279
"Betemit, Wilson 3B BAL"	Free Agent	313	39	88	56	20	1	11	43	33	94	1	1	0.2812	0.3486	0.4569	294
"Reddick, Josh LF OAK"	User Abuser	309	44	77	44	17	3	13	39	25	72	4	1	0.2492	0.3047	0.4498	300
"Byrd, Marlon CF NYM "	Free Agent	390	48	108	79	21	1	7	37	20	69	3	2	0.2769	0.3254	0.3897	304
"Dirks, Andy CF DET "	Free Agent	266	45	78	52	16	2	8	32	17	44	3	2	0.2932	0.3392	0.4586	305
"De Aza, Alejandro CF CHW "	Old Dirty Bugg	235	39	69	48	14	3	4	25	22	49	13	6	0.2936	0.3615	0.4298	306
"Matsui, Hideki LF TB"	Free Agent	365	40	92	62	18	0	12	54	44	68	0	1	0.2521	0.3309	0.4000	307
"Guzman, Jesus LF SD"	Free Agent	267	32	74	45	20	2	7	46	26	57	6	2	0.2772	0.3434	0.4457	316
"Bay, Jason LF SEA "	Free Agent	329	43	77	52	14	2	9	41	40	86	9	1	0.2340	0.3173	0.3708	322
"Frazier, Todd 3B CIN"	Evil Empire	267	36	70	39	16	3	12	41	22	65	2	1	0.2622	0.3208	0.4794	329
"Morrison, Logan LF MIA "	Disco Bush Horticulturists	334	42	84	48	20	4	12	42	42	69	1	1	0.2515	0.3403	0.4431	334
"Heisey, Chris CF CIN "	Free Agent	276	40	71	46	12	2	11	34	18	72	4	2	0.2572	0.3146	0.4348	338
"Davis, Chris RF BAL"	Orange-a-Tangs	278	36	72	45	14	0	13	36	21	91	2	1	0.2590	0.3146	0.4496	343
"Hairston, Scott LF CHC"	Free Agent	268	35	64	37	14	1	12	39	20	62	5	1	0.2388	0.2969	0.4328	345
"Bourjos, Peter CF LAA "	Free Agent	284	39	70	45	13	5	7	26	18	69	12	4	0.2465	0.3010	0.4014	348
"Gutierrez, Franklin CF SEA"	Free Agent	347	35	83	60	16	1	6	33	25	75	14	2	0.2392	0.2891	0.3429	350
"Saunders, Michael LF SEA "	Free Agent	319	39	70	42	16	2	10	33	30	91	11	3	0.2194	0.2857	0.3762	355
"Schumaker, Skip 2B LAD"	Free Agent	372	46	102	80	17	2	3	36	32	55	2	2	0.2742	0.3325	0.3548	359
"Raburn, Ryan LF CLE"	Free Agent	321	40	79	48	20	1	10	41	20	86	1	1	0.2461	0.2968	0.4081	362
"Podsednik, Scott LF BOS"	Free Agent	246	27	73	62	7	2	2	21	15	39	14	6	0.2967	0.3333	0.3659	367
"Jones, Andruw RF NYY"	Free Agent	234	32	52	28	9	0	15	38	34	69	3	1	0.2222	0.3285	0.4530	368
"Campana, Tony LF ARI "	Want-a-be Ghetto All Stars	158	25	42	38	4	0	0	6	10	36	27	2	0.2658	0.3095	0.2911	372
"Hairston, Jerry 3B LAD"	Free Agent	335	38	87	64	16	1	6	36	29	42	4	3	0.2597	0.3235	0.3672	377
"Thames, Eric LF SEA"	Free Agent	316	42	79	47	18	4	10	31	19	88	2	1	0.2500	0.2971	0.4272	380
"Mayberry, John LF PHI"	Free Agent	240	31	62	38	14	0	10	34	20	57	3	1	0.2583	0.3168	0.4417	384
"Duda, Lucas LF NYM "	Free Agent	262	31	67	42	14	1	10	40	30	66	1	0	0.2557	0.3378	0.4313	387
