All Second Basemen   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Brock Holt 2B  BOS "	316	43	85	59	17	2	7	40	33	68	7	4	.269	.345	.402	463
"Yairo Munoz SS  STL"	317	38	85	57	18	1	9	41	29	72	6	4	.268	.335	.416	467
"Neil Walker 1B  MIA "	408	47	99	68	17	2	12	49	38	107	1	0	.243	.314	.382	471
"Miguel Rojas SS  MIA "	399	42	103	77	16	1	9	45	25	63	4	2	.258	.309	.371	474
"Freddy Galvis SS  TOR "	320	38	84	53	19	3	9	40	24	68	6	3	.263	.317	.425	482
"David Bote 3B  CHC "	323	40	78	48	16	3	11	47	32	93	4	2	.241	.317	.412	483
"Ryan McMahon 1B  COL"	307	39	78	47	16	2	13	41	32	89	1	0	.254	.329	.446	492
"Tyler Wade 2B  NYY"	253	38	67	42	14	2	9	35	23	59	5	2	.265	.329	.443	499
"Ronald Torreyes 2B  MIN"	337	38	96	68	22	1	5	39	13	59	3	0	.285	.311	.401	505
"Greg Garcia 2B  SD"	376	40	96	67	19	3	7	36	33	79	7	2	.255	.322	.378	507
"Steve Wilkerson 2B  BAL"	319	37	82	55	17	2	8	34	25	76	7	2	.257	.315	.398	511
"Ronny Rodriguez SS  DET "	322	35	80	53	16	2	9	37	23	70	5	2	.248	.298	.394	522
"Wilmer Flores 1B  ARI "	326	34	82	51	19	1	11	43	24	49	0	0	.252	.302	.417	524
"Kevin Newman SS  PIT "	319	36	80	56	15	2	7	35	21	66	5	2	.251	.302	.376	535
"Tommy La Stella 3B  LAA "	219	29	60	43	9	1	7	32	19	37	1	0	.274	.331	.420	566
"Tony Kemp LF  HOU "	179	29	47	33	10	0	4	23	24	34	7	2	.263	.353	.386	584
"Rosell Herrera RF  MIA "	413	44	92	67	21	3	1	38	36	102	7	5	.223	.293	.295	594
"Max Moroff 2B  CLE"	188	30	46	29	9	2	6	28	25	43	3	1	.245	.339	.410	597
"Adrian Sanchez 2B  WAS"	192	27	52	34	12	1	5	26	16	42	3	1	.271	.332	.422	599
"Drew Robinson CF  STL"	190	30	43	27	8	1	7	22	23	70	3	2	.226	.312	.390	629
"Drew Jackson 2B  BAL"	191	24	50	34	10	1	5	21	14	44	4	1	.262	.317	.403	632
"Pat Valaika 2B  COL"	190	24	46	30	8	1	7	23	15	44	2	1	.242	.299	.405	651
"Keston Hiura 2B  MIL "	161	22	43	29	8	1	5	20	13	35	3	1	.267	.328	.422	656
"Breyvic Valera 2B  SF "	189	23	49	34	9	2	4	21	15	40	4	1	.259	.310	.392	659
"Tyler Saladino SS  MIL "	192	24	48	35	9	1	3	25	13	45	4	3	.250	.300	.354	660
"Alex Blandino 2B  CIN "	192	25	51	37	9	1	4	19	17	43	3	1	.266	.330	.385	663
"Richard Urena SS  TOR"	190	23	49	34	11	1	3	20	15	44	4	2	.258	.314	.374	682
"Dawel Lugo 2B  DET"	190	23	48	32	11	1	4	20	15	41	3	1	.253	.312	.384	690
"Nolan Fontana 2B  TEX"	159	22	39	26	8	1	4	19	14	39	4	2	.245	.312	.384	693
"Brandon Dixon 1B  DET"	155	19	38	21	10	1	6	21	17	43	1	0	.245	.326	.439	704
"Sean Rodriguez 2B  PIT "	124	17	30	19	6	1	4	16	14	37	2	0	.242	.321	.403	741
"Kaleb Cowart 3B  DET "	188	20	39	24	12	1	2	20	18	55	6	2	.207	.282	.314	746
"Kelby Tomlinson 2B  ARI"	175	18	41	27	7	4	3	14	16	38	3	2	.234	.304	.371	764
"Max Schrock 2B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"L.J. Mazzilli 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeremias Pineda 2B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kole Enright 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Corey Jones 2B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"D.J. Burt 2B  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cavan Biggio 2B  TOR "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Marcos Brito 2B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"J.C. Rodriguez 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Shed Long 2B  SEA "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Dykstra 2B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Domingo Leyba 2B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jamie Westbrook 2B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Carlos Garcia 2B  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Johnny Giavotella 2B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chase d'Arnaud 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brad Miller 1B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nick Madrigal 2B  CHW "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Vinny Siena 2B  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Krieger 2B  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Sherman Johnson 2B  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Dixon Machado 2B  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wendell Rijo 2B  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Bryan Mejia 2B  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kristian Trompiz 2B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nick Solak 2B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Seth Spivey 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ramon Urias 2B  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eli White 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Silva 2B  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Angelo Mora 2B  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Buck Britton 2B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ty Kelly 2B  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Goins 2B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chad De La Guerra 2B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Gavin Cecchini 2B  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Khayyan Norfork 2B  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chesny Young 2B  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eliezer Alvarez 2B  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Joey DeMichele 2B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Maxx Tissenbaum 2B  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jalen Miller 2B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Omar Obregon 2B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andrew Romine 2B  PHI "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Trent Gilbert 2B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luigi Rodriguez 2B  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nate Mondou 2B  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Rosario 2B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tom Belza 2B  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tristan Gray 2B  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Angelo Gumbs 2B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jesmuel Valentin 3B  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mike Miller 2B  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Juan Perez 2B  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Nelson Jorge 2B  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeter Downs 2B  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Alexi Amarista 2B  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Reed Harper 2B  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matthew Batten 2B  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jace Peterson LF  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Yunior Severino 2B  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jahmai Jones 2B  LAA "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryne Birk 2B  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Dayner Moreira 2B  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
