All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Kyle Crick RP  PIT"	57	68	0	0	0	2	1	1	0	66	26	47	2.83	1.27	640
"Seth Lugo RP  NYM "	78	52	0	0	0	1	2	1	0	77	21	73	3.33	1.20	641
"Shawn Armstrong RP  SEA"	61	60	0	0	0	1	2	1	0	63	20	51	2.92	1.15	645
"Jesse Biddle RP  ATL"	61	62	0	0	0	4	1	1	0	72	33	54	3.54	1.43	649
"Trevor Hildenberger RP  MIN"	52	52	0	0	0	2	3	12	2	58	17	53	5.02	1.35	652
"Chad Sobotka RP  ATL"	60	68	0	0	0	2	1	1	0	85	53	28	3.60	1.35	655
"Steve Cishek RP  CHC"	43	63	0	0	0	2	2	1	0	56	20	34	2.68	1.24	661
"Hector Neris RP  PHI "	66	71	0	0	0	2	3	1	0	104	24	66	4.46	1.35	665
"Ryan Pressly RP  HOU "	50	63	0	0	0	2	1	1	0	78	19	47	3.73	1.30	666
"Martin Perez SP  MIN "	146	29	29	12	0	11	9	0	0	109	56	172	4.75	1.56	668
"Jorge Lopez RP  KC"	128	26	26	11	0	8	10	0	0	105	40	145	4.85	1.45	670
"Robert Stock RP  SD"	62	54	0	0	0	2	2	1	0	66	23	63	2.76	1.39	672
"Alex Claudio RP  MIL "	51	56	0	0	0	3	1	13	3	37	11	67	4.24	1.53	674
"Tony Watson RP  SF"	48	62	0	0	0	3	2	1	0	53	13	49	3.35	1.28	677
"Seung-Hwan Oh RP  COL"	55	64	0	0	0	2	3	2	0	67	18	55	3.56	1.31	678
"Emilio Pagan RP  TB"	64	58	0	0	0	3	2	1	0	77	19	62	4.59	1.25	680
"Jace Fry RP  CHW"	59	77	0	0	0	2	1	3	1	95	26	50	5.31	1.28	681
"Anthony Swarzak RP  SEA "	60	71	0	0	0	2	2	7	1	83	27	62	4.60	1.47	684
"Dan Winkler RP  ATL "	54	70	0	0	0	3	1	1	0	73	22	52	4.00	1.37	686
"Scott Oberg RP  COL "	53	65	0	0	0	4	1	1	0	68	17	60	4.03	1.43	687
"Shawn Kelley RP  TEX "	55	66	0	0	0	2	1	1	0	63	16	48	4.09	1.16	692
"Fernando Rodney RP  OAK"	46	53	0	0	0	3	1	6	1	56	24	46	4.05	1.50	694
"Roenis Elias RP  SEA"	45	23	10	3	0	4	4	0	0	32	15	43	2.78	1.28	695
"Ray Black RP  SF"	38	47	0	0	0	4	2	1	0	60	16	27	5.92	1.13	696
"Jimmie Sherfy RP  ARI"	37	46	0	0	0	2	1	1	0	43	21	25	2.41	1.23	698
"Will Harris RP  HOU "	43	54	0	0	0	3	2	1	0	56	12	43	3.98	1.28	699
"Tommy Hunter RP  PHI"	65	75	0	0	0	3	3	1	0	67	18	70	4.00	1.35	703
"Darren O'Day RP  ATL"	46	53	0	0	0	1	3	1	0	67	16	39	3.88	1.19	705
"Ryne Stanek RP  TB"	47	61	0	0	0	2	2	1	0	67	23	40	3.83	1.34	707
"Dan Altavilla RP  SEA"	63	65	0	0	0	3	2	1	0	81	41	54	3.96	1.49	708
"Josh Fields RP  LAD "	33	46	0	0	0	2	0	1	0	33	10	26	2.73	1.09	710
"Julio Urias RP  LAD "	37	23	11	4	0	4	3	0	0	31	14	29	3.86	1.15	711
"Nate Jones RP  CHW "	63	66	0	0	0	4	2	3	1	78	35	66	4.29	1.60	713
"Zack Britton RP  NYY "	55	57	0	0	0	2	1	5	1	48	29	49	3.44	1.42	714
"Noe Ramirez RP  LAA"	45	42	0	0	0	4	2	1	0	60	18	44	4.96	1.37	715
