All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Dan Straily SP  MIA "	133	27	27	11	0	6	7	0	0	121	51	128	3.92	1.34	548
"Caleb Smith SP  MIA "	141	33	33	11	0	7	15	0	0	142	58	139	4.28	1.40	549
"Diego Castillo RP  TB"	58	51	0	0	0	4	4	1	0	74	21	41	3.57	1.07	558
"Jake Odorizzi SP  MIN "	153	32	32	12	0	10	8	0	0	144	68	158	4.59	1.48	559
"Marco Estrada SP  OAK "	141	29	29	14	0	10	9	0	0	119	49	150	4.66	1.41	561
"Mike Leake SP  SEA"	156	29	29	19	0	8	12	0	0	116	38	173	4.31	1.35	562
"Shelby Miller SP  TEX "	141	29	29	9	0	11	12	0	0	114	52	149	4.76	1.42	563
"Felix Hernandez SP  SEA "	146	29	29	10	0	10	11	0	0	125	51	156	4.74	1.41	564
"Jordan Zimmermann SP  DET "	160	32	32	12	0	9	11	0	0	134	40	180	4.76	1.37	565
"Sean Reid-Foley SP  TOR"	129	26	26	9	0	7	11	0	0	121	48	129	4.33	1.37	568
"Ian Kennedy SP  KC "	141	29	29	12	0	6	9	0	0	130	49	147	4.21	1.39	577
"Yonny Chirinos RP  TB"	85	24	17	6	0	5	5	0	0	77	27	80	3.68	1.25	579
"Matt Shoemaker SP  TOR"	136	29	29	6	0	7	13	0	0	127	51	135	4.68	1.36	586
"Trevor Cahill SP  LAA"	157	33	33	14	0	9	7	0	0	143	62	170	4.64	1.48	591
"Alex Cobb SP  BAL"	152	30	30	17	1	8	13	0	0	120	44	170	4.48	1.40	596
"Lance Lynn SP  TEX"	147	30	30	14	0	11	8	0	0	128	68	154	4.88	1.50	598
"Bryan Mitchell SP  SD"	140	29	29	10	0	7	10	0	0	110	55	143	4.31	1.41	617
"Logan Allen SP  SD "	161	32	32	15	0	8	13	0	0	150	61	181	4.70	1.50	628
"Nate Karns SP  BAL "	146	29	29	13	0	7	10	0	0	129	47	162	4.67	1.43	631
"Drew Pomeranz RP  SF "	121	26	26	11	0	7	9	0	0	109	50	131	4.29	1.49	638
"Seth Lugo RP  NYM "	78	52	0	0	0	1	2	1	0	77	21	73	3.33	1.20	641
"Edinson Volquez SP  TEX"	148	29	29	11	2	8	11	0	0	119	60	151	4.85	1.42	654
"Martin Perez SP  MIN "	146	29	29	12	0	11	9	0	0	109	56	172	4.75	1.56	668
"Jorge Lopez RP  KC"	128	26	26	11	0	8	10	0	0	105	40	145	4.85	1.45	670
"Brent Honeywell SP  TB "	82	16	16	8	0	6	5	0	0	75	31	86	4.39	1.43	676
"Framber Valdez SP  HOU"	40	23	11	3	0	5	3	0	0	39	20	34	3.57	1.34	689
"Ryne Stanek RP  TB"	47	61	0	0	0	2	2	1	0	67	23	40	3.83	1.34	707
"Gio Gonzalez SP  MIL"	41	23	11	5	0	5	4	0	0	37	18	38	3.95	1.37	712
"Tyson Ross SP  DET"	146	29	29	14	0	7	14	0	0	123	60	151	5.09	1.44	716
"Forrest Whitley SP  HOU "	38	23	11	4	0	5	3	0	0	38	15	39	4.46	1.41	729
"Lucas Giolito SP  CHW "	145	29	29	16	0	9	11	0	0	105	71	141	5.33	1.46	737
"Gabriel Moya RP  MIN"	46	52	0	0	0	4	1	1	0	45	17	46	4.89	1.37	750
"Felix Pena SP  LAA"	49	23	11	5	0	3	3	0	0	48	17	48	4.35	1.31	751
"Chris Bassitt SP  OAK"	39	22	9	3	0	3	4	0	0	37	16	37	3.66	1.35	752
"Mike Soroka SP  ATL "	42	23	10	4	0	4	4	0	0	40	15	45	4.29	1.43	756
"Sandy Alcantara SP  MIA"	47	23	12	5	0	3	5	0	0	45	28	40	3.80	1.44	762
"Manny Banuelos SP  CHW "	127	26	26	12	0	7	10	0	0	108	59	141	4.94	1.57	771
"Andrew Cashner SP  BAL "	141	27	27	16	0	7	12	0	0	101	56	159	4.78	1.52	775
"Matt Koch SP  ARI"	43	23	10	4	0	4	5	0	0	25	11	45	4.39	1.30	776
"Thomas Pannone SP  TOR"	47	23	11	5	0	3	5	0	0	39	18	45	4.37	1.33	781
"Blaine Hardy RP  DET "	55	59	0	0	0	2	1	0	0	46	16	58	4.04	1.33	788
"Pablo Lopez SP  MIA "	42	22	10	5	0	3	4	0	0	38	15	43	4.43	1.36	789
"Austin Voth SP  WAS"	30	20	7	3	0	4	2	0	0	29	12	30	5.10	1.40	790
"Nick Kingham SP  PIT "	37	22	9	4	0	4	4	0	0	35	13	39	5.11	1.41	791
"Yohander Mendez SP  TEX"	53	23	11	4	0	5	5	0	0	36	24	51	5.06	1.41	792
"Erik Swanson SP  SEA"	37	22	9	4	0	3	4	0	0	37	14	38	4.58	1.39	795
"Drew Smyly SP  TEX"	159	32	32	15	0	9	11	0	0	122	65	188	5.14	1.59	798
"Jake Faria SP  TB"	37	20	8	3	0	3	3	0	0	32	17	33	4.62	1.35	804
"Joe Ross SP  WAS "	37	23	10	5	0	4	3	0	0	30	10	43	5.02	1.41	806
"Danny Salazar SP  CLE "	24	15	6	2	0	2	2	0	0	36	11	23	4.44	1.40	808
"Derek Holland SP  SF "	41	23	10	4	0	3	4	0	0	40	19	42	4.54	1.46	810
"Dylan Covey SP  CHW "	50	23	10	3	0	4	7	0	0	38	20	50	5.15	1.38	811
"Kohl Stewart SP  MIN"	37	20	7	2	0	3	3	0	0	33	17	38	4.30	1.46	812
"Josh Rogers SP  BAL"	48	23	11	4	0	3	6	0	0	45	18	50	4.88	1.42	813
"Andrew Moore SP  TB"	31	19	6	3	0	3	2	0	0	23	8	32	4.88	1.28	815
"Corey Oswalt SP  NYM"	40	23	10	3	0	4	3	0	0	29	12	41	5.58	1.31	816
"Dinelson Lamet SP  SD "	20	12	4	2	0	2	2	0	0	26	10	16	4.79	1.26	817
"David Hess SP  BAL"	44	22	9	4	0	3	4	0	0	33	16	44	4.84	1.34	822
"John Gant SP  STL"	28	16	0	0	0	2	1	0	0	24	15	24	3.77	1.36	824
"Chris Ellis SP  KC"	30	19	6	2	0	2	3	0	0	31	12	30	4.40	1.37	826
"Heath Fillmyer SP  KC"	47	24	0	0	0	2	2	1	0	34	19	46	4.34	1.36	827
"Erick Fedde SP  WAS "	37	23	10	2	0	4	3	0	0	36	16	41	5.50	1.51	829
"Sean Manaea SP  OAK "	13	8	3	2	0	2	1	0	0	10	3	13	3.95	1.17	839
"Eric Lauer SP  SD"	48	23	12	3	0	3	4	0	0	44	20	55	4.50	1.56	840
"Homer Bailey SP  KC "	30	20	8	2	0	5	2	0	0	22	10	38	6.00	1.60	841
"Ariel Jurado SP  TEX"	46	22	9	3	0	3	5	0	0	30	15	48	4.86	1.36	843
"Tyler Mahle SP  CIN "	45	23	10	3	0	3	5	0	0	45	21	49	4.80	1.56	844
"Jordan Montgomery SP  NYY "	15	9	4	1	0	2	1	0	0	14	6	14	4.11	1.30	847
"Steven Brault RP  PIT "	44	23	10	3	0	4	3	0	0	40	28	45	4.84	1.63	848
"Daniel Norris SP  DET "	50	23	11	2	0	2	5	0	0	52	20	52	4.97	1.42	849
"Clayton Richard SP  TOR "	47	23	11	5	0	3	5	0	0	34	16	49	4.98	1.38	850
"Jacob Nix SP  SD"	42	22	10	4	0	3	5	0	0	33	14	44	5.27	1.36	852
"Chris Stratton SP  SF"	38	22	9	4	0	3	5	0	0	31	15	40	4.97	1.45	854
"Austin Gomber RP  STL"	35	22	9	4	0	3	3	0	0	33	16	40	4.58	1.58	855
"Jason Hammel RP  TEX "	42	20	8	3	0	3	3	0	0	33	11	48	5.27	1.38	859
"Chase De Jong SP  MIN "	23	12	0	0	0	2	1	1	0	18	9	23	4.70	1.39	860
"Jarlin Garcia RP  MIA"	55	68	0	0	0	2	3	1	0	41	23	52	5.01	1.35	863
"Chad Bettis SP  COL "	42	23	10	4	0	3	2	0	0	29	15	43	5.14	1.38	864
"Cody Reed RP  CIN "	38	20	7	2	0	2	3	0	0	40	19	40	4.46	1.54	865
"Jeff Brigham SP  MIA"	37	20	8	3	0	2	4	0	0	36	17	37	4.78	1.43	866
"Sam Gaviglio SP  TOR"	38	20	7	1	0	2	3	0	0	32	12	40	4.93	1.36	870
"Ty Blach RP  SF"	37	20	7	3	0	3	4	0	0	21	12	42	4.62	1.46	876
"JC Ramirez SP  LAA "	23	13	5	2	0	2	3	0	0	17	9	24	4.56	1.39	881
"Hunter Wood RP  TB"	33	29	0	0	0	1	1	1	0	38	16	38	4.05	1.62	885
"Jimmy Yacabonis SP  BAL"	42	20	7	2	0	2	4	0	0	33	20	39	4.89	1.39	887
"Aaron Sanchez SP  TOR "	126	26	26	10	0	5	8	0	0	111	55	147	5.06	1.60	890
"Jesse Hahn SP  KC "	27	14	6	3	0	2	2	0	0	23	10	29	4.94	1.43	892
"Mike Montgomery RP  CHC "	25	18	0	0	0	1	1	0	0	19	9	25	3.96	1.36	893
"Brian Johnson RP  BOS"	59	42	0	0	0	1	3	1	0	54	23	67	4.42	1.53	898
"Paul Blackburn SP  OAK"	28	19	6	2	0	2	2	0	0	16	7	31	5.02	1.33	900
"Taijuan Walker SP  ARI "	16	10	4	2	0	1	2	0	0	15	7	17	3.78	1.44	903
"Hector Santiago RP  NYM "	24	17	0	0	0	2	1	0	0	24	14	25	4.88	1.62	908
"Matt Andriese RP  ARI "	26	16	0	0	0	1	2	0	0	27	9	29	5.06	1.43	918
"Hector Velazquez RP  BOS"	10	8	0	0	0	1	0	0	0	7	3	12	3.60	1.50	921
"Yefry Ramirez SP  BAL"	35	19	6	1	0	1	3	0	0	35	18	32	5.30	1.40	922
"Liam Hendriks RP  OAK "	15	19	0	0	0	1	0	0	0	20	7	17	5.28	1.57	926
"Eric Skoglund SP  KC "	16	8	4	1	0	1	1	0	0	12	5	16	5.40	1.26	930
"Jharel Cotton SP  OAK "	11	8	2	0	0	1	1	0	0	9	4	11	5.56	1.32	931
"Tyler Chatwood SP  CHC"	42	23	10	2	0	3	5	0	0	35	32	39	5.14	1.69	933
"Luis Cessa RP  NYY "	28	16	0	0	0	1	0	0	0	25	10	31	5.14	1.46	935
"Luis Perdomo SP  SD"	37	20	8	3	0	2	3	0	0	29	15	42	5.30	1.53	937
"Elieser Hernandez RP  MIA"	30	20	0	0	0	1	1	0	0	22	12	31	4.99	1.40	938
"Domingo German SP  NYY"	9	5	0	0	0	0	0	0	0	11	4	8	5.00	1.33	958
"Kyle Zimmer SP  KC "	7	6	0	0	0	0	0	0	0	7	3	7	3.86	1.43	961
"Johnny Cueto SP  SF "	4	3	1	0	0	0	0	0	0	4	1	5	3.86	1.29	965
"Brandon Brennan SP  CHW"	8	8	0	0	0	0	0	0	0	8	3	9	4.32	1.44	971
"Andrew Triggs SP  OAK"	8	8	0	0	0	0	0	0	0	8	3	8	5.19	1.27	973
"Spencer Turnbull SP  DET"	4	4	0	0	0	0	0	0	0	5	2	5	3.86	1.50	975
"Junior Guerra SP  MIL "	7	7	0	0	0	0	1	0	0	8	3	8	4.70	1.43	977
"Nick Green SP  ARI"	5	6	0	0	0	0	0	0	0	6	2	6	4.76	1.41	981
"Brett Kennedy SP  SD"	10	10	0	0	0	0	0	0	0	10	4	11	5.06	1.41	993
"Jefry Rodriguez SP  CLE"	3	2	0	0	0	0	0	0	0	3	2	3	4.91	1.36	998
