All Starting Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Felix Hernandez SP  SEA "	86.7	16	7	0	6	5	0	0	78	26	86	4.36	1.29	495
"Collin McHugh SP  HOU "	63.3	12	5	0	5	2	0	0	62	20	62	3.55	1.29	501
"Adam Wainwright SP  STL "	123.3	23	8	0	12	5	0	0	96	45	140	5.11	1.50	505
"Lucas Giolito SP  CHW "	45.3	7	5	0	3	3	0	0	34	12	31	2.38	0.95	506
"Tyler Chatwood SP  CHC "	147.7	25	9	1	8	15	1	0	120	77	136	4.69	1.44	519
"Scott Feldman SP  CIN"	111.3	21	9	1	7	7	0	0	93	35	116	4.77	1.36	526
"Alex Meyer SP  LAA "	67.3	13	6	0	4	5	0	0	75	42	48	3.74	1.34	527
"Matt Shoemaker SP  LAA "	77.7	14	5	0	6	3	0	0	69	28	73	4.52	1.30	532
"Mike Fiers SP  DET "	153.3	28	10	0	8	10	0	0	146	62	157	5.22	1.43	534
"Seth Lugo SP  NYM"	101.3	18	8	0	7	5	0	0	85	25	114	4.71	1.37	540
"Kyle Gibson SP  MIN"	158.0	29	10	0	12	10	0	0	121	60	182	5.07	1.53	547
"Tyler Anderson SP  COL"	86.0	15	5	0	6	6	0	0	81	26	88	4.81	1.33	548
"Andrew Albers SP  ATL "	41.0	6	2	0	5	1	1	0	37	10	43	3.51	1.29	552
"Martin Perez SP  TEX "	185.0	32	16	0	13	12	0	0	115	63	221	4.82	1.54	555
"Jaime Garcia SP  NYY "	157.0	27	11	0	5	10	0	0	129	64	157	4.41	1.41	556
"Brent Suter SP  MIL "	81.7	14	4	0	3	2	0	0	64	22	83	3.42	1.29	557
"Matt Andriese SP  TB"	86.0	17	6	0	5	5	1	0	76	28	90	4.50	1.37	570
"Kendall Graveman SP  OAK"	105.3	19	11	0	6	4	0	0	70	32	114	4.19	1.39	572
"Miguel Gonzalez SP  CHW "	156.0	27	15	0	8	13	0	0	100	55	167	4.62	1.42	574
"Daniel Mengden SP  OAK"	43.0	7	4	1	3	2	0	0	29	9	36	3.14	1.05	581
"Randall Delgado RP  ARI "	62.7	5	0	0	1	2	1	1	60	14	60	3.59	1.18	591
"Jeremy Hellickson SP  BAL"	164.0	30	13	0	8	11	0	0	96	47	160	5.43	1.26	594
"Andrew Triggs SP  OAK "	65.3	12	6	0	5	6	0	0	50	19	68	4.27	1.33	599
"Jesse Chavez SP  LAA"	138.0	21	7	0	7	11	0	1	119	45	148	5.35	1.40	600
"Jason Hammel SP  KC"	180.3	32	14	0	8	13	0	0	145	48	209	5.29	1.43	601
"Edinson Volquez SP  MIA "	92.3	17	6	1	4	8	0	0	81	53	78	4.19	1.42	605
"Doug Fister SP  TEX"	90.3	15	7	1	5	9	0	0	83	38	87	4.88	1.38	610
"Jharel Cotton SP  OAK"	129.0	24	6	0	9	10	0	0	105	53	133	5.58	1.44	612
"Ian Kennedy SP  KC"	154.0	30	10	0	5	13	0	0	131	61	143	5.38	1.32	616
"Luis Perdomo SP  SD"	163.7	29	16	0	8	11	0	0	118	65	182	4.67	1.51	617
"Chris Stratton SP  SF"	58.7	10	5	0	4	4	1	1	51	28	59	3.68	1.48	619
"Clayton Richard SP  SD"	197.3	32	14	2	8	15	0	0	151	59	240	4.79	1.52	621
"Ben Lively SP  PHI"	88.7	15	10	1	4	7	0	0	52	24	90	4.26	1.29	638
"Nate Karns SP  KC "	45.3	8	3	0	2	2	0	0	51	13	41	4.17	1.19	639
"Carlos Rodon SP  CHW "	69.3	12	6	0	2	5	0	0	76	31	64	4.15	1.37	643
"Sean Newcomb SP  ATL "	100.0	19	7	0	4	9	0	0	108	57	100	4.32	1.57	645
"Sal Romano SP  CIN "	87.0	16	5	0	5	8	0	0	73	37	91	4.45	1.47	648
"Ty Blach SP  SF"	163.7	24	13	1	8	12	0	0	73	43	179	4.78	1.36	651
"Ricky Nolasco SP  LAA"	181.0	33	12	1	6	15	0	0	143	58	205	4.92	1.45	653
"Noah Syndergaard SP  NYM "	30.3	7	4	0	1	2	0	0	34	3	29	2.97	1.05	665
"Robert Stephenson RP  CIN"	84.7	11	4	0	5	6	1	0	86	53	81	4.68	1.58	666
"Paul Blackburn SP  OAK "	58.7	10	5	0	3	1	0	0	22	16	58	3.22	1.26	670
"Austin Pruitt RP  TB"	83.0	8	4	0	7	5	1	1	66	22	103	5.31	1.51	671
"Mark Leiter RP  PHI"	90.7	11	4	0	3	6	0	0	84	31	90	4.96	1.33	677
"Nick Pivetta SP  PHI"	133.0	26	8	0	8	10	0	0	140	57	144	6.02	1.51	678
"Wei-Yin Chen SP  MIA "	33.0	5	3	0	2	1	0	0	25	9	25	3.82	1.03	680
"Garrett Richards SP  LAA "	27.7	6	1	0	0	2	0	0	27	7	18	2.28	0.90	683
"Joe Ross SP  WAS "	73.7	13	7	0	5	3	0	0	68	20	88	5.01	1.47	684
"Sam Gaviglio SP  KC"	74.3	13	4	0	4	5	0	0	49	26	76	4.36	1.37	688
"Austin Bibens-Dirkx RP  TEX "	69.3	6	2	0	5	2	0	0	38	20	74	4.67	1.36	698
"A.J. Griffin SP  TEX"	77.3	15	4	1	6	6	0	0	61	28	76	5.94	1.34	702
"Robert Gsellman SP  NYM"	119.7	22	8	1	8	7	0	1	82	42	138	5.19	1.50	703
"Carson Fulmer SP  CHW "	23.3	5	2	0	3	1	0	0	19	13	16	3.86	1.24	704
"James Shields SP  CHW "	117.0	21	7	0	5	7	0	0	103	53	116	5.23	1.44	705
"Matt Garza SP  MIL "	114.7	22	6	0	6	9	0	0	79	45	121	4.95	1.45	706
"Eddie Butler SP  CHC "	54.7	11	1	0	4	3	0	0	30	28	50	3.95	1.43	711
"Jerad Eickhoff SP  PHI "	128.0	24	8	0	4	8	0	0	118	53	142	4.71	1.52	713
"A.J. Cole SP  WAS"	52.0	8	3	0	3	5	0	0	44	27	51	3.81	1.50	715
"Tyler Skaggs SP  LAA "	85.0	16	5	0	2	6	0	0	76	28	90	4.55	1.39	721
"Tim Adleman SP  CIN"	122.3	20	7	0	5	11	0	0	108	51	124	5.52	1.43	733
"Jackson Stephens SP  CIN"	25.0	4	1	0	2	1	0	0	21	9	19	4.68	1.12	751
"Adalberto Mejia SP  MIN"	98.0	21	3	0	4	7	0	0	85	44	110	4.50	1.57	754
"Reynaldo Lopez SP  CHW"	47.7	8	5	0	3	3	0	0	30	14	49	4.72	1.32	762
"Jake Thompson SP  PHI"	46.3	8	1	0	3	2	0	0	35	22	50	3.88	1.55	769
"Edwin Jackson SP  WAS "	76.0	13	7	0	5	6	0	0	60	29	86	5.21	1.51	776
"Ryan Merritt SP  CLE"	20.7	4	1	0	2	0	0	0	7	4	26	1.74	1.45	777
"Christian Bergman SP  SEA "	54.0	8	3	0	4	5	0	0	33	15	61	5.00	1.41	779
"Trevor Cahill SP  KC "	84.0	14	4	0	4	3	0	0	87	45	91	4.93	1.62	781
"Odrisamer Despaigne RP  MIA"	58.3	8	5	0	2	3	1	0	31	24	57	4.01	1.39	791
"Aaron Wilkerson SP  MIL "	10.3	2	1	0	1	0	0	0	7	1	6	3.48	0.68	799
"Joe Biagini RP  TOR"	119.7	18	5	0	3	13	1	2	97	42	125	5.34	1.40	800
"Jeff Hoffman SP  COL "	99.3	16	7	0	6	5	0	0	82	40	106	5.89	1.47	801
"Shelby Miller SP  ARI "	22.0	4	1	0	2	2	0	0	20	12	20	4.09	1.45	804
"Brandon Woodruff SP  MIL "	43.0	8	3	0	2	3	0	0	32	14	43	4.81	1.33	809
"Matthew Boyd SP  DET"	135.0	25	10	1	6	11	0	0	110	53	157	5.27	1.56	822
"Chris O'Grady RP  MIA"	33.0	6	1	0	2	1	0	0	30	18	33	4.36	1.55	829
"Brian Johnson SP  BOS"	27.0	5	2	1	2	0	0	0	21	8	32	4.33	1.48	831
"Buck Farmer SP  DET"	48.0	11	2	0	5	5	0	0	49	20	55	6.75	1.56	834
"Asher Wojciechowski RP  BAL "	62.3	8	1	0	4	3	0	0	64	19	71	6.50	1.44	836
"Adam Conley SP  MIA "	102.7	20	8	0	8	8	0	0	72	42	114	6.14	1.52	838
"Tyler Mahle SP  CIN"	20.0	4	1	0	1	2	0	0	14	11	19	2.70	1.50	841
"Luiz Gohara SP  ATL"	29.3	5	2	0	1	3	0	0	31	8	32	4.91	1.36	843
"Hector Santiago SP  MIN"	70.3	14	5	0	4	8	0	0	51	31	70	5.63	1.44	846
"Tyler Danish SP  CHW"	5.0	1	0	0	1	0	0	0	6	6	3	0.00	1.80	862
