All Relief Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Carlos Torres RP  MIL"	72.7	0	0	0	4	4	1	3	56	33	78	4.21	1.53	707
"Paul Sewald RP  NYM"	65.3	0	0	0	0	6	0	3	69	21	58	4.55	1.21	710
"Nick Wittgren RP  MIA "	42.3	0	0	0	3	1	0	0	43	13	46	4.68	1.39	714
"Austin Maddox RP  BOS"	17.3	0	0	0	0	0	0	0	14	2	13	0.52	0.87	722
"Daniel Hudson RP  PIT"	61.7	0	0	0	2	7	0	2	66	33	57	4.38	1.46	723
"Chasen Bradford RP  SEA "	33.7	0	0	0	2	0	0	0	27	13	30	3.74	1.28	724
"Dan Winkler RP  ATL "	14.3	0	0	0	1	1	0	0	18	6	7	2.51	0.91	726
"Oliver Drake RP  MIL"	56.0	0	0	0	3	5	1	3	62	25	63	4.66	1.57	727
"Koda Glover RP  WAS "	19.3	0	0	0	0	1	8	2	17	4	20	5.12	1.24	728
"Tony Cingrani RP  LAD "	42.7	0	0	0	0	0	0	1	52	12	40	4.22	1.22	729
"Tyler Duffey RP  MIN "	71.0	0	0	0	2	3	1	2	67	18	79	4.94	1.37	730
"Jason Motte RP  ATL"	40.7	0	0	0	1	0	0	3	27	20	28	3.54	1.18	731
"Tim Adleman SP  CIN"	122.3	20	7	0	5	11	0	0	108	51	124	5.52	1.43	733
"Ryan Dull RP  OAK"	42.0	0	0	0	2	2	0	2	45	16	37	5.14	1.26	734
"Joaquin Benoit RP  PIT"	50.3	0	0	0	1	6	2	4	46	22	43	4.65	1.29	735
"Dan Altavilla RP  SEA"	46.7	0	0	0	1	1	0	4	52	20	43	4.24	1.35	736
"Sam Dyson RP  SF "	54.7	0	0	0	4	10	14	7	34	30	67	6.09	1.77	737
"Ryan Sherriff RP  STL"	14.3	0	0	0	2	1	0	0	15	4	13	3.14	1.19	738
"Carlos Ramirez RP  TOR"	16.7	0	0	0	0	0	0	0	14	3	6	2.70	0.54	739
"J.J. Hoover RP  MIL "	41.3	0	0	0	3	1	0	2	54	26	47	3.92	1.77	741
"Carlos Estevez RP  COL"	32.3	0	0	0	5	0	0	0	31	14	39	5.57	1.64	745
"Jose Alvarez RP  LAA "	48.7	0	0	0	0	3	1	2	45	12	50	3.88	1.27	747
"Troy Scribner RP  LAA"	23.7	4	0	0	2	1	0	0	18	10	17	4.18	1.14	748
"Alex Wilson RP  DET "	60.0	0	0	0	2	5	2	5	42	15	67	4.50	1.37	750
"Jonathan Holder RP  NYY"	39.3	0	0	0	1	1	0	2	40	8	45	3.89	1.35	757
"Andrew Bailey RP  LAA"	4.0	0	0	0	2	0	0	0	2	0	1	0.00	0.25	758
"Victor Arano RP  PHI"	10.7	0	0	0	1	0	0	0	13	4	6	1.69	0.94	760
"Rex Brothers RP  ATL"	23.7	0	0	0	4	3	0	0	33	12	23	7.22	1.48	763
"Deck McGuire RP  TOR"	13.7	2	0	0	1	1	0	0	11	2	10	2.63	0.88	766
"Ben Heller RP  NYY"	11.0	0	0	0	1	0	0	0	9	6	5	0.82	1.00	767
"Donnie Hart RP  BAL"	43.7	0	0	0	2	0	0	2	29	13	48	3.71	1.40	768
"A.J. Minter RP  ATL"	15.0	0	0	0	0	1	0	0	26	2	13	3.00	1.00	770
"Brad Ziegler RP  MIA"	47.0	0	0	0	1	4	10	5	26	16	57	4.79	1.55	771
"Kyle Crick RP  PIT "	32.3	0	0	0	0	0	0	0	28	17	22	3.06	1.21	772
"Jarlin Garcia RP  MIA"	53.3	0	0	0	1	2	0	1	42	17	47	4.72	1.20	773
"Simon Castro RP  OAK "	37.0	0	0	0	1	3	0	1	35	14	32	4.38	1.24	774
"Jose Alvarado RP  TB"	29.7	0	0	0	0	3	0	0	29	9	24	3.64	1.11	775
"Christian Bergman SP  SEA "	54.0	8	3	0	4	5	0	0	33	15	61	5.00	1.41	779
"Trevor Cahill SP  KC "	84.0	14	4	0	4	3	0	0	87	45	91	4.93	1.62	781
"Jeremy Jeffress RP  MIL"	65.3	1	0	0	5	2	0	1	51	34	73	4.68	1.64	782
"Gabriel Ynoa RP  BAL"	34.7	4	1	0	2	3	0	0	26	8	39	4.15	1.36	783
"Deolis Guerra RP  TEX "	25.0	0	0	0	2	2	0	1	22	12	20	4.68	1.28	790
"Odrisamer Despaigne RP  MIA"	58.3	8	5	0	2	3	1	0	31	24	57	4.01	1.39	791
"Zach Putnam RP  CHW"	8.7	0	0	0	0	0	0	0	9	1	2	1.04	0.35	793
"Nate Jones RP  CHW "	11.7	0	0	0	1	0	0	0	15	6	9	2.31	1.29	795
"Matt Dermody RP  TOR"	22.3	0	0	0	2	0	0	0	15	5	23	4.43	1.25	796
"Chih-Wei Hu RP  TB"	10.0	0	0	0	1	1	0	0	9	4	5	2.70	0.90	797
"Joe Biagini RP  TOR"	119.7	18	5	0	3	13	1	2	97	42	125	5.34	1.40	800
"Jeff Hoffman SP  COL "	99.3	16	7	0	6	5	0	0	82	40	106	5.89	1.47	801
"Kevin McCarthy RP  KC"	45.0	0	0	0	1	0	0	0	27	13	50	3.20	1.40	803
"Al Alburquerque RP  TOR "	18.0	0	0	0	0	2	0	0	14	8	10	2.50	1.00	806
"Luis Santos RP  TOR"	16.7	0	0	0	0	1	1	0	16	4	15	2.70	1.14	807
"Shawn Kelley RP  WAS "	26.0	0	0	0	3	2	4	2	25	11	29	7.27	1.54	808
"Zach Duke RP  MIN "	18.3	0	0	0	1	1	0	0	12	6	13	3.93	1.04	811
"Edward Paredes RP  LAD"	8.3	0	0	0	1	0	0	0	11	0	8	3.24	0.96	812
"Logan Verrett RP  BAL"	10.7	0	0	0	2	0	0	0	9	3	11	4.22	1.31	813
"Marc Rzepczynski RP  SEA"	31.3	0	0	0	2	2	1	2	25	20	29	4.02	1.56	814
"Kyle McGrath RP  SD"	19.0	0	0	0	0	0	0	0	16	6	14	2.84	1.05	815
"Noe Ramirez RP  LAA"	13.0	0	0	0	0	0	0	0	14	5	6	2.77	0.85	816
"Matt Grace RP  WAS"	50.0	1	0	0	1	0	2	0	31	18	50	4.32	1.36	818
"Brock Stewart RP  LAD"	34.3	4	0	0	0	0	1	0	29	19	28	3.41	1.37	819
"Justin Grimm RP  CHC "	55.3	0	0	0	1	2	1	2	59	27	47	5.53	1.34	820
"Hoby Milner RP  PHI"	31.3	0	0	0	0	0	0	1	22	16	30	2.01	1.47	824
"Boone Logan RP  MIL "	21.0	0	0	0	1	0	0	1	28	9	20	4.71	1.38	825
"Oliver Perez RP  WAS"	33.0	0	0	0	0	0	1	0	39	12	32	4.64	1.33	826
"Dovydas Neverauskas RP  PIT"	25.3	0	0	0	1	1	0	1	17	8	24	3.91	1.26	828
"Chris O'Grady RP  MIA"	33.0	6	1	0	2	1	0	0	30	18	33	4.36	1.55	829
"Andrew Kittredge RP  TB"	15.3	0	0	0	0	1	0	0	14	6	13	1.76	1.24	830
"Blake Wood RP  LAA"	74.3	0	0	0	3	4	0	1	84	33	84	5.45	1.57	835
"Asher Wojciechowski RP  BAL "	62.3	8	1	0	4	3	0	0	64	19	71	6.50	1.44	836
"Tony Barnette RP  TEX"	57.3	0	0	0	2	1	2	4	57	22	64	5.49	1.50	837
"Albert Suarez RP  ARI "	31.7	0	0	0	0	3	1	2	34	11	28	5.12	1.23	842
"Jake Diekman RP  TEX "	10.7	0	0	0	0	0	1	0	13	10	4	2.53	1.31	848
"Dario Alvarez RP  TEX"	16.3	0	0	0	2	0	0	0	17	14	19	2.75	2.02	850
"Javy Guerra RP  MIA "	21.0	0	0	0	1	1	0	1	12	7	23	3.00	1.43	851
"Francisco Rodriguez RP  WAS "	25.3	0	0	0	2	5	7	6	23	11	31	7.82	1.66	852
"Chris Volstad RP  CHW "	19.3	2	1	0	1	2	0	0	10	5	16	4.66	1.09	853
"Aaron Bummer RP  CHW"	22.0	0	0	0	1	3	0	1	17	15	13	4.50	1.27	854
"Shawn Armstrong RP  SEA "	24.7	0	0	0	1	0	0	0	20	10	23	4.38	1.34	855
"Chaz Roe RP  TB"	10.7	0	0	0	0	0	0	0	13	5	7	2.53	1.12	856
"Jean Machi RP  CHW"	7.7	0	0	0	1	0	0	0	4	4	7	1.17	1.43	857
"Matt Strahm RP  SD "	34.7	3	0	0	2	5	0	0	37	22	30	5.45	1.50	859
"Daniel Stumpf RP  DET"	37.7	0	0	0	0	1	0	2	33	15	37	3.82	1.38	860
"Josh Smith RP  OAK"	35.0	0	0	0	2	1	0	0	25	15	35	4.89	1.43	864
"Kevin Siegrist RP  STL"	39.3	0	0	0	1	1	1	0	43	22	39	4.80	1.55	868
"Adam Ottavino RP  COL "	53.3	0	0	0	2	3	0	2	63	39	48	5.06	1.63	870
"Sammy Solis RP  WAS"	26.0	0	0	0	1	0	1	0	28	13	22	5.88	1.35	875
"Ian Krol RP  LAA "	49.0	0	0	0	2	2	0	0	44	21	50	5.33	1.45	877
"Warwick Saupold RP  DET"	62.7	0	0	0	3	2	0	0	44	31	64	4.88	1.52	878
"Grant Dayton RP  ATL "	23.7	0	0	0	1	1	0	1	20	12	19	4.94	1.31	879
"Yacksel Rios RP  PHI"	16.3	0	0	0	1	0	0	0	17	9	15	4.41	1.47	883
